 

stn;time;rs1000y0
DEH;1901;0
DEH;1902;0
DEH;1903;0
DEH;1904;0
DEH;1905;0
DEH;1906;0
DEH;1907;0
DEH;1908;0
DEH;1909;0
DEH;1910;0
DEH;1911;0
DEH;1912;0
DEH;1913;0
DEH;1914;0
DEH;1915;0
DEH;1916;0
DEH;1917;0
DEH;1918;0
DEH;1919;0
DEH;1920;0
DEH;1921;0
DEH;1922;0
DEH;1923;0
DEH;1924;0
DEH;1925;0
DEH;1926;0
DEH;1927;0
DEH;1928;0
DEH;1929;0
DEH;1930;0
DEH;1931;0
DEH;1932;0
DEH;1933;0
DEH;1934;0
DEH;1935;0
DEH;1936;0
DEH;1937;0
DEH;1938;0
DEH;1939;0
DEH;1940;0
DEH;1941;0
DEH;1942;0
DEH;1943;0
DEH;1944;0
DEH;1945;0
DEH;1946;0
DEH;1947;0
DEH;1948;1
DEH;1949;0
DEH;1950;0
DEH;1951;0
DEH;1952;0
DEH;1953;0
DEH;1954;0
DEH;1955;0
DEH;1956;0
DEH;1957;0
DEH;1958;0
DEH;1959;0
DEH;1960;0
DEH;1961;0
DEH;1962;0
DEH;1963;0
DEH;1964;0
DEH;1965;0
DEH;1966;0
DEH;1967;0
DEH;1968;0
DEH;1969;0
DEH;1970;0
DEH;1971;0
DEH;1972;0
DEH;1973;0
DEH;1974;0
DEH;1975;0
DEH;1976;0
DEH;1977;0
DEH;1978;1
DEH;1979;0
DEH;1980;0
DEH;1981;0
DEH;1982;0
DEH;1983;0
DEH;1984;0
DEH;1985;0
DEH;1986;0
DEH;1987;0
DEH;1988;0
DEH;1989;0
DEH;1990;0
DEH;1991;0
DEH;1992;0
DEH;1993;0
DEH;1994;1
DEH;1995;0
DEH;1996;0
DEH;1997;0
DEH;1998;0
DEH;1999;0
DEH;2000;0
DEH;2001;0
DEH;2002;1
DEH;2003;0
DEH;2004;0
DEH;2005;0
DEH;2006;0
DEH;2007;0
DEH;2008;0
DEH;2009;0
DEH;2010;0
DEH;2011;0
DEH;2012;0
DEH;2013;0
DEH;2014;0
DEH;2015;0
DEH;2016;0
DEH;2017;0
DEH;2018;0
DEH;2019;0
DEH;2020;0
