 

stn;time;rs1000y0
DLVIS;1947;0
DLVIS;1948;0
DLVIS;1949;0
DLVIS;1950;0
DLVIS;1951;0
DLVIS;1952;0
DLVIS;1953;0
DLVIS;1954;0
DLVIS;1955;0
DLVIS;1956;0
DLVIS;1957;0
DLVIS;1958;0
DLVIS;1959;0
DLVIS;1960;0
DLVIS;1961;0
DLVIS;1962;0
DLVIS;1963;0
DLVIS;1964;0
DLVIS;1965;0
DLVIS;1966;0
DLVIS;1967;0
DLVIS;1968;0
DLVIS;1969;0
DLVIS;1970;0
DLVIS;1971;0
DLVIS;1972;0
DLVIS;1973;0
DLVIS;1974;0
DLVIS;1975;0
DLVIS;1976;0
DLVIS;1977;0
DLVIS;1978;0
DLVIS;1979;0
DLVIS;1980;0
DLVIS;1981;0
DLVIS;1982;0
DLVIS;1983;0
DLVIS;1984;0
DLVIS;1985;0
DLVIS;1986;0
DLVIS;1987;0
DLVIS;1988;0
DLVIS;1989;0
DLVIS;1990;0
DLVIS;1991;0
DLVIS;1992;0
DLVIS;1993;0
DLVIS;1994;0
DLVIS;1995;0
DLVIS;1996;0
DLVIS;1997;0
DLVIS;1998;0
DLVIS;1999;0
DLVIS;2000;0
DLVIS;2001;0
DLVIS;2002;0
DLVIS;2003;0
DLVIS;2004;0
DLVIS;2005;0
DLVIS;2006;0
DLVIS;2007;0
DLVIS;2008;0
DLVIS;2009;0
DLVIS;2010;0
DLVIS;2011;0
DLVIS;2012;0
DLVIS;2013;0
DLVIS;2014;0
DLVIS;2015;0
