 

stn;time;rs1000y0
CHD;1897;0
CHD;1898;0
CHD;1899;0
CHD;1900;0
CHD;1901;0
CHD;1902;0
CHD;1903;0
CHD;1904;0
CHD;1905;0
CHD;1906;0
CHD;1907;0
CHD;1908;0
CHD;1909;0
CHD;1910;0
CHD;1911;0
CHD;1912;0
CHD;1913;0
CHD;1914;0
CHD;1915;0
CHD;1916;0
CHD;1917;0
CHD;1918;0
CHD;1919;0
CHD;1920;0
CHD;1921;0
CHD;1922;0
CHD;1923;0
CHD;1924;0
CHD;1925;0
CHD;1926;0
CHD;1927;0
CHD;1928;0
CHD;1929;0
CHD;1930;0
CHD;1931;0
CHD;1932;0
CHD;1933;0
CHD;1934;0
CHD;1935;0
CHD;1936;0
CHD;1937;0
CHD;1938;0
CHD;1939;0
CHD;1940;0
CHD;1941;0
CHD;1942;0
CHD;1943;0
CHD;1944;0
CHD;1945;0
CHD;1946;0
CHD;1947;0
CHD;1948;0
CHD;1949;0
CHD;1950;0
CHD;1951;0
CHD;1952;0
CHD;1953;0
CHD;1954;0
CHD;1955;0
CHD;1956;0
CHD;1957;0
CHD;1958;0
CHD;1959;0
CHD;1960;0
CHD;1961;0
CHD;1962;0
CHD;1963;0
CHD;1964;0
CHD;1965;0
CHD;1966;0
CHD;1967;0
CHD;1968;0
CHD;1969;0
CHD;1970;0
CHD;1971;0
CHD;1972;0
CHD;1973;0
CHD;1974;0
CHD;1975;0
CHD;1976;0
CHD;1977;0
CHD;1978;0
CHD;1979;0
CHD;1980;0
CHD;1981;0
CHD;1982;0
CHD;1983;0
CHD;1984;0
CHD;1985;0
CHD;1986;0
CHD;1987;0
CHD;1988;0
CHD;1989;0
CHD;1990;0
CHD;1991;0
CHD;1992;0
CHD;1993;0
CHD;1994;0
CHD;1995;0
CHD;1996;0
CHD;1997;0
CHD;1998;0
CHD;1999;0
CHD;2000;0
CHD;2001;0
CHD;2002;0
CHD;2003;0
CHD;2004;0
CHD;2005;0
CHD;2006;0
CHD;2007;0
CHD;2008;0
CHD;2009;0
CHD;2010;0
CHD;2011;0
CHD;2012;0
CHD;2013;0
CHD;2014;0
CHD;2015;0
