 

stn;time;rs1000y0
BEH;1928;1
BEH;1929;0
BEH;1930;0
BEH;1931;0
BEH;1932;0
BEH;1933;0
BEH;1934;0
BEH;1935;1
BEH;1936;0
BEH;1937;0
BEH;1938;0
BEH;1939;0
BEH;1940;0
BEH;1941;0
BEH;1942;0
BEH;1943;0
BEH;1944;0
BEH;1945;0
BEH;1946;0
BEH;1947;1
BEH;1948;0
BEH;1949;0
BEH;1950;0
BEH;1951;0
BEH;1952;0
BEH;1953;0
BEH;1954;1
BEH;1955;0
BEH;1956;0
BEH;1957;0
BEH;1958;0
BEH;1959;0
BEH;1960;1
BEH;1961;0
BEH;1962;0
BEH;1963;0
BEH;1964;0
BEH;1965;1
BEH;1966;0
BEH;1967;0
BEH;1968;2
BEH;1969;2
BEH;1970;1
BEH;1971;0
BEH;1972;0
BEH;1973;1
BEH;1974;0
BEH;1975;0
BEH;1976;1
BEH;1977;1
BEH;1978;1
BEH;1979;2
BEH;1980;1
BEH;1981;2
BEH;1982;0
BEH;1983;1
BEH;1984;0
BEH;1985;1
BEH;1986;1
BEH;1987;2
BEH;1988;1
BEH;1989;1
BEH;1990;0
BEH;1991;2
BEH;1992;1
BEH;1993;0
BEH;1994;0
BEH;1995;0
BEH;1996;1
BEH;1997;0
BEH;1998;0
BEH;1999;1
BEH;2000;0
BEH;2001;3
BEH;2002;2
BEH;2003;0
