 

stn;time;rs1000y0
SDO;1901;1
SDO;1902;0
SDO;1903;1
SDO;1904;0
SDO;1905;0
SDO;1906;1
SDO;1907;2
SDO;1908;1
SDO;1909;0
SDO;1910;0
SDO;1911;3
SDO;1912;0
SDO;1913;0
SDO;1914;0
SDO;1915;0
SDO;1916;0
SDO;1917;0
SDO;1918;0
SDO;1919;0
SDO;1920;0
SDO;1921;0
SDO;1922;1
SDO;1923;1
SDO;1924;0
SDO;1925;2
SDO;1926;2
SDO;1927;0
SDO;1928;1
SDO;1929;0
SDO;1930;0
SDO;1931;0
SDO;1932;0
SDO;1933;0
SDO;1934;0
SDO;1935;0
SDO;1936;0
SDO;1937;0
SDO;1938;0
SDO;1939;0
SDO;1940;0
SDO;1941;0
SDO;1942;1
SDO;1943;0
SDO;1944;0
SDO;1945;1
SDO;1946;0
SDO;1947;0
SDO;1948;1
SDO;1949;0
SDO;1950;0
SDO;1951;1
SDO;1952;0
SDO;1953;0
SDO;1954;1
SDO;1955;0
SDO;1956;0
SDO;1957;0
SDO;1958;0
SDO;1959;0
SDO;1960;1
SDO;1961;0
SDO;1962;0
SDO;1963;0
SDO;1964;0
SDO;1965;0
SDO;1966;0
SDO;1967;0
