 

stn;time;rre150y0
MOB;1907;659.9
MOB;1908;655.1
MOB;1909;642.1
MOB;1910;815.3
MOB;1911;674.5
MOB;1912;812.9
MOB;1913;708.6
MOB;1914;924.6
MOB;1915;738.3
MOB;1916;899.2
MOB;1917;715.2
MOB;1918;831.5
MOB;1919;832.8
MOB;1920;501.1
MOB;1921;333.6
MOB;1922;1149.8
MOB;1923;801.2
MOB;1924;564.3
MOB;1925;631.7
MOB;1926;843.5
MOB;1927;742.9
MOB;1928;859.6
MOB;1929;530.2
MOB;1930;884.3
MOB;1931;806.2
MOB;1932;807.6
MOB;1933;662.4
MOB;1934;733.9
MOB;1935;1092.3
MOB;1936;905.7
MOB;1937;834.4
MOB;1938;727.2
MOB;1939;956.0
MOB;1940;1062.1
MOB;1941;621.4
MOB;1942;616.4
MOB;1943;693.3
MOB;1944;946.3
MOB;1945;678.8
MOB;1946;772.2
MOB;1947;663.9
MOB;1948;687.4
MOB;1949;703.8
MOB;1950;863.4
MOB;1951;782.3
MOB;1952;993.2
MOB;1953;502.0
MOB;1954;920.0
MOB;1955;833.1
MOB;1956;618.4
MOB;1957;653.4
MOB;1958;978.7
MOB;1959;903.9
MOB;1960;1018.6
MOB;1961;873.6
MOB;1962;817.6
MOB;1963;856.5
MOB;1964;719.3
MOB;1965;1115.9
MOB;1966;914.6
MOB;1967;722.1
MOB;1968;1108.2
MOB;1969;778.7
MOB;1970;954.9
MOB;1971;733.7
MOB;1972;666.7
MOB;1973;740.8
MOB;1974;907.7
MOB;1975;727.8
MOB;1976;713.4
MOB;1977;1033.3
MOB;1978;1014.1
MOB;1979;1098.9
MOB;1980;939.6
MOB;1981;1314.9
MOB;1982;922.3
MOB;1983;812.2
MOB;1984;817.4
MOB;1985;837.2
MOB;1986;921.0
MOB;1987;885.0
MOB;1988;912.4
MOB;1989;637.0
MOB;1990;946.6
MOB;1991;819.5
MOB;1992;820.9
MOB;1993;918.5
MOB;1994;942.8
MOB;1995;1158.7
MOB;1996;760.7
MOB;1997;688.3
MOB;1998;699.8
MOB;1999;1134.3
MOB;2000;769.2
MOB;2001;867.5
MOB;2002;886.4
MOB;2003;534.3
MOB;2004;701.1
MOB;2005;734.5
MOB;2006;759.3
MOB;2007;1049.3
MOB;2008;863.3
MOB;2009;666.6
MOB;2010;786.1
MOB;2011;804.9
MOB;2012;975.4
MOB;2013;868.9
MOB;2014;852.7
MOB;2015;801.8
MOB;2016;875.5
MOB;2017;763.3
MOB;2018;824.0
MOB;2019;845.4
MOB;2020;809.0
