 

stn;time;rre150y0
WAW;1969;1279.7
WAW;1970;1341.1
WAW;1971;955.6
WAW;1972;1083.8
WAW;1973;1317.6
WAW;1974;1121.1
WAW;1975;1236.4
WAW;1976;979.2
WAW;1977;1489.9
WAW;1978;1181.1
WAW;1979;1408.2
WAW;1980;1224.5
WAW;1981;1484.6
WAW;1982;1452.8
WAW;1983;1236.4
WAW;1984;1290.8
WAW;1985;1021.7
WAW;1986;1434.9
WAW;1987;1301.2
WAW;1988;1117.7
WAW;1989;828.0
WAW;1990;1141.7
WAW;1991;922.7
WAW;1992;1115.7
WAW;1993;1178.0
WAW;1994;1327.7
WAW;1995;1391.8
WAW;1996;1083.6
WAW;1997;1168.0
WAW;1998;1324.2
WAW;1999;1608.2
WAW;2000;1085.9
WAW;2001;1425.9
WAW;2002;1429.2
