 

stn;time;rre150y0
SIM;1961;1191.8
SIM;1962;876.2
SIM;1963;1284.3
SIM;1964;994.5
SIM;1965;1172.8
SIM;1966;1157.0
SIM;1967;836.3
SIM;1968;1481.6
SIM;1969;966.0
SIM;1970;1069.4
SIM;1971;1200.8
SIM;1972;1439.3
SIM;1973;1026.7
SIM;1974;1047.5
SIM;1975;1525.1
SIM;1976;1422.3
SIM;1977;2252.9
SIM;1978;1367.8
SIM;1979;1534.5
SIM;1980;985.5
SIM;1981;1669.7
SIM;1982;1129.2
SIM;1983;1125.3
SIM;1984;1238.6
SIM;1985;943.6
SIM;1986;1336.1
SIM;1987;1267.0
SIM;1988;1135.6
SIM;1989;826.6
SIM;1990;980.1
SIM;1991;1341.4
SIM;1992;1484.0
SIM;1993;1743.1
SIM;1994;1511.4
SIM;1995;1221.1
SIM;1996;1302.2
SIM;1997;1015.6
SIM;1998;969.0
SIM;1999;1464.4
SIM;2000;2033.2
SIM;2001;884.2
SIM;2002;1807.2
SIM;2003;762.5
SIM;2004;1231.5
SIM;2005;845.4
SIM;2006;966.5
SIM;2007;1113.0
SIM;2008;1696.6
SIM;2009;1215.8
SIM;2010;1308.7
SIM;2011;881.9
SIM;2012;1155.2
SIM;2013;1375.1
SIM;2014;1544.2
SIM;2015;1153.0
SIM;2016;1124.5
SIM;2017;954.9
SIM;2018;1920.4
SIM;2019;1366.5
SIM;2020;954.1
