 

stn;time;rre150y0
DOL;1973;1372.9
DOL;1974;1672.0
DOL;1975;1423.8
DOL;1976;1037.2
DOL;1977;1518.0
DOL;1978;1403.2
DOL;1979;2093.5
DOL;1980;2065.8
DOL;1981;2386.2
DOL;1982;1776.0
DOL;1983;2150.1
DOL;1984;1773.5
DOL;1985;1543.6
DOL;1986;1988.6
DOL;1987;1878.0
DOL;1988;2081.2
DOL;1989;1148.7
DOL;1990;2131.5
DOL;1991;1718.3
DOL;1992;2010.3
DOL;1993;2144.6
DOL;1994;1985.3
DOL;1995;2208.5
DOL;1996;1688.7
DOL;1997;1862.8
DOL;1998;1830.8
DOL;1999;2153.1
DOL;2000;1720.9
DOL;2001;2079.7
DOL;2002;2167.1
DOL;2003;1348.4
DOL;2004;1628.2
DOL;2005;1328.6
DOL;2006;1871.7
DOL;2007;2225.7
DOL;2008;1884.1
DOL;2009;1522.2
DOL;2010;1545.4
DOL;2011;1458.2
DOL;2012;1794.6
DOL;2013;1883.4
DOL;2014;1689.3
DOL;2015;1853.0
DOL;2016;2109.4
DOL;2017;1784.3
DOL;2018;1908.0
DOL;2019;2101.8
DOL;2020;1834.6
