 

stn;time;rti150yx
STS;1905;19050805
STS;1906;19060601
STS;1907;19070815
STS;1908;19080523
STS;1909;19090711
STS;1910;19100614
STS;1911;19110825
STS;1912;19120613
STS;1913;19130910
STS;1914;19140827
STS;1915;19150723
STS;1916;19160911
STS;1917;19170704
STS;1918;19180617
STS;1919;19190626
STS;1920;19200504
STS;1921;19210820
STS;1922;19220715
STS;1923;19230815
STS;1924;19240614
STS;1925;19250811
STS;1926;19260719
STS;1927;19270811
STS;1928;19280911
STS;1929;19290819
STS;1930;19300718
STS;1931;19310707
STS;1932;19320309
STS;1933;19330811
STS;1934;19340909
STS;1935;19350623
STS;1936;19360927
STS;1937;19370801
STS;1938;19380813
STS;1939;19390805
STS;1940;19400529
STS;1941;19410812
STS;1942;19420823
STS;1943;19430727
STS;1944;19440831
STS;1945;19450808
STS;1946;19460613
STS;1947;19470622
STS;1948;19480706
STS;1949;19490919
STS;1950;19501125
STS;1951;19510715
STS;1952;19520511
STS;1953;19530718
STS;1954;19540821
STS;1955;19550727
STS;1956;19560710
STS;1957;19570621
STS;1958;19581012
STS;1959;19590916
STS;1960;19600805
STS;1961;19610609
STS;1962;19620802
STS;1963;19630502
STS;1964;19640829
STS;1965;19650518
STS;1966;19660618
STS;1967;19670725
STS;1968;19680921
STS;1969;19690815
STS;1970;19700619
STS;1971;19710606
STS;1972;19720710
STS;1973;19730623
STS;1974;19740909
STS;1975;19750823
