 

stn;time;rti150yx
SUG;1900;19000902
SUG;1901;19010615
SUG;1902;19020517
SUG;1903;19030815
SUG;1904;19040523
SUG;1905;19050806
SUG;1906;19060519
SUG;1907;19070819
SUG;1908;19080622
SUG;1909;19090630
SUG;1910;19100809
SUG;1911;19110625
SUG;1912;19120613
SUG;1913;19130806
SUG;1914;19140110
SUG;1915;19150723
SUG;1916;19160603
SUG;1917;19170611
SUG;1918;19180923
SUG;1919;19190708
SUG;1920;19200727
SUG;1921;19211102
SUG;1922;19220715
SUG;1923;19231107
SUG;1924;19240429
SUG;1925;19250709
SUG;1926;19260529
SUG;1927;19270824
SUG;1928;19280930
SUG;1929;19290610
SUG;1930;19300507
SUG;1931;19310520
SUG;1932;19320709
SUG;1933;19330820
SUG;1934;19340803
SUG;1935;19350819
SUG;1936;19360112
SUG;1937;19370414
SUG;1938;19380813
SUG;1939;19390904
SUG;1940;19400529
SUG;1941;19410812
SUG;1942;19420803
SUG;1943;19430723
SUG;1944;19441107
SUG;1945;19450808
SUG;1946;19460613
SUG;1947;19470717
SUG;1948;19480506
SUG;1949;19490405
SUG;1950;19501125
SUG;1951;19510711
SUG;1952;19521125
SUG;1953;19530527
SUG;1954;19540701
SUG;1955;19550607
SUG;1956;19560529
SUG;1957;19570710
SUG;1958;19580527
SUG;1959;19590607
SUG;1960;19600818
SUG;1961;19610712
SUG;1962;19620101
SUG;1963;19630502
SUG;1964;19640504
SUG;1965;19650610
SUG;1966;19660717
SUG;1967;19670910
SUG;1968;19680921
SUG;1969;19690826
SUG;1970;19700820
SUG;1971;19710606
SUG;1972;19721122
SUG;1973;19730623
SUG;1974;19740718
SUG;1975;19750823
SUG;1976;19760719
SUG;1977;19770731
SUG;1978;19780807
SUG;1979;19790921
SUG;1980;19800629
SUG;1981;19810928
SUG;1982;19820108
SUG;1983;19830522
SUG;1984;19840905
SUG;1985;19850825
SUG;1986;19860409
SUG;1987;19870925
SUG;1988;19880604
SUG;1989;19890417
SUG;1990;19900214
SUG;1991;19910511
SUG;1992;19920624
SUG;1993;19930705
SUG;1994;19940518
SUG;1995;19950531
SUG;1996;19960802
SUG;1997;19970828
SUG;1998;19980701
SUG;1999;19990512
SUG;2000;20000920
SUG;2001;20010715
SUG;2002;20020811
SUG;2003;20031007
SUG;2004;20040812
SUG;2005;20050821
SUG;2006;20060916
SUG;2007;20070808
SUG;2008;20080422
SUG;2009;20090717
SUG;2010;20100925
SUG;2011;20110629
