 

stn;time;rti150yx
COS;1901;19010614
COS;1902;19020517
COS;1903;19030718
COS;1904;19040608
COS;1905;19050811
COS;1906;19061118
COS;1907;19070612
COS;1908;19080805
COS;1909;19091005
COS;1910;19100119
COS;1911;19111109
COS;1912;19121002
COS;1913;19131112
COS;1914;19140805
COS;1915;19151105
COS;1916;19161118
COS;1917;19170809
COS;1918;19180923
COS;1919;19191115
COS;1920;19200307
COS;1921;19210718
COS;1922;19220407
COS;1923;19231013
COS;1924;19240524
COS;1925;19250214
COS;1926;19260904
COS;1927;19270823
COS;1928;19281020
COS;1929;19291225
COS;1930;19300919
COS;1931;19310815
COS;1932;19320506
COS;1933;19330507
COS;1934;19340312
COS;1935;19350930
COS;1936;19360816
COS;1937;19370916
COS;1938;19380612
COS;1939;19390630
COS;1940;19401114
COS;1941;19411207
COS;1942;19420925
COS;1943;19430914
COS;1944;19440902
COS;1945;19450807
COS;1946;19460906
COS;1947;19470717
COS;1948;19480728
COS;1949;19490309
COS;1950;19501111
COS;1951;19511022
COS;1952;19520806
COS;1953;19530609
COS;1954;19540821
COS;1955;19550517
COS;1956;19560530
COS;1957;19570811
COS;1958;19580514
COS;1959;19590306
COS;1960;19600930
COS;1961;19611017
COS;1962;19620304
COS;1963;19630803
COS;1964;19640613
COS;1965;19650707
COS;1966;19660505
COS;1967;19671115
COS;1968;19680914
COS;1969;19690612
COS;1970;19700607
COS;1971;19710826
COS;1972;19720627
COS;1973;19731014
COS;1974;19740531
COS;1975;19750914
COS;1976;19760909
COS;1977;19770428
COS;1978;19780807
COS;1979;19790325
COS;1980;19800726
COS;1981;19810525
COS;1982;19820815
COS;1983;19831126
COS;1984;19840904
COS;1985;19850122
COS;1986;19860123
COS;1987;19870926
COS;1988;19880124
COS;1989;19890223
COS;1990;19900214
COS;1991;19910922
COS;1992;19921115
COS;1993;19930909
COS;1994;19940912
COS;1995;19950912
COS;1996;19960707
COS;1997;19970621
COS;1998;19980812
COS;1999;19990925
COS;2000;20000703
COS;2001;20010302
COS;2002;20021114
COS;2003;20030430
COS;2004;20040819
COS;2005;20050416
COS;2006;20060409
COS;2007;20070808
COS;2008;20080812
COS;2009;20091224
COS;2010;20101205
COS;2011;20110717
COS;2012;20121110
COS;2013;20130728
COS;2014;20141007
COS;2015;20150501
COS;2016;20161105
COS;2017;20171211
COS;2018;20180612
COS;2019;20190615
COS;2020;20201023
