 

stn;time;rti150yx
DLFEL;1959;19590715
DLFEL;1960;19600626
DLFEL;1961;19610812
DLFEL;1962;19620916
DLFEL;1963;19630605
DLFEL;1964;19641008
DLFEL;1965;19650529
DLFEL;1966;19660719
DLFEL;1967;19670609
DLFEL;1968;19680802
DLFEL;1969;19690705
DLFEL;1970;19700609
DLFEL;1971;19710525
DLFEL;1972;19720710
DLFEL;1973;19731115
DLFEL;1974;19740827
DLFEL;1975;19750810
DLFEL;1976;19760425
DLFEL;1977;19770731
DLFEL;1978;19780508
DLFEL;1979;19790617
DLFEL;1980;19800424
DLFEL;1981;19810719
DLFEL;1982;19820109
DLFEL;1983;19830621
DLFEL;1984;19840808
DLFEL;1985;19850806
DLFEL;1986;19860621
DLFEL;1987;19870701
DLFEL;1988;19880820
DLFEL;1989;19890923
DLFEL;1990;19900214
DLFEL;1991;19910712
DLFEL;1992;19920722
DLFEL;1993;19930719
DLFEL;1994;19940412
DLFEL;1995;19950601
DLFEL;1996;19960708
