 

stn;time;rti150yx
EBK;1880;18801214
EBK;1881;18810901
EBK;1882;18820721
EBK;1883;18830429
EBK;1884;18840826
EBK;1885;18850928
EBK;1886;18860908
EBK;1887;18871209
EBK;1888;18880901
EBK;1889;18891010
EBK;1890;18900829
EBK;1891;18910704
EBK;1892;18920903
EBK;1893;18931102
EBK;1894;18940525
EBK;1895;18950811
EBK;1896;18960307
EBK;1897;18970201
EBK;1898;18980808
EBK;1899;18990113
EBK;1900;19001205
EBK;1901;19010802
EBK;1902;19020517
EBK;1903;19030819
EBK;1904;19040523
EBK;1905;19050405
EBK;1906;19060520
EBK;1907;19070310
EBK;1908;19081122
EBK;1909;19090413
EBK;1910;19100614
EBK;1911;19110517
EBK;1912;19120613
EBK;1913;19131116
EBK;1914;19140109
EBK;1915;19150306
EBK;1916;19160911
EBK;1917;19170607
EBK;1918;19181223
EBK;1919;19191223
EBK;1920;19200727
EBK;1921;19211103
EBK;1922;19220715
EBK;1923;19231226
EBK;1924;19241101
EBK;1925;19250717
EBK;1926;19260619
EBK;1927;19270710
EBK;1928;19280214
EBK;1929;19291019
EBK;1930;19300718
EBK;1931;19310727
EBK;1932;19320708
EBK;1933;19330715
EBK;1934;19340909
EBK;1935;19351201
EBK;1936;19360629
EBK;1937;19370222
EBK;1938;19380813
EBK;1939;19390307
EBK;1940;19400529
EBK;1941;19410812
EBK;1942;19420823
EBK;1943;19430401
EBK;1944;19441107
EBK;1945;19450928
EBK;1946;19460613
EBK;1947;19470314
EBK;1948;19480705
EBK;1949;19490907
EBK;1950;19501116
EBK;1951;19510120
EBK;1952;19521110
EBK;1953;19530625
EBK;1954;19541222
EBK;1955;19550112
EBK;1956;19560303
EBK;1957;19570224
EBK;1958;19580610
EBK;1959;19590501
EBK;1960;19600628
EBK;1961;19611211
EBK;1962;19621215
EBK;1963;19630607
EBK;1964;19640504
EBK;1965;19650610
EBK;1966;19660623
EBK;1967;19670126
EBK;1968;19680921
EBK;1969;19690826
EBK;1970;19700809
EBK;1971;19710811
EBK;1972;19720721
EBK;1973;19731114
EBK;1974;19740823
EBK;1975;19750823
EBK;1976;19760726
EBK;1977;19770731
EBK;1978;19780807
EBK;1979;19791106
EBK;1980;19800204
EBK;1981;19810928
EBK;1982;19820108
EBK;1983;19830801
EBK;1984;19840725
EBK;1985;19850430
EBK;1986;19860123
EBK;1987;19870615
EBK;1988;19880312
EBK;1989;19890731
EBK;1990;19900214
EBK;1991;19910616
EBK;1992;19921121
EBK;1993;19930710
EBK;1994;19940706
EBK;1995;19950808
EBK;1996;19961129
EBK;1997;19971221
EBK;1998;19980912
EBK;1999;19990512
EBK;2000;20000920
EBK;2001;20010908
EBK;2002;20020319
EBK;2003;20030716
EBK;2004;20040113
EBK;2005;20050821
EBK;2006;20060916
EBK;2007;20070807
EBK;2008;20080815
EBK;2009;20090717
EBK;2010;20100717
EBK;2011;20110629
EBK;2012;20121009
