 

stn;time;rti150yx
IYNAT;1967;19670609
IYNAT;1968;19681103
IYNAT;1969;19690115
IYNAT;1970;19700821
IYNAT;1971;19711110
IYNAT;1972;19720613
IYNAT;1973;19730410
IYNAT;1974;19740828
IYNAT;1975;19751118
IYNAT;1976;19761030
IYNAT;1977;19770514
IYNAT;1978;19780808
IYNAT;1979;19790922
IYNAT;1980;19801017
IYNAT;1981;19810526
IYNAT;1982;19821006
IYNAT;1983;19830523
IYNAT;1984;19840521
IYNAT;1985;19850514
IYNAT;1986;19860201
IYNAT;1987;19870825
IYNAT;1988;19880804
IYNAT;1989;19890405
IYNAT;1990;19900214
IYNAT;1991;19910801
IYNAT;1992;19920619
IYNAT;1993;19931003
IYNAT;1994;19940702
IYNAT;1995;19950908
IYNAT;1996;19961018
IYNAT;1997;19971107
IYNAT;1998;19981008
IYNAT;1999;19990921
IYNAT;2000;20000921
IYNAT;2001;20010716
IYNAT;2002;20021116
IYNAT;2003;20031101
IYNAT;2004;20041027
IYNAT;2005;20051003
IYNAT;2006;20061005
IYNAT;2007;20070809
