 

stn;time;rti150yx
IYMMR;1924;19240814
IYMMR;1925;19251223
IYMMR;1926;19261122
IYMMR;1927;19271110
IYMMR;1928;19281022
IYMMR;1929;19290707
IYMMR;1930;19300719
IYMMR;1931;19311026
IYMMR;1932;19321010
IYMMR;1933;19331009
IYMMR;1934;19341107
IYMMR;1935;19351112
IYMMR;1936;19361203
IYMMR;1937;19370918
IYMMR;1938;19380613
IYMMR;1939;19390613
IYMMR;1940;19401118
IYMMR;1941;19410728
IYMMR;1942;19420927
IYMMR;1943;19430525
IYMMR;1944;19440722
IYMMR;1945;19450809
IYMMR;1946;19460831
IYMMR;1947;19470709
IYMMR;1948;19480620
IYMMR;1949;19490830
IYMMR;1950;19500916
IYMMR;1951;19510809
IYMMR;1952;19521026
IYMMR;1953;19530822
IYMMR;1954;19540822
IYMMR;1955;19551018
IYMMR;1956;19560903
IYMMR;1957;19570720
IYMMR;1958;19580528
IYMMR;1959;19591029
IYMMR;1960;19600917
IYMMR;1961;19611113
IYMMR;1962;19620602
IYMMR;1963;19630818
IYMMR;1964;19641129
IYMMR;1965;19650823
IYMMR;1966;19661105
IYMMR;1967;19670905
IYMMR;1968;19680916
IYMMR;1969;19690115
IYMMR;1970;19700912
IYMMR;1971;19711110
IYMMR;1972;19720711
IYMMR;1973;19730507
IYMMR;1974;19740305
IYMMR;1975;19750719
IYMMR;1976;19760930
IYMMR;1977;19770704
IYMMR;1978;19780705
IYMMR;1979;19790128
IYMMR;1980;19801017
IYMMR;1981;19810704
IYMMR;1982;19820627
IYMMR;1983;19830523
IYMMR;1984;19840906
IYMMR;1985;19850806
IYMMR;1986;19860201
IYMMR;1987;19870719
IYMMR;1988;19881012
IYMMR;1989;19890708
IYMMR;1990;19900215
IYMMR;1991;19910617
IYMMR;1992;19920901
IYMMR;1993;19930914
IYMMR;1994;19940915
IYMMR;1995;19950426
IYMMR;1996;19960622
IYMMR;1997;19970628
IYMMR;1998;19980912
IYMMR;1999;19990921
IYMMR;2000;20000725
IYMMR;2001;20010611
IYMMR;2002;20021115
IYMMR;2003;20031101
IYMMR;2004;20040709
IYMMR;2005;20051003
IYMMR;2006;20060707
IYMMR;2007;20071124
IYMMR;2008;20080731
IYMMR;2009;20091201
IYMMR;2010;20100812
IYMMR;2011;20110919
IYMMR;2012;20120927
IYMMR;2013;20131024
IYMMR;2014;20140630
IYMMR;2015;20150520
IYMMR;2016;20160805
IYMMR;2017;20171212
IYMMR;2018;20181027
IYMMR;2019;20190201
