 

stn;time;rti150yx
IYTOB;1965;19650902
IYTOB;1966;19660820
IYTOB;1967;19670616
IYTOB;1968;19680807
IYTOB;1969;19690915
IYTOB;1970;19700716
IYTOB;1971;19711110
IYTOB;1972;19720613
IYTOB;1973;19730929
IYTOB;1974;19740627
IYTOB;1975;19751118
IYTOB;1976;19760914
IYTOB;1977;19770801
IYTOB;1978;19781004
IYTOB;1979;19790317
IYTOB;1980;19801018
IYTOB;1981;19810719
IYTOB;1982;19821007
IYTOB;1983;19830524
IYTOB;1984;19840521
IYTOB;1985;19850807
IYTOB;1986;19860201
IYTOB;1987;19870825
IYTOB;1988;19880715
IYTOB;1989;19890405
IYTOB;1990;19901126
IYTOB;1991;19910714
IYTOB;1992;19920802
IYTOB;1993;19931003
IYTOB;1994;19940818
IYTOB;1995;19950723
IYTOB;1996;19961016
IYTOB;1997;19970718
IYTOB;1998;19981007
IYTOB;1999;19990921
IYTOB;2000;20001107
IYTOB;2001;20010108
IYTOB;2002;20021119
IYTOB;2003;20030729
IYTOB;2004;20041101
IYTOB;2005;20050727
IYTOB;2006;20060916
IYTOB;2007;20070627
IYTOB;2008;20081030
IYTOB;2009;20091201
IYTOB;2010;20101224
IYTOB;2011;20110919
IYTOB;2012;20121129
IYTOB;2013;20130624
IYTOB;2014;20141106
IYTOB;2015;20150805
IYTOB;2016;20160810
IYTOB;2017;20170806
IYTOB;2018;20180825
IYTOB;2019;20191112
