 

stn;time;rti150yx
GUE;1958;19581001
GUE;1959;19591028
GUE;1960;19600905
GUE;1961;19610609
GUE;1962;19621216
GUE;1963;19630330
GUE;1964;19640614
GUE;1965;19650822
GUE;1966;19661104
GUE;1967;19670320
GUE;1968;19680506
GUE;1969;19690416
GUE;1970;19700203
GUE;1971;19711109
GUE;1972;19720611
GUE;1973;19730127
GUE;1974;19741128
GUE;1975;19750406
GUE;1976;19761107
GUE;1977;19770829
GUE;1978;19780202
GUE;1979;19791106
GUE;1980;19801017
GUE;1981;19810718
GUE;1982;19820129
GUE;1983;19830115
GUE;1984;19840905
GUE;1985;19850825
GUE;1986;19860113
GUE;1987;19870824
GUE;1988;19881012
GUE;1989;19890412
GUE;1990;19900214
GUE;1991;19911221
GUE;1992;19920831
GUE;1993;19931002
GUE;1994;19940128
GUE;1995;19950110
GUE;1996;19960502
GUE;1997;19970828
GUE;1998;19980911
GUE;1999;19990128
GUE;2000;20000920
GUE;2001;20010715
GUE;2002;20020527
GUE;2003;20031127
GUE;2004;20040505
GUE;2005;20050121
GUE;2006;20060522
GUE;2007;20071110
GUE;2008;20081121
GUE;2009;20091130
