 

stn;time;rzz150yx
LUZ;1981;13.4
LUZ;1982;9.5
LUZ;1983;8.7
LUZ;1984;11.2
LUZ;1985;8.7
LUZ;1986;10.1
LUZ;1987;8.3
LUZ;1988;14.4
LUZ;1989;14.6
LUZ;1990;10.9
LUZ;1991;11.8
LUZ;1992;13.4
LUZ;1993;14.7
LUZ;1994;13.0
LUZ;1995;9.6
LUZ;1996;9.1
LUZ;1997;16.8
LUZ;1998;10.9
LUZ;1999;10.0
LUZ;2000;11.4
LUZ;2001;13.5
LUZ;2002;14.4
LUZ;2003;13.2
LUZ;2004;8.2
LUZ;2005;13.1
LUZ;2006;18.0
LUZ;2007;11.8
LUZ;2008;10.6
LUZ;2009;14.4
LUZ;2010;15.1
LUZ;2011;13.6
LUZ;2012;9.0
LUZ;2013;9.3
LUZ;2014;15.5
LUZ;2015;14.9
LUZ;2016;8.7
LUZ;2017;9.5
LUZ;2018;9.1
LUZ;2019;9.6
LUZ;2020;7.5
