 

stn;time;rhs150d0
SMA;18640101;6.9
SMA;18640102;4.9
SMA;18640103;0.1
SMA;18640104;0.2
SMA;18640105;0.0
SMA;18640106;0.0
SMA;18640107;0.0
SMA;18640108;0.0
SMA;18640109;0.0
SMA;18640110;0.0
SMA;18640111;0.0
SMA;18640112;0.0
SMA;18640113;0.0
SMA;18640114;0.0
SMA;18640115;0.0
SMA;18640116;0.0
SMA;18640117;0.0
SMA;18640118;0.0
SMA;18640119;0.0
SMA;18640120;0.0
SMA;18640121;0.0
SMA;18640122;0.0
SMA;18640123;0.0
SMA;18640124;0.0
SMA;18640125;5.7
SMA;18640126;0.0
SMA;18640127;0.0
SMA;18640128;0.1
SMA;18640129;7.5
SMA;18640130;0.3
SMA;18640131;0.0
SMA;18640201;0.0
SMA;18640202;0.0
SMA;18640203;0.0
SMA;18640204;7.4
SMA;18640205;3.6
SMA;18640206;0.4
SMA;18640207;0.2
SMA;18640208;2.8
SMA;18640209;0.2
SMA;18640210;0.0
SMA;18640211;0.0
SMA;18640212;0.0
SMA;18640213;7.7
SMA;18640214;0.0
SMA;18640215;0.0
SMA;18640216;0.0
SMA;18640217;6.9
SMA;18640218;3.6
SMA;18640219;0.1
SMA;18640220;0.0
SMA;18640221;0.0
SMA;18640222;0.0
SMA;18640223;0.0
SMA;18640224;0.0
SMA;18640225;0.0
SMA;18640226;0.0
SMA;18640227;0.0
SMA;18640228;0.0
SMA;18640229;0.0
SMA;18640301;3.1
SMA;18640302;0.0
SMA;18640303;2.0
SMA;18640304;0.5
SMA;18640305;0.5
SMA;18640306;3.4
SMA;18640307;0.1
SMA;18640308;0.0
SMA;18640309;1.4
SMA;18640310;11.5
SMA;18640311;0.0
SMA;18640312;2.5
SMA;18640313;0.0
SMA;18640314;0.0
SMA;18640315;0.0
SMA;18640316;0.0
SMA;18640317;0.4
SMA;18640318;0.0
SMA;18640319;0.0
SMA;18640320;0.0
SMA;18640321;0.0
SMA;18640322;1.1
SMA;18640323;10.8
SMA;18640324;0.4
SMA;18640325;0.0
SMA;18640326;1.1
SMA;18640327;0.1
SMA;18640328;8.1
SMA;18640329;1.0
SMA;18640330;0.0
SMA;18640331;3.1
SMA;18640401;0.0
SMA;18640402;4.2
SMA;18640403;0.0
SMA;18640404;0.0
SMA;18640405;16.6
SMA;18640406;0.9
SMA;18640407;0.0
SMA;18640408;0.0
SMA;18640409;0.0
SMA;18640410;0.0
SMA;18640411;0.0
SMA;18640412;0.0
SMA;18640413;0.0
SMA;18640414;0.0
SMA;18640415;0.0
SMA;18640416;0.0
SMA;18640417;9.4
SMA;18640418;0.4
SMA;18640419;0.0
SMA;18640420;0.0
SMA;18640421;0.0
SMA;18640422;0.0
SMA;18640423;0.0
SMA;18640424;0.0
SMA;18640425;0.0
SMA;18640426;0.0
SMA;18640427;0.0
SMA;18640428;0.9
SMA;18640429;5.1
SMA;18640430;9.5
SMA;18640501;0.0
SMA;18640502;0.0
SMA;18640503;9.0
SMA;18640504;4.2
SMA;18640505;16.1
SMA;18640506;0.0
SMA;18640507;0.0
SMA;18640508;1.8
SMA;18640509;0.2
SMA;18640510;1.4
SMA;18640511;0.0
SMA;18640512;0.0
SMA;18640513;4.3
SMA;18640514;28.5
SMA;18640515;9.5
SMA;18640516;0.0
SMA;18640517;0.0
SMA;18640518;0.0
SMA;18640519;0.0
SMA;18640520;0.5
SMA;18640521;0.0
SMA;18640522;1.8
SMA;18640523;0.0
SMA;18640524;1.1
SMA;18640525;0.0
SMA;18640526;0.0
SMA;18640527;0.0
SMA;18640528;0.0
SMA;18640529;0.0
SMA;18640530;0.0
SMA;18640531;0.0
SMA;18640601;2.5
SMA;18640602;1.3
SMA;18640603;10.2
SMA;18640604;0.0
SMA;18640605;11.3
SMA;18640606;3.0
SMA;18640607;0.0
SMA;18640608;0.4
SMA;18640609;0.3
SMA;18640610;16.1
SMA;18640611;24.1
SMA;18640612;0.0
SMA;18640613;0.0
SMA;18640614;0.0
SMA;18640615;2.4
SMA;18640616;6.9
SMA;18640617;20.5
SMA;18640618;2.6
SMA;18640619;0.1
SMA;18640620;0.0
SMA;18640621;0.0
SMA;18640622;0.0
SMA;18640623;0.0
SMA;18640624;0.0
SMA;18640625;0.0
SMA;18640626;0.1
SMA;18640627;19.7
SMA;18640628;24.8
SMA;18640629;0.0
SMA;18640630;0.0
SMA;18640701;5.7
SMA;18640702;0.0
SMA;18640703;0.0
SMA;18640704;11.4
SMA;18640705;0.0
SMA;18640706;0.0
SMA;18640707;0.0
SMA;18640708;0.0
SMA;18640709;1.4
SMA;18640710;0.0
SMA;18640711;0.0
SMA;18640712;0.0
SMA;18640713;4.4
SMA;18640714;3.6
SMA;18640715;1.3
SMA;18640716;0.0
SMA;18640717;2.1
SMA;18640718;0.7
SMA;18640719;3.0
SMA;18640720;0.0
SMA;18640721;0.0
SMA;18640722;4.1
SMA;18640723;1.8
SMA;18640724;0.0
SMA;18640725;0.7
SMA;18640726;7.4
