 

stn;time;rsd300m0
BNU;201711;1
BNU;201712;1
BNU;201801;0
BNU;201802;0
BNU;201803;0
BNU;201804;0
BNU;201805;0
BNU;201806;1
BNU;201807;0
BNU;201808;1
BNU;201809;1
BNU;201810;0
BNU;201811;0
BNU;201812;0
BNU;201901;0
BNU;201902;0
BNU;201903;0
BNU;201904;0
BNU;201905;2
BNU;201906;2
BNU;201907;0
BNU;201908;1
BNU;201909;0
BNU;201910;0
BNU;201911;0
BNU;201912;0
BNU;202001;0
BNU;202002;0
BNU;202003;0
BNU;202004;0
BNU;202005;0
BNU;202006;0
BNU;202007;0
BNU;202008;3
BNU;202009;0
BNU;202010;0
BNU;202011;0
BNU;202012;0
BNU;202101;1
BNU;202102;0
BNU;202103;0
BNU;202104;0
BNU;202105;0
