 

stn;time;rsd300m0
VDBAU;201301;0
VDBAU;201302;1
VDBAU;201303;0
VDBAU;201304;0
VDBAU;201305;0
VDBAU;201306;0
VDBAU;201307;0
VDBAU;201308;0
VDBAU;201309;0
VDBAU;201310;0
VDBAU;201311;0
VDBAU;201312;1
VDBAU;201401;0
VDBAU;201402;0
VDBAU;201403;0
VDBAU;201404;0
VDBAU;201405;0
VDBAU;201406;0
VDBAU;201407;0
VDBAU;201408;0
VDBAU;201409;0
VDBAU;201410;0
VDBAU;201411;0
VDBAU;201412;0
VDBAU;201501;0
VDBAU;201502;0
VDBAU;201503;1
VDBAU;201504;0
VDBAU;201505;0
VDBAU;201506;0
VDBAU;201507;0
VDBAU;201508;0
VDBAU;201509;1
VDBAU;201510;0
VDBAU;201511;1
VDBAU;201512;0
VDBAU;201601;0
VDBAU;201602;0
VDBAU;201603;0
VDBAU;201604;0
VDBAU;201605;0
VDBAU;201606;0
VDBAU;201607;0
VDBAU;201608;0
VDBAU;201609;0
VDBAU;201610;0
VDBAU;201611;0
VDBAU;201612;0
VDBAU;201701;0
VDBAU;201702;0
VDBAU;201703;0
VDBAU;201704;0
VDBAU;201705;0
VDBAU;201706;0
VDBAU;201707;0
VDBAU;201708;0
VDBAU;201709;0
VDBAU;201710;0
VDBAU;201711;1
VDBAU;201712;1
VDBAU;201801;3
VDBAU;201802;0
VDBAU;201803;0
VDBAU;201804;0
VDBAU;201805;0
VDBAU;201806;2
VDBAU;201807;1
VDBAU;201808;0
VDBAU;201809;0
VDBAU;201810;0
VDBAU;201811;0
VDBAU;201812;3
VDBAU;201901;0
VDBAU;201902;-
VDBAU;201903;0
VDBAU;201904;0
VDBAU;201905;0
VDBAU;201906;0
VDBAU;201907;0
VDBAU;201908;0
VDBAU;201909;0
VDBAU;201910;1
VDBAU;201911;0
VDBAU;201912;1
VDBAU;202001;0
VDBAU;202002;0
VDBAU;202003;1
VDBAU;202004;0
VDBAU;202005;1
VDBAU;202006;0
VDBAU;202007;0
VDBAU;202008;0
VDBAU;202009;0
VDBAU;202010;1
VDBAU;202011;0
VDBAU;202012;0
VDBAU;202101;3
VDBAU;202102;0
VDBAU;202103;1
VDBAU;202104;0
VDBAU;202105;1
