 

stn;time;rsd300m0
BOV;196801;0
BOV;196802;0
BOV;196803;0
BOV;196804;0
BOV;196805;0
BOV;196806;0
BOV;196807;1
BOV;196808;1
BOV;196809;2
BOV;196810;0
BOV;196811;0
BOV;196812;0
BOV;196901;0
BOV;196902;0
BOV;196903;0
BOV;196904;2
BOV;196905;0
BOV;196906;0
BOV;196907;1
BOV;196908;0
BOV;196909;0
BOV;196910;0
BOV;196911;0
BOV;196912;0
BOV;197001;0
BOV;197002;2
BOV;197003;0
BOV;197004;0
BOV;197005;0
BOV;197006;1
BOV;197007;0
BOV;197008;2
BOV;197009;0
BOV;197010;0
BOV;197011;0
BOV;197012;0
BOV;197101;0
BOV;197102;0
BOV;197103;0
BOV;197104;0
BOV;197105;0
BOV;197106;0
BOV;197107;2
BOV;197108;2
BOV;197109;0
BOV;197110;0
BOV;197111;1
BOV;197112;0
BOV;197201;0
BOV;197202;0
BOV;197203;0
BOV;197204;0
BOV;197205;0
BOV;197206;0
BOV;197207;0
BOV;197208;0
BOV;197209;0
BOV;197210;0
BOV;197211;4
BOV;197212;1
BOV;197301;0
BOV;197302;0
BOV;197303;0
BOV;197304;0
BOV;197305;0
BOV;197306;1
BOV;197307;0
BOV;197308;0
BOV;197309;0
BOV;197310;0
BOV;197311;0
BOV;197312;1
BOV;197401;0
BOV;197402;0
BOV;197403;0
BOV;197404;0
BOV;197405;2
BOV;197406;1
BOV;197407;0
BOV;197408;0
BOV;197409;1
BOV;197410;1
BOV;197411;0
BOV;197412;0
BOV;197501;1
BOV;197502;0
BOV;197503;0
BOV;197504;0
BOV;197505;0
BOV;197506;0
BOV;197507;0
BOV;197508;2
BOV;197509;1
BOV;197510;0
BOV;197511;0
BOV;197512;0
BOV;197601;0
BOV;197602;0
BOV;197603;0
BOV;197604;0
BOV;197605;0
BOV;197606;0
BOV;197607;1
BOV;197608;0
BOV;197609;1
BOV;197610;0
BOV;197611;0
BOV;197612;1
BOV;197701;0
BOV;197702;1
BOV;197703;0
BOV;197704;0
BOV;197705;1
BOV;197706;0
BOV;197707;2
BOV;197708;1
BOV;197709;0
BOV;197710;0
BOV;197711;1
BOV;197712;0
BOV;197801;0
BOV;197802;0
BOV;197803;1
BOV;197804;0
BOV;197805;0
BOV;197806;0
BOV;197807;1
BOV;197808;2
BOV;197809;0
BOV;197810;0
BOV;197811;0
BOV;197812;0
BOV;197901;1
BOV;197902;0
BOV;197903;0
BOV;197904;0
BOV;197905;0
BOV;197906;0
BOV;197907;0
BOV;197908;0
BOV;197909;0
BOV;197910;0
BOV;197911;1
BOV;197912;1
BOV;198001;1
BOV;198002;1
BOV;198003;0
BOV;198004;0
BOV;198005;0
BOV;198006;0
BOV;198007;0
BOV;198008;1
BOV;198009;0
BOV;198010;1
BOV;198011;0
BOV;198012;0
BOV;198101;1
BOV;198102;0
BOV;198103;1
BOV;198104;0
BOV;198105;1
BOV;198106;0
BOV;198107;0
BOV;198108;0
BOV;198109;0
BOV;198110;2
BOV;198111;1
BOV;198112;2
BOV;198201;2
BOV;198202;0
BOV;198203;0
BOV;198204;0
BOV;198205;0
BOV;198206;1
BOV;198207;1
BOV;198208;0
BOV;198209;0
BOV;198210;1
BOV;198211;0
BOV;198212;0
BOV;198301;1
BOV;198302;0
BOV;198303;0
BOV;198304;0
BOV;198305;0
BOV;198306;0
BOV;198307;0
BOV;198308;2
BOV;198309;2
BOV;198310;0
BOV;198311;2
BOV;198312;0
BOV;198401;0
BOV;198402;2
BOV;198403;0
BOV;198404;0
BOV;198405;0
BOV;198406;0
BOV;198407;0
BOV;198408;0
BOV;198409;0
BOV;198410;1
BOV;198411;0
BOV;198412;0
BOV;198501;0
BOV;198502;0
BOV;198503;0
BOV;198504;0
BOV;198505;1
BOV;198506;0
BOV;198507;0
BOV;198508;0
BOV;198509;0
BOV;198510;0
BOV;198511;0
BOV;198512;1
BOV;198601;2
BOV;198602;0
BOV;198603;0
BOV;198604;1
BOV;198605;0
BOV;198606;0
BOV;198607;1
BOV;198608;0
BOV;198609;0
BOV;198610;1
BOV;198611;0
BOV;198612;1
BOV;198701;0
BOV;198702;1
BOV;198703;0
BOV;198704;0
BOV;198705;0
BOV;198706;1
BOV;198707;1
BOV;198708;0
BOV;198709;2
BOV;198710;0
BOV;198711;0
BOV;198712;0
BOV;198801;0
BOV;198802;0
BOV;198803;1
BOV;198804;0
BOV;198805;0
BOV;198806;1
BOV;198807;0
BOV;198808;0
BOV;198809;1
BOV;198810;0
BOV;198811;0
BOV;198812;2
BOV;198901;0
BOV;198902;0
BOV;198903;0
BOV;198904;0
BOV;198905;0
BOV;198906;0
BOV;198907;0
BOV;198908;0
BOV;198909;0
BOV;198910;0
BOV;198911;0
BOV;198912;1
BOV;199001;0
BOV;199002;3
BOV;199003;0
BOV;199004;0
BOV;199005;0
BOV;199006;0
BOV;199007;0
BOV;199008;0
BOV;199009;0
BOV;199010;0
BOV;199011;0
BOV;199012;0
BOV;199101;0
BOV;199102;0
BOV;199103;1
BOV;199104;0
BOV;199105;0
BOV;199106;0
BOV;199107;1
BOV;199108;0
BOV;199109;1
BOV;199110;0
BOV;199111;0
BOV;199112;1
BOV;199201;0
BOV;199202;0
BOV;199203;0
BOV;199204;1
BOV;199205;0
BOV;199206;0
BOV;199207;0
BOV;199208;1
BOV;199209;0
BOV;199210;1
BOV;199211;0
BOV;199212;0
BOV;199301;0
BOV;199302;0
BOV;199303;0
BOV;199304;0
BOV;199305;0
BOV;199306;0
BOV;199307;0
BOV;199308;1
BOV;199309;2
BOV;199310;0
BOV;199311;0
BOV;199312;0
BOV;199401;0
BOV;199402;0
BOV;199403;0
BOV;199404;0
BOV;199405;0
BOV;199406;0
BOV;199407;0
BOV;199408;1
BOV;199409;2
BOV;199410;0
BOV;199411;0
BOV;199412;1
BOV;199501;2
BOV;199502;1
BOV;199503;1
BOV;199504;0
BOV;199505;0
BOV;199506;0
BOV;199507;0
BOV;199508;1
BOV;199509;1
BOV;199510;0
BOV;199511;1
BOV;199512;1
BOV;199601;0
BOV;199602;0
BOV;199603;0
BOV;199604;0
BOV;199605;0
BOV;199606;0
BOV;199607;1
BOV;199608;0
BOV;199609;0
BOV;199610;0
BOV;199611;1
BOV;199612;0
BOV;199701;0
BOV;199702;0
BOV;199703;0
BOV;199704;0
BOV;199705;0
BOV;199706;1
BOV;199707;0
BOV;199708;0
BOV;199709;1
BOV;199710;0
BOV;199711;0
BOV;199712;1
BOV;199801;0
BOV;199802;0
BOV;199803;0
BOV;199804;0
BOV;199805;0
BOV;199806;0
BOV;199807;0
BOV;199808;0
BOV;199809;1
BOV;199810;1
BOV;199811;0
BOV;199812;0
BOV;199901;1
BOV;199902;1
BOV;199903;0
BOV;199904;0
BOV;199905;0
BOV;199906;0
BOV;199907;1
BOV;199908;0
BOV;199909;2
BOV;199910;0
BOV;199911;0
BOV;199912;2
BOV;200001;0
BOV;200002;1
BOV;200003;0
BOV;200004;0
BOV;200005;0
BOV;200006;0
BOV;200007;0
BOV;200008;0
BOV;200009;0
BOV;200010;0
BOV;200011;0
BOV;200012;0
BOV;200101;1
BOV;200102;0
BOV;200103;2
BOV;200104;1
BOV;200105;0
BOV;200106;0
BOV;200107;1
BOV;200108;0
BOV;200109;0
BOV;200110;0
BOV;200111;1
BOV;200112;1
BOV;200201;0
BOV;200202;1
BOV;200203;0
BOV;200204;0
BOV;200205;1
BOV;200206;0
BOV;200207;0
BOV;200208;0
BOV;200209;0
BOV;200210;2
BOV;200211;3
BOV;200212;0
BOV;200301;0
BOV;200302;1
BOV;200303;0
BOV;200304;0
BOV;200305;0
BOV;200306;0
BOV;200307;1
BOV;200308;1
BOV;200309;0
