 

stn;time;rsd300m0
GDI;196101;0
GDI;196102;0
GDI;196103;0
GDI;196104;1
GDI;196105;0
GDI;196106;0
GDI;196107;0
GDI;196108;0
GDI;196109;0
GDI;196110;1
GDI;196111;0
GDI;196112;1
GDI;196201;0
GDI;196202;0
GDI;196203;0
GDI;196204;0
GDI;196205;0
GDI;196206;1
GDI;196207;0
GDI;196208;0
GDI;196209;0
GDI;196210;0
GDI;196211;0
GDI;196212;0
GDI;196301;0
GDI;196302;0
GDI;196303;1
GDI;196304;0
GDI;196305;0
GDI;196306;0
GDI;196307;0
GDI;196308;1
GDI;196309;0
GDI;196310;0
GDI;196311;0
GDI;196312;0
GDI;196401;0
GDI;196402;0
GDI;196403;0
GDI;196404;0
GDI;196405;0
GDI;196406;1
GDI;196407;0
GDI;196408;0
GDI;196409;0
GDI;196410;0
GDI;196411;0
GDI;196412;0
GDI;196501;0
GDI;196502;0
GDI;196503;1
GDI;196504;0
GDI;196505;1
GDI;196506;0
GDI;196507;2
GDI;196508;1
GDI;196509;0
GDI;196510;0
GDI;196511;1
GDI;196512;0
GDI;196601;0
GDI;196602;1
GDI;196603;0
GDI;196604;0
GDI;196605;0
GDI;196606;0
GDI;196607;0
GDI;196608;0
GDI;196609;0
GDI;196610;1
GDI;196611;0
GDI;196612;0
GDI;196701;0
GDI;196702;1
GDI;196703;0
GDI;196704;0
GDI;196705;0
GDI;196706;0
GDI;196707;0
GDI;196708;0
GDI;196709;0
GDI;196710;0
GDI;196711;0
GDI;196712;0
GDI;196801;0
GDI;196802;0
GDI;196803;0
GDI;196804;0
GDI;196805;1
GDI;196806;0
GDI;196807;0
GDI;196808;1
GDI;196809;1
GDI;196810;0
GDI;196811;1
GDI;196812;1
GDI;196901;0
GDI;196902;0
GDI;196903;0
GDI;196904;0
GDI;196905;0
GDI;196906;1
GDI;196907;0
GDI;196908;1
GDI;196909;0
GDI;196910;0
GDI;196911;0
GDI;196912;0
GDI;197001;0
GDI;197002;2
GDI;197003;0
GDI;197004;0
GDI;197005;0
GDI;197006;0
GDI;197007;0
GDI;197008;0
GDI;197009;0
GDI;197010;0
GDI;197011;0
GDI;197012;0
GDI;197101;0
GDI;197102;0
GDI;197103;2
GDI;197104;0
GDI;197105;0
GDI;197106;0
GDI;197107;0
GDI;197108;1
GDI;197109;0
GDI;197110;0
GDI;197111;1
GDI;197112;0
GDI;197201;0
GDI;197202;0
GDI;197203;0
GDI;197204;0
GDI;197205;0
GDI;197206;1
GDI;197207;0
GDI;197208;0
GDI;197209;0
GDI;197210;0
GDI;197211;1
GDI;197212;0
GDI;197301;0
GDI;197302;0
GDI;197303;0
GDI;197304;0
GDI;197305;0
GDI;197306;2
GDI;197307;1
GDI;197308;0
GDI;197309;0
GDI;197310;0
GDI;197311;0
GDI;197312;0
GDI;197401;0
GDI;197402;0
GDI;197403;0
GDI;197404;0
GDI;197405;0
GDI;197406;0
GDI;197407;0
GDI;197408;0
GDI;197409;0
GDI;197410;1
GDI;197411;1
GDI;197412;0
GDI;197501;0
GDI;197502;0
GDI;197503;1
GDI;197504;0
GDI;197505;0
GDI;197506;0
GDI;197507;0
GDI;197508;0
GDI;197509;0
GDI;197510;0
GDI;197511;0
GDI;197512;0
GDI;197601;0
GDI;197602;0
GDI;197603;0
GDI;197604;1
GDI;197605;0
GDI;197606;0
GDI;197607;0
GDI;197608;0
GDI;197609;0
GDI;197610;1
GDI;197611;0
GDI;197612;0
GDI;197701;0
GDI;197702;0
GDI;197703;0
GDI;197704;1
GDI;197705;0
GDI;197706;0
GDI;197707;1
GDI;197708;0
GDI;197709;0
GDI;197710;1
GDI;197711;1
GDI;197712;0
GDI;197801;0
GDI;197802;1
GDI;197803;1
GDI;197804;0
GDI;197805;0
GDI;197806;0
GDI;197807;0
GDI;197808;1
GDI;197809;0
GDI;197810;0
GDI;197811;0
GDI;197812;0
GDI;197901;0
GDI;197902;0
GDI;197903;1
GDI;197904;0
GDI;197905;0
GDI;197906;0
GDI;197907;0
GDI;197908;1
GDI;197909;0
GDI;197910;1
GDI;197911;1
GDI;197912;0
GDI;198001;0
GDI;198002;1
GDI;198003;1
GDI;198004;0
GDI;198005;0
GDI;198006;0
GDI;198007;0
GDI;198008;0
GDI;198009;0
GDI;198010;0
GDI;198011;0
GDI;198012;0
GDI;198101;0
GDI;198102;0
GDI;198103;2
GDI;198104;1
GDI;198105;0
GDI;198106;0
GDI;198107;0
GDI;198108;0
GDI;198109;0
GDI;198110;3
GDI;198111;0
GDI;198112;2
GDI;198201;1
GDI;198202;0
GDI;198203;0
GDI;198204;0
GDI;198205;0
GDI;198206;0
GDI;198207;0
GDI;198208;0
GDI;198209;0
GDI;198210;0
GDI;198211;0
GDI;198212;1
GDI;198301;0
GDI;198302;0
GDI;198303;0
GDI;198304;0
GDI;198305;0
GDI;198306;0
GDI;198307;0
GDI;198308;0
GDI;198309;0
GDI;198310;0
GDI;198311;2
GDI;198312;0
GDI;198401;0
GDI;198402;0
GDI;198403;0
GDI;198404;0
GDI;198405;0
GDI;198406;1
GDI;198407;0
GDI;198408;0
GDI;198409;0
GDI;198410;0
GDI;198411;0
GDI;198412;0
GDI;198501;0
GDI;198502;0
GDI;198503;0
GDI;198504;0
GDI;198505;3
GDI;198506;1
GDI;198507;0
GDI;198508;1
GDI;198509;0
