 

stn;time;rsd300m0
VSMOI;201110;0
VSMOI;201111;0
VSMOI;201112;0
VSMOI;201201;1
VSMOI;201202;0
VSMOI;201203;0
VSMOI;201204;0
VSMOI;201205;0
VSMOI;201206;0
VSMOI;201207;0
VSMOI;201208;0
VSMOI;201209;0
VSMOI;201210;0
VSMOI;201211;0
VSMOI;201212;0
VSMOI;201301;0
VSMOI;201302;0
VSMOI;201303;0
VSMOI;201304;1
VSMOI;201305;0
VSMOI;201306;0
VSMOI;201307;1
VSMOI;201308;0
VSMOI;201309;0
VSMOI;201310;0
VSMOI;201311;0
VSMOI;201312;0
VSMOI;201401;0
VSMOI;201402;0
VSMOI;201403;0
VSMOI;201404;0
VSMOI;201405;0
VSMOI;201406;0
VSMOI;201407;1
VSMOI;201408;0
VSMOI;201409;0
VSMOI;201410;0
VSMOI;201411;0
VSMOI;201412;0
VSMOI;201501;0
VSMOI;201502;0
VSMOI;201503;1
VSMOI;201504;0
VSMOI;201505;1
VSMOI;201506;0
VSMOI;201507;0
VSMOI;201508;0
VSMOI;201509;0
VSMOI;201510;0
VSMOI;201511;1
VSMOI;201512;0
VSMOI;201601;0
VSMOI;201602;0
VSMOI;201603;0
VSMOI;201604;0
VSMOI;201605;1
VSMOI;201606;0
VSMOI;201607;0
VSMOI;201608;0
VSMOI;201609;0
VSMOI;201610;0
VSMOI;201611;0
VSMOI;201612;0
VSMOI;201701;0
VSMOI;201702;0
VSMOI;201703;0
VSMOI;201704;0
VSMOI;201705;0
VSMOI;201706;0
VSMOI;201707;0
VSMOI;201708;1
VSMOI;201709;0
VSMOI;201710;0
VSMOI;201711;0
VSMOI;201712;1
VSMOI;201801;3
VSMOI;201802;0
VSMOI;201803;0
VSMOI;201804;0
VSMOI;201805;0
VSMOI;201806;1
VSMOI;201807;0
VSMOI;201808;1
VSMOI;201809;0
VSMOI;201810;1
VSMOI;201811;0
VSMOI;201812;0
VSMOI;201901;1
VSMOI;201902;0
VSMOI;201903;0
VSMOI;201904;0
VSMOI;201905;0
VSMOI;201906;1
VSMOI;201907;0
VSMOI;201908;0
VSMOI;201909;0
VSMOI;201910;1
VSMOI;201911;0
VSMOI;201912;1
VSMOI;202001;0
VSMOI;202002;1
VSMOI;202003;0
