 

stn;time;rsd300m0
VSSTA;201111;1
VSSTA;201112;2
VSSTA;201201;0
VSSTA;201202;-
VSSTA;201203;0
VSSTA;201204;0
VSSTA;201205;0
VSSTA;201206;0
VSSTA;201207;1
VSSTA;201208;0
VSSTA;201209;0
VSSTA;201210;0
VSSTA;201211;2
VSSTA;201212;1
VSSTA;201301;0
VSSTA;201302;0
VSSTA;201303;0
VSSTA;201304;2
VSSTA;201305;0
VSSTA;201306;1
VSSTA;201307;1
VSSTA;201308;1
VSSTA;201309;0
VSSTA;201310;0
VSSTA;201311;1
VSSTA;201312;0
VSSTA;201401;0
VSSTA;201402;0
VSSTA;201403;0
VSSTA;201404;1
VSSTA;201405;1
VSSTA;201406;0
VSSTA;201407;3
VSSTA;201408;0
VSSTA;201409;0
VSSTA;201410;0
VSSTA;201411;2
VSSTA;201412;0
VSSTA;201501;0
VSSTA;201502;0
VSSTA;201503;1
VSSTA;201504;0
VSSTA;201505;1
VSSTA;201506;0
VSSTA;201507;0
VSSTA;201508;2
VSSTA;201509;1
VSSTA;201510;0
VSSTA;201511;0
VSSTA;201512;0
VSSTA;201601;0
VSSTA;201602;0
VSSTA;201603;0
VSSTA;201604;0
VSSTA;201605;0
VSSTA;201606;0
VSSTA;201607;0
VSSTA;201608;0
VSSTA;201609;0
VSSTA;201610;0
VSSTA;201611;0
VSSTA;201612;0
VSSTA;201701;0
VSSTA;201702;0
VSSTA;201703;0
VSSTA;201704;0
VSSTA;201705;0
VSSTA;201706;0
VSSTA;201707;0
VSSTA;201708;2
VSSTA;201709;0
VSSTA;201710;0
VSSTA;201711;0
VSSTA;201712;1
VSSTA;201801;4
VSSTA;201802;0
VSSTA;201803;0
VSSTA;201804;0
VSSTA;201805;0
VSSTA;201806;0
VSSTA;201807;0
VSSTA;201808;0
VSSTA;201809;0
VSSTA;201810;1
VSSTA;201811;0
VSSTA;201812;0
VSSTA;201901;0
VSSTA;201902;0
VSSTA;201903;0
VSSTA;201904;0
VSSTA;201905;0
VSSTA;201906;1
VSSTA;201907;1
VSSTA;201908;1
VSSTA;201909;0
VSSTA;201910;2
VSSTA;201911;0
VSSTA;201912;0
VSSTA;202001;0
VSSTA;202002;1
VSSTA;202003;0
VSSTA;202004;0
VSSTA;202005;1
VSSTA;202006;0
VSSTA;202007;0
VSSTA;202008;1
VSSTA;202009;0
VSSTA;202010;1
VSSTA;202011;0
VSSTA;202012;0
VSSTA;202101;1
VSSTA;202102;0
VSSTA;202103;0
VSSTA;202104;0
VSSTA;202105;1
