 

stn;time;rsd100m0
CGI;196501;4
CGI;196502;0
CGI;196503;5
CGI;196504;1
CGI;196505;3
CGI;196506;1
CGI;196507;6
CGI;196508;5
CGI;196509;7
CGI;196510;1
CGI;196511;6
CGI;196512;12
CGI;196601;4
CGI;196602;4
CGI;196603;2
CGI;196604;4
CGI;196605;2
CGI;196606;0
CGI;196607;4
CGI;196608;4
CGI;196609;2
CGI;196610;3
CGI;196611;3
CGI;196612;6
CGI;196701;1
CGI;196702;3
CGI;196703;3
CGI;196704;0
CGI;196705;6
CGI;196706;3
CGI;196707;3
CGI;196708;2
CGI;196709;3
CGI;196710;2
CGI;196711;5
CGI;196712;2
CGI;196801;5
CGI;196802;4
CGI;196803;1
CGI;196804;1
CGI;196805;2
CGI;196806;4
CGI;196807;2
CGI;196808;9
CGI;196809;5
CGI;196810;1
CGI;196811;3
CGI;196812;6
CGI;196901;3
CGI;196902;2
CGI;196903;1
CGI;196904;3
CGI;196905;4
CGI;196906;4
CGI;196907;3
CGI;196908;2
CGI;196909;1
CGI;196910;0
CGI;196911;4
CGI;196912;2
CGI;197001;4
CGI;197002;10
CGI;197003;3
CGI;197004;3
CGI;197005;0
CGI;197006;3
CGI;197007;2
CGI;197008;3
CGI;197009;2
CGI;197010;2
CGI;197011;8
CGI;197012;1
CGI;197101;5
CGI;197102;1
CGI;197103;3
CGI;197104;0
CGI;197105;2
CGI;197106;2
CGI;197107;2
CGI;197108;4
CGI;197109;1
CGI;197110;1
CGI;197111;3
CGI;197112;0
CGI;197201;0
CGI;197202;3
CGI;197203;2
CGI;197204;2
CGI;197205;0
CGI;197206;5
CGI;197207;1
CGI;197208;0
CGI;197209;2
CGI;197210;0
CGI;197211;8
CGI;197212;2
CGI;197301;1
CGI;197302;2
CGI;197303;0
CGI;197304;2
CGI;197305;0
CGI;197306;5
CGI;197307;5
CGI;197308;4
CGI;197309;3
CGI;197310;2
CGI;197311;2
CGI;197312;3
CGI;197401;2
CGI;197402;2
CGI;197403;2
CGI;197404;1
CGI;197405;3
CGI;197406;4
CGI;197407;1
CGI;197408;2
CGI;197409;6
CGI;197410;7
CGI;197411;4
CGI;197412;2
CGI;197501;3
CGI;197502;0
CGI;197503;2
CGI;197504;2
CGI;197505;3
CGI;197506;1
CGI;197507;3
CGI;197508;6
CGI;197509;5
CGI;197510;1
CGI;197511;6
CGI;197512;3
CGI;197601;0
CGI;197602;3
CGI;197603;1
CGI;197604;0
CGI;197605;2
CGI;197606;0
CGI;197607;0
CGI;197608;4
CGI;197609;8
CGI;197610;3
CGI;197611;4
CGI;197612;3
CGI;197701;6
CGI;197702;9
CGI;197703;1
CGI;197704;4
CGI;197705;2
CGI;197706;1
CGI;197707;8
CGI;197708;4
CGI;197709;0
CGI;197710;4
CGI;197711;4
CGI;197712;3
CGI;197801;4
CGI;197802;5
CGI;197803;2
CGI;197804;1
CGI;197805;3
CGI;197806;4
CGI;197807;0
CGI;197808;3
CGI;197809;1
CGI;197810;1
CGI;197811;0
CGI;197812;8
CGI;197901;4
CGI;197902;6
CGI;197903;6
CGI;197904;1
CGI;197905;2
CGI;197906;2
CGI;197907;1
CGI;197908;2
CGI;197909;1
CGI;197910;3
CGI;197911;3
CGI;197912;6
CGI;198001;4
CGI;198002;2
CGI;198003;4
CGI;198004;0
CGI;198005;6
CGI;198006;4
CGI;198007;5
CGI;198008;4
CGI;198009;3
CGI;198010;6
CGI;198011;2
CGI;198012;3
CGI;198101;4
CGI;198102;2
CGI;198103;3
CGI;198104;0
CGI;198105;3
CGI;198106;2
CGI;198107;3
CGI;198108;0
CGI;198109;4
CGI;198110;8
CGI;198111;2
CGI;198112;12
CGI;198201;1
CGI;198202;1
CGI;198203;2
CGI;198204;0
CGI;198205;1
