 

stn;time;rsd100m0
DLWEI;199008;3
DLWEI;199009;3
DLWEI;199010;3
DLWEI;199011;1
DLWEI;199012;2
DLWEI;199101;1
DLWEI;199102;0
DLWEI;199103;2
DLWEI;199104;1
DLWEI;199105;1
DLWEI;199106;4
DLWEI;199107;2
DLWEI;199108;2
DLWEI;199109;4
DLWEI;199110;0
DLWEI;199111;3
DLWEI;199112;3
DLWEI;199201;0
DLWEI;199202;1
DLWEI;199203;3
DLWEI;199204;3
DLWEI;199205;0
DLWEI;199206;4
DLWEI;199207;3
DLWEI;199208;2
DLWEI;199209;0
DLWEI;199210;5
DLWEI;199211;7
DLWEI;199212;2
DLWEI;199301;0
DLWEI;199302;0
DLWEI;199303;0
DLWEI;199304;0
DLWEI;199305;2
DLWEI;199306;3
DLWEI;199307;7
DLWEI;199308;3
DLWEI;199309;1
DLWEI;199310;4
DLWEI;199311;1
DLWEI;199312;3
DLWEI;199401;1
DLWEI;199402;0
DLWEI;199403;1
DLWEI;199404;2
DLWEI;199405;6
DLWEI;199406;2
DLWEI;199407;3
DLWEI;199408;3
DLWEI;199409;3
DLWEI;199410;1
DLWEI;199411;1
DLWEI;199412;4
DLWEI;199501;1
DLWEI;199502;3
DLWEI;199503;1
DLWEI;199504;3
DLWEI;199505;6
DLWEI;199506;8
DLWEI;199507;3
DLWEI;199508;3
DLWEI;199509;2
DLWEI;199510;0
DLWEI;199511;2
DLWEI;199512;3
DLWEI;199601;0
DLWEI;199602;0
DLWEI;199603;1
DLWEI;199604;1
DLWEI;199605;4
DLWEI;199606;2
DLWEI;199607;5
DLWEI;199608;4
DLWEI;199609;0
DLWEI;199610;2
DLWEI;199611;2
DLWEI;199612;2
DLWEI;199701;0
DLWEI;199702;3
DLWEI;199703;0
DLWEI;199704;0
DLWEI;199705;1
DLWEI;199706;7
DLWEI;199707;2
DLWEI;199708;1
DLWEI;199709;2
DLWEI;199710;2
DLWEI;199711;1
DLWEI;199712;3
DLWEI;199801;2
DLWEI;199802;1
DLWEI;199803;3
DLWEI;199804;0
DLWEI;199805;3
DLWEI;199806;2
DLWEI;199807;4
DLWEI;199808;2
DLWEI;199809;5
DLWEI;199810;6
DLWEI;199811;3
DLWEI;199812;1
DLWEI;199901;1
DLWEI;199902;2
DLWEI;199903;2
DLWEI;199904;2
DLWEI;199905;7
DLWEI;199906;7
DLWEI;199907;2
DLWEI;199908;3
DLWEI;199909;1
DLWEI;199910;1
DLWEI;199911;4
DLWEI;199912;5
DLWEI;200001;0
DLWEI;200002;3
DLWEI;200003;2
DLWEI;200004;1
DLWEI;200005;4
DLWEI;200006;2
DLWEI;200007;7
DLWEI;200008;4
DLWEI;200009;3
DLWEI;200010;2
DLWEI;200011;3
DLWEI;200012;0
DLWEI;200101;3
DLWEI;200102;4
DLWEI;200103;8
DLWEI;200104;4
DLWEI;200105;2
DLWEI;200106;4
DLWEI;200107;1
DLWEI;200108;3
DLWEI;200109;4
DLWEI;200110;1
DLWEI;200111;6
DLWEI;200112;1
DLWEI;200201;0
DLWEI;200202;3
DLWEI;200203;2
DLWEI;200204;4
DLWEI;200205;5
DLWEI;200206;4
DLWEI;200207;3
DLWEI;200208;5
DLWEI;200209;4
DLWEI;200210;5
DLWEI;200211;4
DLWEI;200212;3
DLWEI;200301;1
DLWEI;200302;0
DLWEI;200303;0
DLWEI;200304;0
DLWEI;200305;5
DLWEI;200306;1
DLWEI;200307;4
DLWEI;200308;1
DLWEI;200309;0
DLWEI;200310;5
DLWEI;200311;2
DLWEI;200312;1
DLWEI;200401;6
DLWEI;200402;1
DLWEI;200403;2
DLWEI;200404;1
DLWEI;200405;5
DLWEI;200406;1
DLWEI;200407;3
DLWEI;200408;1
DLWEI;200409;2
DLWEI;200410;4
DLWEI;200411;0
DLWEI;200412;1
DLWEI;200501;0
DLWEI;200502;1
DLWEI;200503;2
DLWEI;200504;4
DLWEI;200505;2
DLWEI;200506;4
DLWEI;200507;2
DLWEI;200508;4
DLWEI;200509;2
DLWEI;200510;2
DLWEI;200511;0
DLWEI;200512;2
DLWEI;200601;1
DLWEI;200602;2
DLWEI;200603;5
DLWEI;200604;4
DLWEI;200605;2
DLWEI;200606;0
DLWEI;200607;2
DLWEI;200608;8
DLWEI;200609;2
DLWEI;200610;1
DLWEI;200611;1
DLWEI;200612;2
DLWEI;200701;2
DLWEI;200702;2
DLWEI;200703;2
DLWEI;200704;1
DLWEI;200705;7
DLWEI;200706;3
DLWEI;200707;5
DLWEI;200708;4
DLWEI;200709;3
DLWEI;200710;0
DLWEI;200711;0
DLWEI;200712;2
DLWEI;200801;1
DLWEI;200802;1
DLWEI;200803;2
DLWEI;200804;3
DLWEI;200805;1
DLWEI;200806;3
DLWEI;200807;6
DLWEI;200808;4
DLWEI;200809;2
DLWEI;200810;2
DLWEI;200811;2
DLWEI;200812;0
DLWEI;200901;2
DLWEI;200902;0
DLWEI;200903;2
DLWEI;200904;1
DLWEI;200905;2
DLWEI;200906;6
DLWEI;200907;2
DLWEI;200908;0
DLWEI;200909;1
DLWEI;200910;1
DLWEI;200911;2
DLWEI;200912;2
DLWEI;201001;0
DLWEI;201002;1
DLWEI;201003;0
DLWEI;201004;1
DLWEI;201005;4
DLWEI;201006;5
DLWEI;201007;4
DLWEI;201008;4
DLWEI;201009;1
DLWEI;201010;1
DLWEI;201011;2
DLWEI;201012;4
DLWEI;201101;0
DLWEI;201102;0
DLWEI;201103;1
DLWEI;201104;0
DLWEI;201105;4
DLWEI;201106;5
DLWEI;201107;6
DLWEI;201108;5
DLWEI;201109;3
DLWEI;201110;2
DLWEI;201111;0
DLWEI;201112;5
DLWEI;201201;3
DLWEI;201202;0
DLWEI;201203;1
DLWEI;201204;1
DLWEI;201205;2
DLWEI;201206;5
DLWEI;201207;1
DLWEI;201208;5
DLWEI;201209;3
DLWEI;201210;2
DLWEI;201211;4
DLWEI;201212;2
DLWEI;201301;1
DLWEI;201302;1
DLWEI;201303;1
DLWEI;201304;2
DLWEI;201305;2
DLWEI;201306;6
DLWEI;201307;2
DLWEI;201308;2
DLWEI;201309;4
DLWEI;201310;3
DLWEI;201311;1
DLWEI;201312;1
DLWEI;201401;1
DLWEI;201402;0
DLWEI;201403;1
DLWEI;201404;0
DLWEI;201405;0
DLWEI;201406;4
DLWEI;201407;10
DLWEI;201408;2
DLWEI;201409;2
DLWEI;201410;0
DLWEI;201411;1
DLWEI;201412;3
DLWEI;201501;3
DLWEI;201502;0
DLWEI;201503;1
DLWEI;201504;3
DLWEI;201505;6
DLWEI;201506;4
DLWEI;201507;0
DLWEI;201508;2
DLWEI;201509;3
DLWEI;201510;2
DLWEI;201511;1
DLWEI;201512;0
