 

stn;time;rsd100m0
TGKAL;201709;2
TGKAL;201710;1
TGKAL;201711;4
TGKAL;201712;2
TGKAL;201801;4
TGKAL;201802;1
TGKAL;201803;0
TGKAL;201804;0
TGKAL;201805;2
TGKAL;201806;2
TGKAL;201807;0
TGKAL;201808;1
TGKAL;201809;2
TGKAL;201810;1
TGKAL;201811;0
TGKAL;201812;1
TGKAL;201901;0
TGKAL;201902;0
TGKAL;201903;1
TGKAL;201904;1
TGKAL;201905;2
TGKAL;201906;2
TGKAL;201907;1
TGKAL;201908;3
TGKAL;201909;2
TGKAL;201910;2
TGKAL;201911;0
TGKAL;201912;0
TGKAL;202001;1
TGKAL;202002;3
TGKAL;202003;1
TGKAL;202004;0
TGKAL;202005;1
TGKAL;202006;1
TGKAL;202007;1
TGKAL;202008;2
TGKAL;202009;1
TGKAL;202010;1
TGKAL;202011;0
TGKAL;202012;0
TGKAL;202101;5
TGKAL;202102;1
TGKAL;202103;0
TGKAL;202104;0
TGKAL;202105;6
