 

stn;time;rsd100m0
DLSIZ;193101;4
DLSIZ;193102;5
DLSIZ;193103;6
DLSIZ;193104;3
DLSIZ;193105;3
DLSIZ;193106;4
DLSIZ;193107;8
DLSIZ;193108;8
DLSIZ;193109;5
DLSIZ;193110;3
DLSIZ;193111;0
DLSIZ;193112;2
DLSIZ;193201;4
DLSIZ;193202;0
DLSIZ;193203;3
DLSIZ;193204;1
DLSIZ;193205;8
DLSIZ;193206;7
DLSIZ;193207;10
DLSIZ;193208;4
DLSIZ;193209;3
DLSIZ;193210;8
DLSIZ;193211;3
DLSIZ;193212;1
DLSIZ;193301;2
DLSIZ;193302;4
DLSIZ;193303;1
DLSIZ;193304;3
DLSIZ;193305;8
DLSIZ;193306;10
DLSIZ;193307;7
DLSIZ;193308;4
DLSIZ;193309;3
DLSIZ;193310;6
DLSIZ;193311;3
DLSIZ;193312;0
DLSIZ;193401;2
DLSIZ;193402;0
DLSIZ;193403;2
DLSIZ;193404;1
DLSIZ;193405;1
DLSIZ;193406;6
DLSIZ;193407;7
DLSIZ;193408;9
DLSIZ;193409;5
DLSIZ;193410;6
DLSIZ;193411;1
DLSIZ;193412;3
DLSIZ;193501;2
DLSIZ;193502;7
DLSIZ;193503;2
DLSIZ;193504;8
DLSIZ;193505;7
DLSIZ;193506;2
DLSIZ;193507;4
DLSIZ;193508;6
DLSIZ;193509;5
DLSIZ;193510;6
DLSIZ;193511;2
DLSIZ;193512;5
DLSIZ;193601;3
DLSIZ;193602;1
DLSIZ;193603;2
DLSIZ;193604;5
DLSIZ;193605;7
DLSIZ;193606;1
DLSIZ;193607;9
DLSIZ;193608;5
DLSIZ;193609;6
DLSIZ;193610;2
DLSIZ;193611;1
DLSIZ;193612;2
DLSIZ;193701;2
DLSIZ;193702;4
DLSIZ;193703;2
DLSIZ;193704;4
DLSIZ;193705;6
DLSIZ;193706;7
DLSIZ;193707;3
DLSIZ;193708;9
DLSIZ;193709;8
DLSIZ;193710;4
DLSIZ;193711;3
DLSIZ;193712;1
DLSIZ;193801;5
DLSIZ;193802;2
DLSIZ;193803;2
DLSIZ;193804;3
DLSIZ;193805;3
DLSIZ;193806;3
DLSIZ;193807;7
DLSIZ;193808;8
DLSIZ;193809;4
DLSIZ;193810;3
DLSIZ;193811;0
DLSIZ;193812;3
DLSIZ;193901;2
DLSIZ;193902;2
DLSIZ;193903;6
DLSIZ;193904;2
DLSIZ;193905;14
DLSIZ;193906;5
DLSIZ;193907;9
DLSIZ;193908;6
DLSIZ;193909;4
DLSIZ;193910;12
DLSIZ;193911;4
DLSIZ;193912;3
DLSIZ;194001;1
DLSIZ;194002;4
DLSIZ;194003;2
DLSIZ;194004;3
DLSIZ;194005;7
DLSIZ;194006;3
DLSIZ;194007;7
DLSIZ;194008;6
DLSIZ;194009;8
DLSIZ;194010;1
DLSIZ;194011;5
DLSIZ;194012;3
DLSIZ;194101;3
DLSIZ;194102;2
DLSIZ;194103;3
DLSIZ;194104;2
DLSIZ;194105;5
DLSIZ;194106;6
DLSIZ;194107;6
DLSIZ;194108;13
DLSIZ;194109;2
DLSIZ;194110;6
DLSIZ;194111;3
DLSIZ;194112;1
DLSIZ;194201;4
DLSIZ;194202;1
DLSIZ;194203;4
DLSIZ;194204;2
DLSIZ;194205;5
DLSIZ;194206;4
DLSIZ;194207;8
DLSIZ;194208;4
DLSIZ;194209;4
DLSIZ;194210;5
DLSIZ;194211;2
DLSIZ;194212;1
DLSIZ;194301;2
DLSIZ;194302;1
DLSIZ;194303;3
DLSIZ;194304;2
DLSIZ;194305;2
DLSIZ;194306;7
DLSIZ;194307;6
DLSIZ;194308;1
DLSIZ;194309;5
DLSIZ;194310;0
DLSIZ;194311;2
DLSIZ;194312;0
DLSIZ;194401;5
DLSIZ;194402;4
DLSIZ;194403;4
DLSIZ;194404;3
DLSIZ;194405;4
DLSIZ;194406;6
DLSIZ;194407;7
DLSIZ;194408;4
DLSIZ;194409;7
DLSIZ;194410;4
DLSIZ;194411;6
DLSIZ;194412;2
