 

stn;time;rsd100m0
VAR;189206;3
VAR;189207;6
VAR;189208;2
VAR;189209;1
VAR;189210;4
VAR;189211;1
VAR;189212;1
VAR;189301;1
VAR;189302;6
VAR;189303;1
VAR;189304;0
VAR;189305;1
VAR;189306;4
VAR;189307;5
VAR;189308;0
VAR;189309;4
VAR;189310;3
VAR;189311;1
VAR;189312;2
VAR;189401;1
VAR;189402;0
VAR;189403;0
VAR;189404;2
VAR;189405;6
VAR;189406;3
VAR;189407;4
VAR;189408;2
VAR;189409;3
VAR;189410;4
VAR;189411;4
VAR;189412;2
VAR;189501;2
VAR;189502;3
VAR;189503;2
VAR;189504;2
VAR;189505;2
VAR;189506;1
VAR;189507;2
VAR;189508;5
VAR;189509;0
VAR;189510;4
VAR;189511;5
VAR;189512;5
VAR;189601;0
VAR;189602;0
VAR;189603;6
VAR;189604;1
VAR;189605;0
VAR;189606;4
VAR;189607;3
VAR;189608;5
VAR;189609;5
VAR;189610;9
VAR;189611;2
VAR;189612;3
VAR;189701;0
VAR;189702;3
VAR;189703;5
VAR;189704;3
VAR;189705;1
VAR;189706;4
VAR;189707;1
VAR;189708;8
VAR;189709;7
VAR;189710;0
VAR;189711;2
VAR;189712;3
VAR;189801;1
VAR;189802;6
VAR;189803;2
VAR;189804;3
VAR;189805;5
VAR;189806;5
VAR;189807;3
