 

stn;time;rsd100m0
COM;198802;2
COM;198803;2
COM;198804;1
COM;198805;7
COM;198806;2
COM;198807;6
COM;198808;4
COM;198809;4
COM;198810;5
COM;198811;0
COM;198812;2
COM;198901;0
COM;198902;3
COM;198903;1
COM;198904;9
COM;198905;1
COM;198906;2
COM;198907;2
COM;198908;1
COM;198909;1
COM;198910;0
COM;198911;2
COM;198912;4
COM;199001;1
COM;199002;3
COM;199003;0
COM;199004;3
COM;199005;2
COM;199006;4
COM;199007;1
COM;199008;2
COM;199009;0
COM;199010;6
COM;199011;4
COM;199012;2
COM;199101;0
COM;199102;0
COM;199103;6
COM;199104;1
COM;199105;0
COM;199106;3
COM;199107;3
COM;199108;0
COM;199109;6
COM;199110;5
COM;199111;1
COM;199112;3
COM;199201;1
COM;199202;1
COM;199203;2
COM;199204;3
COM;199205;1
COM;199206;7
COM;199207;2
COM;199208;6
COM;199209;4
COM;199210;5
COM;199211;1
COM;199212;2
COM;199301;0
COM;199302;1
COM;199303;0
COM;199304;2
COM;199305;6
COM;199306;3
COM;199307;5
COM;199308;4
COM;199309;9
COM;199310;13
COM;199311;2
COM;199312;0
COM;199401;5
COM;199402;3
COM;199403;1
COM;199404;1
COM;199405;7
COM;199406;1
COM;199407;3
COM;199408;4
COM;199409;7
COM;199410;3
COM;199411;3
COM;199412;0
COM;199501;2
COM;199502;3
COM;199503;0
COM;199504;6
COM;199505;5
COM;199506;3
COM;199507;1
COM;199508;3
COM;199509;4
COM;199510;1
COM;199511;2
COM;199512;3
COM;199601;4
COM;199602;0
COM;199603;0
COM;199604;1
COM;199605;7
COM;199606;1
COM;199607;3
COM;199608;5
COM;199609;0
COM;199610;2
COM;199611;7
COM;199612;0
COM;199701;1
COM;199702;0
COM;199703;0
COM;199704;2
COM;199705;2
COM;199706;10
COM;199707;3
COM;199708;2
COM;199709;0
COM;199710;1
COM;199711;7
COM;199712;4
COM;199801;2
COM;199802;1
COM;199803;0
COM;199804;8
COM;199805;3
COM;199806;4
COM;199807;3
COM;199808;3
COM;199809;7
COM;199810;5
COM;199811;0
COM;199812;1
COM;199901;4
COM;199902;1
COM;199903;4
COM;199904;3
COM;199905;6
COM;199906;8
COM;199907;3
COM;199908;8
COM;199909;8
COM;199910;8
COM;199911;1
COM;199912;1
COM;200001;0
COM;200002;0
COM;200003;2
COM;200004;10
COM;200005;2
COM;200006;4
COM;200007;5
COM;200008;5
COM;200009;3
COM;200010;9
COM;200011;10
COM;200012;6
COM;200101;4
COM;200102;2
COM;200103;5
COM;200104;4
COM;200105;5
COM;200106;6
COM;200107;6
COM;200108;4
COM;200109;2
COM;200110;3
COM;200111;0
COM;200112;0
COM;200201;1
COM;200202;1
COM;200203;2
COM;200204;0
COM;200205;7
COM;200206;5
COM;200207;7
COM;200208;3
COM;200209;2
COM;200210;3
COM;200211;11
COM;200212;2
COM;200301;1
COM;200302;1
COM;200303;0
COM;200304;1
COM;200305;1
COM;200306;0
COM;200307;3
COM;200308;3
COM;200309;1
COM;200310;2
COM;200311;6
COM;200312;3
COM;200401;2
COM;200402;2
COM;200403;1
COM;200404;4
COM;200405;3
COM;200406;1
COM;200407;3
COM;200408;5
COM;200409;1
COM;200410;6
COM;200411;4
COM;200412;1
COM;200501;0
COM;200502;0
COM;200503;1
COM;200504;2
COM;200505;5
COM;200506;5
COM;200507;4
COM;200508;3
COM;200509;4
COM;200510;1
COM;200511;0
COM;200512;1
COM;200601;1
COM;200602;2
COM;200603;0
COM;200604;2
COM;200605;4
COM;200606;1
COM;200607;2
COM;200608;3
COM;200609;5
COM;200610;2
COM;200611;1
COM;200612;3
COM;200701;2
COM;200702;0
COM;200703;0
COM;200704;1
COM;200705;8
COM;200706;6
COM;200707;6
COM;200708;7
COM;200709;3
COM;200710;0
COM;200711;2
COM;200712;1
COM;200801;4
COM;200802;1
COM;200803;1
COM;200804;7
COM;200805;4
COM;200806;4
COM;200807;3
COM;200808;7
COM;200809;7
COM;200810;6
COM;200811;8
COM;200812;3
COM;200901;2
COM;200902;3
COM;200903;3
COM;200904;5
COM;200905;1
COM;200906;4
COM;200907;1
COM;200908;7
COM;200909;1
COM;200910;2
COM;200911;3
COM;200912;4
COM;201001;1
COM;201002;0
COM;201003;4
COM;201004;3
COM;201005;10
COM;201006;5
COM;201007;3
COM;201008;9
COM;201009;3
COM;201010;3
COM;201011;5
COM;201012;3
COM;201101;1
COM;201102;1
COM;201103;1
COM;201104;0
COM;201105;2
COM;201106;3
COM;201107;6
COM;201108;3
COM;201109;5
COM;201110;1
COM;201111;4
COM;201112;1
COM;201201;3
COM;201202;0
COM;201203;2
COM;201204;5
COM;201205;4
COM;201206;3
COM;201207;6
COM;201208;9
COM;201209;3
COM;201210;4
COM;201211;6
COM;201212;0
COM;201301;1
COM;201302;0
COM;201303;2
COM;201304;8
COM;201305;8
COM;201306;4
COM;201307;2
COM;201308;5
COM;201309;3
COM;201310;5
COM;201311;3
COM;201312;5
COM;201401;7
COM;201402;8
COM;201403;1
COM;201404;3
COM;201405;2
COM;201406;4
COM;201407;8
COM;201408;4
COM;201409;1
COM;201410;4
COM;201411;9
COM;201412;0
COM;201501;2
COM;201502;3
COM;201503;0
COM;201504;1
COM;201505;6
