 

stn;time;rsd100m0
IYVOL;194901;1
IYVOL;194902;0
IYVOL;194903;0
IYVOL;194904;1
IYVOL;194905;5
IYVOL;194906;2
IYVOL;194907;2
IYVOL;194908;2
IYVOL;194909;1
IYVOL;194910;1
IYVOL;194911;4
IYVOL;194912;3
IYVOL;195001;0
IYVOL;195002;1
IYVOL;195003;0
IYVOL;195004;5
IYVOL;195005;2
IYVOL;195006;3
IYVOL;195007;5
IYVOL;195008;5
IYVOL;195009;3
IYVOL;195010;2
IYVOL;195011;4
IYVOL;195012;3
IYVOL;195101;1
IYVOL;195102;1
IYVOL;195103;2
IYVOL;195104;1
IYVOL;195105;2
IYVOL;195106;5
IYVOL;195107;3
IYVOL;195108;4
IYVOL;195109;2
IYVOL;195110;0
IYVOL;195111;5
IYVOL;195112;0
IYVOL;195201;1
IYVOL;195202;1
IYVOL;195203;1
IYVOL;195204;2
IYVOL;195205;3
IYVOL;195206;4
IYVOL;195207;4
IYVOL;195208;6
IYVOL;195209;6
IYVOL;195210;4
IYVOL;195211;2
IYVOL;195212;1
IYVOL;195301;0
IYVOL;195302;0
IYVOL;195303;0
IYVOL;195304;3
IYVOL;195305;0
IYVOL;195306;5
IYVOL;195307;5
IYVOL;195308;6
IYVOL;195309;5
IYVOL;195310;6
IYVOL;195311;0
IYVOL;195312;1
IYVOL;195401;0
IYVOL;195402;0
IYVOL;195403;2
IYVOL;195404;4
IYVOL;195405;7
IYVOL;195406;8
IYVOL;195407;6
IYVOL;195408;4
IYVOL;195409;3
IYVOL;195410;2
IYVOL;195411;0
IYVOL;195412;4
IYVOL;195501;0
IYVOL;195502;5
IYVOL;195503;1
IYVOL;195504;0
IYVOL;195505;4
IYVOL;195506;1
IYVOL;195507;3
IYVOL;195508;3
IYVOL;195509;6
IYVOL;195510;2
