 

stn;time;rsd100m0
MBR;196101;3
MBR;196102;2
MBR;196103;0
MBR;196104;10
MBR;196105;6
MBR;196106;7
MBR;196107;2
MBR;196108;1
MBR;196109;1
MBR;196110;5
MBR;196111;7
MBR;196112;2
MBR;196201;3
MBR;196202;1
MBR;196203;3
MBR;196204;5
MBR;196205;6
MBR;196206;4
MBR;196207;1
MBR;196208;3
MBR;196209;2
MBR;196210;1
MBR;196211;9
MBR;196212;2
MBR;196301;3
MBR;196302;1
MBR;196303;3
MBR;196304;7
MBR;196305;8
MBR;196306;10
MBR;196307;9
MBR;196308;8
MBR;196309;8
MBR;196310;3
MBR;196311;12
MBR;196312;2
MBR;196401;1
MBR;196402;4
MBR;196403;6
MBR;196404;3
MBR;196405;3
MBR;196406;6
MBR;196407;6
MBR;196408;8
MBR;196409;3
MBR;196410;5
MBR;196411;3
MBR;196412;4
MBR;196501;2
MBR;196502;0
MBR;196503;3
MBR;196504;0
MBR;196505;7
MBR;196506;4
MBR;196507;5
MBR;196508;7
MBR;196509;12
MBR;196510;1
MBR;196511;2
MBR;196512;1
MBR;196601;0
MBR;196602;6
MBR;196603;0
MBR;196604;9
MBR;196605;5
MBR;196606;3
MBR;196607;6
MBR;196608;4
MBR;196609;4
MBR;196610;12
MBR;196611;6
MBR;196612;1
MBR;196701;0
MBR;196702;3
MBR;196703;5
MBR;196704;2
MBR;196705;7
MBR;196706;2
MBR;196707;6
MBR;196708;5
MBR;196709;6
MBR;196710;5
MBR;196711;6
MBR;196712;0
MBR;196801;0
MBR;196802;5
MBR;196803;2
MBR;196804;6
MBR;196805;10
MBR;196806;8
MBR;196807;5
MBR;196808;6
MBR;196809;8
MBR;196810;2
MBR;196811;7
MBR;196812;1
MBR;196901;1
MBR;196902;3
MBR;196903;2
MBR;196904;2
MBR;196905;9
MBR;196906;4
MBR;196907;3
MBR;196908;5
MBR;196909;6
MBR;196910;0
MBR;196911;4
MBR;196912;0
MBR;197001;4
MBR;197002;0
MBR;197003;1
MBR;197004;6
MBR;197005;5
MBR;197006;5
MBR;197007;3
MBR;197008;9
MBR;197009;2
MBR;197010;3
MBR;197011;4
MBR;197012;3
MBR;197101;3
MBR;197102;2
MBR;197103;5
MBR;197104;4
MBR;197105;14
MBR;197106;8
MBR;197107;6
MBR;197108;5
MBR;197109;1
MBR;197110;2
MBR;197111;7
MBR;197112;2
MBR;197201;1
MBR;197202;7
MBR;197203;7
MBR;197204;5
MBR;197205;5
MBR;197206;10
MBR;197207;3
MBR;197208;4
MBR;197209;10
MBR;197210;2
MBR;197211;1
MBR;197212;4
MBR;197301;2
MBR;197302;0
MBR;197303;0
MBR;197304;3
MBR;197305;5
MBR;197306;9
MBR;197307;5
MBR;197308;3
MBR;197309;4
MBR;197310;4
MBR;197311;1
MBR;197312;5
MBR;197401;4
MBR;197402;7
MBR;197403;4
MBR;197404;4
MBR;197405;5
MBR;197406;5
MBR;197407;2
MBR;197408;6
MBR;197409;4
MBR;197410;2
MBR;197411;3
MBR;197412;0
MBR;197501;4
MBR;197502;1
MBR;197503;8
MBR;197504;5
MBR;197505;12
MBR;197506;6
MBR;197507;3
MBR;197508;5
MBR;197509;5
MBR;197510;4
MBR;197511;6
MBR;197512;2
MBR;197601;0
MBR;197602;1
MBR;197603;0
MBR;197604;4
MBR;197605;3
MBR;197606;1
MBR;197607;4
MBR;197608;6
MBR;197609;9
MBR;197610;14
MBR;197611;9
MBR;197612;2
MBR;197701;8
MBR;197702;4
MBR;197703;10
MBR;197704;3
MBR;197705;12
MBR;197706;4
MBR;197707;10
MBR;197708;13
MBR;197709;1
MBR;197710;7
MBR;197711;1
MBR;197712;1
MBR;197801;7
MBR;197802;6
MBR;197803;4
MBR;197804;7
MBR;197805;7
MBR;197806;6
MBR;197807;6
MBR;197808;2
MBR;197809;0
MBR;197810;3
MBR;197811;0
MBR;197812;5
MBR;197901;3
MBR;197902;2
MBR;197903;9
MBR;197904;5
MBR;197905;2
MBR;197906;6
MBR;197907;2
MBR;197908;10
MBR;197909;2
MBR;197910;10
MBR;197911;4
MBR;197912;5
MBR;198001;2
MBR;198002;0
MBR;198003;6
MBR;198004;1
MBR;198005;9
MBR;198006;9
MBR;198007;4
MBR;198008;5
MBR;198009;2
MBR;198010;7
MBR;198011;2
MBR;198012;0
MBR;198101;0
MBR;198102;0
MBR;198103;7
MBR;198104;3
MBR;198105;9
MBR;198106;4
MBR;198107;6
MBR;198108;3
MBR;198109;10
MBR;198110;5
MBR;198111;0
MBR;198112;6
MBR;198201;0
MBR;198202;1
MBR;198203;3
MBR;198204;1
MBR;198205;6
MBR;198206;5
MBR;198207;4
MBR;198208;9
MBR;198209;4
MBR;198210;7
MBR;198211;9
MBR;198212;4
MBR;198301;0
MBR;198302;1
MBR;198303;4
MBR;198304;7
MBR;198305;11
MBR;198306;3
MBR;198307;2
MBR;198308;6
MBR;198309;5
MBR;198310;1
MBR;198311;2
MBR;198312;5
MBR;198401;1
MBR;198402;2
MBR;198403;4
MBR;198404;4
MBR;198405;14
MBR;198406;5
MBR;198407;0
MBR;198408;6
MBR;198409;6
MBR;198410;6
MBR;198411;5
MBR;198412;3
MBR;198501;6
MBR;198502;0
MBR;198503;10
MBR;198504;4
MBR;198505;10
MBR;198506;6
MBR;198507;4
MBR;198508;2
MBR;198509;1
MBR;198510;0
MBR;198511;6
MBR;198512;3
MBR;198601;4
MBR;198602;1
MBR;198603;1
MBR;198604;19
MBR;198605;5
MBR;198606;4
MBR;198607;4
MBR;198608;6
MBR;198609;2
MBR;198610;0
MBR;198611;2
MBR;198612;0
MBR;198701;2
MBR;198702;8
MBR;198703;2
MBR;198704;4
MBR;198705;5
MBR;198706;9
MBR;198707;10
MBR;198708;3
MBR;198709;5
MBR;198710;13
MBR;198711;2
MBR;198712;1
