 

stn;time;rsd100m0
GLSAN;201609;3
GLSAN;201610;2
GLSAN;201611;4
GLSAN;201612;0
GLSAN;201701;2
GLSAN;201702;3
GLSAN;201703;7
GLSAN;201704;7
GLSAN;201705;4
GLSAN;201706;7
GLSAN;201707;6
GLSAN;201708;7
GLSAN;201709;2
GLSAN;201710;4
GLSAN;201711;4
GLSAN;201712;6
GLSAN;201801;8
GLSAN;201802;1
GLSAN;201803;2
GLSAN;201804;1
GLSAN;201805;2
GLSAN;201806;4
GLSAN;201807;1
GLSAN;201808;5
GLSAN;201809;5
GLSAN;201810;5
GLSAN;201811;0
GLSAN;201812;4
GLSAN;201901;5
GLSAN;201902;2
GLSAN;201903;5
GLSAN;201904;5
GLSAN;201905;6
GLSAN;201906;6
GLSAN;201907;5
GLSAN;201908;7
GLSAN;201909;4
GLSAN;201910;9
GLSAN;201911;5
GLSAN;201912;5
GLSAN;202001;2
GLSAN;202002;3
GLSAN;202003;1
GLSAN;202004;1
GLSAN;202005;4
GLSAN;202006;5
