 

stn;time;rsd100m0
SNE;196101;2
SNE;196102;6
SNE;196103;1
SNE;196104;4
SNE;196105;3
SNE;196106;3
SNE;196107;7
SNE;196108;4
SNE;196109;2
SNE;196110;4
SNE;196111;0
SNE;196112;7
SNE;196201;5
SNE;196202;4
SNE;196203;5
SNE;196204;1
SNE;196205;4
SNE;196206;5
SNE;196207;2
SNE;196208;1
SNE;196209;2
SNE;196210;0
SNE;196211;0
SNE;196212;8
SNE;196301;2
SNE;196302;3
SNE;196303;5
SNE;196304;1
SNE;196305;2
SNE;196306;7
SNE;196307;2
SNE;196308;11
SNE;196309;1
SNE;196310;3
SNE;196311;7
SNE;196312;0
SNE;196401;1
SNE;196402;0
SNE;196403;3
SNE;196404;3
SNE;196405;3
SNE;196406;4
SNE;196407;3
SNE;196408;5
SNE;196409;4
SNE;196410;4
SNE;196411;4
SNE;196412;1
SNE;196501;3
SNE;196502;2
SNE;196503;4
SNE;196504;4
SNE;196505;5
SNE;196506;5
SNE;196507;11
SNE;196508;4
SNE;196509;7
SNE;196510;1
SNE;196511;7
SNE;196512;15
SNE;196601;3
SNE;196602;6
SNE;196603;4
SNE;196604;6
SNE;196605;3
SNE;196606;1
SNE;196607;3
SNE;196608;7
SNE;196609;2
SNE;196610;1
SNE;196611;4
SNE;196612;8
SNE;196701;3
SNE;196702;4
SNE;196703;7
SNE;196704;2
SNE;196705;5
SNE;196706;2
SNE;196707;6
SNE;196708;6
SNE;196709;3
SNE;196710;3
SNE;196711;2
SNE;196712;3
SNE;196801;12
SNE;196802;1
SNE;196803;3
SNE;196804;2
SNE;196805;3
SNE;196806;3
SNE;196807;7
SNE;196808;11
SNE;196809;10
SNE;196810;2
SNE;196811;2
SNE;196812;5
SNE;196901;1
SNE;196902;0
SNE;196903;1
SNE;196904;4
SNE;196905;3
SNE;196906;9
SNE;196907;6
SNE;196908;7
SNE;196909;3
SNE;196910;1
SNE;196911;6
SNE;196912;4
SNE;197001;1
SNE;197002;11
SNE;197003;5
SNE;197004;8
SNE;197005;4
SNE;197006;3
SNE;197007;4
SNE;197008;7
SNE;197009;1
SNE;197010;6
SNE;197011;5
SNE;197012;1
SNE;197101;3
SNE;197102;1
SNE;197103;4
SNE;197104;1
SNE;197105;7
SNE;197106;11
SNE;197107;2
SNE;197108;9
SNE;197109;3
SNE;197110;2
SNE;197111;7
SNE;197112;1
SNE;197201;0
SNE;197202;1
SNE;197203;2
SNE;197204;4
SNE;197205;3
SNE;197206;6
SNE;197207;4
SNE;197208;6
SNE;197209;2
SNE;197210;3
SNE;197211;12
SNE;197212;1
SNE;197301;1
SNE;197302;4
SNE;197303;0
SNE;197304;3
SNE;197305;3
SNE;197306;7
SNE;197307;9
SNE;197308;5
SNE;197309;3
SNE;197310;6
SNE;197311;4
SNE;197312;3
SNE;197401;1
SNE;197402;3
SNE;197403;2
SNE;197404;1
SNE;197405;6
SNE;197406;6
SNE;197407;4
SNE;197408;4
SNE;197409;7
SNE;197410;7
SNE;197411;7
SNE;197412;7
SNE;197501;6
SNE;197502;1
SNE;197503;2
SNE;197504;2
SNE;197505;1
SNE;197506;6
SNE;197507;8
SNE;197508;10
SNE;197509;5
SNE;197510;2
SNE;197511;5
SNE;197512;0
SNE;197601;1
SNE;197602;2
SNE;197603;1
SNE;197604;2
SNE;197605;5
SNE;197606;1
SNE;197607;9
SNE;197608;4
SNE;197609;4
SNE;197610;3
SNE;197611;3
SNE;197612;6
SNE;197701;5
SNE;197702;9
SNE;197703;0
SNE;197704;9
SNE;197705;6
SNE;197706;8
SNE;197707;5
SNE;197708;7
SNE;197709;1
SNE;197710;6
SNE;197711;8
SNE;197712;3
SNE;197801;3
SNE;197802;6
SNE;197803;4
SNE;197804;2
SNE;197805;4
SNE;197806;9
SNE;197807;4
SNE;197808;5
SNE;197809;5
SNE;197810;2
SNE;197811;0
SNE;197812;9
SNE;197901;8
SNE;197902;5
SNE;197903;7
SNE;197904;4
SNE;197905;2
SNE;197906;5
SNE;197907;3
SNE;197908;10
SNE;197909;2
SNE;197910;4
SNE;197911;4
SNE;197912;7
SNE;198001;6
SNE;198002;3
SNE;198003;5
SNE;198004;0
SNE;198005;5
SNE;198006;8
SNE;198007;8
SNE;198008;5
SNE;198009;3
SNE;198010;5
SNE;198011;4
SNE;198012;4
SNE;198101;7
