 

stn;time;rsd100m0
IYPFE;200408;1
IYPFE;200409;1
IYPFE;200410;5
IYPFE;200411;2
IYPFE;200412;3
IYPFE;200501;2
IYPFE;200502;1
IYPFE;200503;0
IYPFE;200504;2
IYPFE;200505;2
IYPFE;200506;1
IYPFE;200507;3
IYPFE;200508;6
IYPFE;200509;0
IYPFE;200510;3
IYPFE;200511;1
IYPFE;200512;2
IYPFE;200601;1
IYPFE;200602;2
IYPFE;200603;1
IYPFE;200604;1
IYPFE;200605;3
IYPFE;200606;3
IYPFE;200607;7
IYPFE;200608;3
IYPFE;200609;3
IYPFE;200610;4
IYPFE;200611;0
IYPFE;200612;3
IYPFE;200701;2
IYPFE;200702;1
IYPFE;200703;4
IYPFE;200704;0
IYPFE;200705;6
IYPFE;200706;2
IYPFE;200707;5
IYPFE;200708;6
IYPFE;200709;4
IYPFE;200710;0
IYPFE;200711;4
IYPFE;200712;0
IYPFE;200801;1
IYPFE;200802;0
IYPFE;200803;2
IYPFE;200804;4
IYPFE;200805;6
IYPFE;200806;5
IYPFE;200807;5
IYPFE;200808;5
IYPFE;200809;1
IYPFE;200810;4
IYPFE;200811;8
IYPFE;200812;4
IYPFE;200901;2
IYPFE;200902;3
IYPFE;200903;2
IYPFE;200904;4
IYPFE;200905;0
IYPFE;200906;2
IYPFE;200907;5
IYPFE;200908;1
IYPFE;200909;0
IYPFE;200910;0
IYPFE;200911;2
IYPFE;200912;4
IYPFE;201001;0
IYPFE;201002;0
IYPFE;201003;2
IYPFE;201004;1
IYPFE;201005;6
IYPFE;201006;4
IYPFE;201007;2
IYPFE;201008;8
IYPFE;201009;6
IYPFE;201010;3
IYPFE;201011;8
IYPFE;201012;3
IYPFE;201101;0
IYPFE;201102;0
IYPFE;201103;2
IYPFE;201104;0
IYPFE;201105;4
IYPFE;201106;6
IYPFE;201107;2
IYPFE;201108;5
IYPFE;201109;5
IYPFE;201110;5
IYPFE;201111;3
IYPFE;201112;2
IYPFE;201201;3
IYPFE;201202;0
IYPFE;201203;4
IYPFE;201204;6
IYPFE;201205;6
IYPFE;201206;6
IYPFE;201207;8
IYPFE;201208;4
IYPFE;201209;4
IYPFE;201210;4
IYPFE;201211;5
IYPFE;201212;1
IYPFE;201301;1
IYPFE;201302;1
IYPFE;201303;0
IYPFE;201304;3
IYPFE;201305;6
IYPFE;201306;4
IYPFE;201307;2
IYPFE;201308;4
IYPFE;201309;2
IYPFE;201310;4
IYPFE;201311;4
IYPFE;201312;3
IYPFE;201401;4
IYPFE;201402;8
IYPFE;201403;1
IYPFE;201404;5
IYPFE;201405;5
IYPFE;201406;4
IYPFE;201407;6
IYPFE;201408;3
IYPFE;201409;0
IYPFE;201410;3
IYPFE;201411;7
IYPFE;201412;2
IYPFE;201501;4
IYPFE;201502;0
IYPFE;201503;1
IYPFE;201504;1
IYPFE;201505;4
IYPFE;201506;3
IYPFE;201507;3
IYPFE;201508;4
IYPFE;201509;5
IYPFE;201510;5
IYPFE;201511;0
IYPFE;201512;0
IYPFE;201601;1
IYPFE;201602;0
IYPFE;201603;1
IYPFE;201604;5
IYPFE;201605;6
IYPFE;201606;5
IYPFE;201607;5
IYPFE;201608;3
IYPFE;201609;1
IYPFE;201610;2
IYPFE;201611;2
IYPFE;201612;0
IYPFE;201701;0
IYPFE;201702;0
IYPFE;201703;2
IYPFE;201704;2
IYPFE;201705;2
IYPFE;201706;4
IYPFE;201707;4
IYPFE;201708;4
IYPFE;201709;6
IYPFE;201710;1
IYPFE;201711;1
IYPFE;201712;2
IYPFE;201801;4
IYPFE;201802;0
IYPFE;201803;3
IYPFE;201804;5
IYPFE;201805;4
IYPFE;201806;5
IYPFE;201807;1
IYPFE;201808;6
IYPFE;201809;0
IYPFE;201810;4
IYPFE;201811;2
IYPFE;201812;3
IYPFE;201901;1
IYPFE;201902;1
IYPFE;201903;1
