 

stn;time;rsd100m0
IYVAL;195112;0
IYVAL;195201;0
IYVAL;195202;0
IYVAL;195203;1
IYVAL;195204;1
IYVAL;195205;0
IYVAL;195206;3
IYVAL;195207;3
IYVAL;195208;6
IYVAL;195209;3
IYVAL;195210;4
IYVAL;195211;3
IYVAL;195212;1
IYVAL;195301;0
IYVAL;195302;0
IYVAL;195303;0
IYVAL;195304;3
IYVAL;195305;0
IYVAL;195306;3
IYVAL;195307;4
IYVAL;195308;2
IYVAL;195309;1
IYVAL;195310;1
IYVAL;195311;0
IYVAL;195312;0
IYVAL;195401;1
IYVAL;195402;0
IYVAL;195403;1
IYVAL;195404;0
IYVAL;195405;2
IYVAL;195406;4
IYVAL;195407;4
IYVAL;195408;5
IYVAL;195409;4
IYVAL;195410;1
IYVAL;195411;0
IYVAL;195412;4
IYVAL;195501;1
IYVAL;195502;2
IYVAL;195503;0
IYVAL;195504;0
IYVAL;195505;1
IYVAL;195506;2
IYVAL;195507;1
IYVAL;195508;0
IYVAL;195509;1
IYVAL;195510;1
IYVAL;195511;0
IYVAL;195512;0
IYVAL;195601;1
IYVAL;195602;0
IYVAL;195603;2
IYVAL;195604;1
IYVAL;195605;0
IYVAL;195606;3
IYVAL;195607;3
IYVAL;195608;4
IYVAL;195609;1
IYVAL;195610;1
IYVAL;195611;0
IYVAL;195612;0
IYVAL;195701;0
IYVAL;195702;2
IYVAL;195703;0
IYVAL;195704;0
IYVAL;195705;0
IYVAL;195706;4
IYVAL;195707;4
IYVAL;195708;3
IYVAL;195709;2
IYVAL;195710;1
IYVAL;195711;1
IYVAL;195712;0
IYVAL;195801;1
IYVAL;195802;2
IYVAL;195803;1
IYVAL;195804;1
IYVAL;195805;1
IYVAL;195806;3
IYVAL;195807;1
IYVAL;195808;2
IYVAL;195809;1
IYVAL;195810;1
IYVAL;195811;0
IYVAL;195812;3
IYVAL;195901;0
IYVAL;195902;0
IYVAL;195903;1
IYVAL;195904;0
IYVAL;195905;1
IYVAL;195906;2
IYVAL;195907;3
IYVAL;195908;1
IYVAL;195909;0
IYVAL;195910;2
IYVAL;195911;1
IYVAL;195912;0
IYVAL;196001;1
IYVAL;196002;1
IYVAL;196003;1
IYVAL;196004;0
IYVAL;196005;2
IYVAL;196006;0
IYVAL;196007;1
IYVAL;196008;2
IYVAL;196009;4
IYVAL;196010;8
IYVAL;196011;2
IYVAL;196012;2
IYVAL;196101;1
IYVAL;196102;1
IYVAL;196103;0
IYVAL;196104;1
IYVAL;196105;3
IYVAL;196106;2
IYVAL;196107;2
IYVAL;196108;2
IYVAL;196109;0
IYVAL;196110;3
IYVAL;196111;2
IYVAL;196112;1
IYVAL;196201;0
IYVAL;196202;0
IYVAL;196203;1
IYVAL;196204;0
