 

stn;time;rsd100m0
KSE;200907;6
KSE;200908;5
KSE;200909;3
KSE;200910;3
KSE;200911;2
KSE;200912;4
KSE;201001;3
KSE;201002;1
KSE;201003;3
KSE;201004;2
KSE;201005;8
KSE;201006;7
KSE;201007;10
KSE;201008;10
KSE;201009;3
KSE;201010;3
KSE;201011;6
KSE;201012;3
KSE;201101;2
KSE;201102;3
KSE;201103;2
KSE;201104;2
KSE;201105;6
KSE;201106;9
KSE;201107;12
KSE;201108;5
KSE;201109;4
KSE;201110;6
KSE;201111;1
KSE;201112;10
KSE;201201;10
KSE;201202;1
KSE;201203;3
KSE;201204;3
KSE;201205;5
KSE;201206;5
KSE;201207;8
KSE;201208;5
KSE;201209;4
KSE;201210;8
KSE;201211;4
KSE;201212;12
KSE;201301;3
KSE;201302;5
KSE;201303;1
KSE;201304;4
KSE;201305;9
KSE;201306;6
KSE;201307;7
KSE;201308;8
KSE;201309;6
KSE;201310;3
KSE;201311;5
KSE;201312;3
KSE;201401;5
KSE;201402;8
KSE;201403;2
KSE;201404;4
KSE;201405;7
KSE;201406;5
KSE;201407;15
KSE;201408;8
KSE;201409;4
KSE;201410;3
KSE;201411;5
KSE;201412;3
KSE;201501;7
KSE;201502;3
KSE;201503;8
KSE;201504;3
KSE;201505;7
KSE;201506;6
KSE;201507;3
KSE;201508;8
KSE;201509;5
KSE;201510;4
KSE;201511;3
KSE;201512;0
KSE;201601;5
KSE;201602;5
KSE;201603;4
KSE;201604;7
KSE;201605;8
KSE;201606;7
KSE;201607;7
KSE;201608;7
KSE;201609;6
KSE;201610;4
KSE;201611;3
KSE;201612;0
KSE;201701;3
KSE;201702;2
KSE;201703;6
KSE;201704;5
KSE;201705;5
KSE;201706;7
KSE;201707;7
KSE;201708;7
KSE;201709;5
KSE;201710;3
KSE;201711;5
KSE;201712;3
KSE;201801;8
KSE;201802;2
KSE;201803;5
KSE;201804;3
KSE;201805;2
KSE;201806;5
KSE;201807;6
KSE;201808;7
KSE;201809;5
KSE;201810;3
KSE;201811;1
KSE;201812;8
KSE;201901;6
KSE;201902;3
KSE;201903;7
KSE;201904;4
KSE;201905;9
KSE;201906;4
KSE;201907;7
KSE;201908;6
KSE;201909;5
KSE;201910;7
KSE;201911;5
KSE;201912;4
KSE;202001;2
KSE;202002;6
KSE;202003;5
KSE;202004;1
KSE;202005;3
KSE;202006;8
KSE;202007;8
KSE;202008;7
KSE;202009;2
KSE;202010;6
KSE;202011;2
KSE;202012;6
KSE;202101;11
KSE;202102;3
KSE;202103;5
KSE;202104;0
KSE;202105;7
