 

stn;time;rsd100m0
TIPIO;201701;1
TIPIO;201702;0
TIPIO;201703;5
TIPIO;201704;3
TIPIO;201705;2
TIPIO;201706;8
TIPIO;201707;3
TIPIO;201708;8
TIPIO;201709;2
TIPIO;201710;0
TIPIO;201711;2
TIPIO;201712;5
TIPIO;201801;11
TIPIO;201802;0
TIPIO;201803;4
TIPIO;201804;4
TIPIO;201805;4
TIPIO;201806;3
TIPIO;201807;3
TIPIO;201808;7
TIPIO;201809;1
TIPIO;201810;4
TIPIO;201811;10
TIPIO;201812;5
TIPIO;201901;2
TIPIO;201902;1
TIPIO;201903;3
TIPIO;201904;6
TIPIO;201905;2
TIPIO;201906;5
TIPIO;201907;3
TIPIO;201908;8
TIPIO;201909;2
TIPIO;201910;6
TIPIO;201911;2
TIPIO;201912;3
TIPIO;202001;1
TIPIO;202002;2
TIPIO;202003;0
TIPIO;202004;1
TIPIO;202005;4
TIPIO;202006;6
TIPIO;202007;1
TIPIO;202008;7
TIPIO;202009;2
TIPIO;202010;6
TIPIO;202011;0
TIPIO;202012;4
TIPIO;202101;7
TIPIO;202102;1
TIPIO;202103;2
TIPIO;202104;2
