 

stn;time;rre002mx
GVE;195001;43.0
GVE;195002;32.0
GVE;195003;3.0
GVE;195004;19.0
GVE;195005;14.0
GVE;195006;19.0
GVE;195007;27.0
GVE;195008;28.0
GVE;195009;48.0
GVE;195010;16.5
GVE;195011;91.0
GVE;195012;15.0
GVE;195101;35.6
GVE;195102;26.9
GVE;195103;30.3
GVE;195104;15.6
GVE;195105;36.6
GVE;195106;20.6
GVE;195107;31.4
GVE;195108;21.8
GVE;195109;35.2
GVE;195110;36.3
GVE;195111;36.2
GVE;195112;16.4
GVE;195201;41.0
GVE;195202;21.6
GVE;195203;34.7
GVE;195204;17.1
GVE;195205;30.0
GVE;195206;28.2
GVE;195207;13.4
GVE;195208;26.6
GVE;195209;22.1
GVE;195210;52.0
GVE;195211;45.0
GVE;195212;30.0
GVE;195301;0.6
GVE;195302;15.9
GVE;195303;1.3
GVE;195304;10.9
GVE;195305;25.4
GVE;195306;72.9
GVE;195307;13.9
GVE;195308;16.3
GVE;195309;73.7
GVE;195310;23.7
GVE;195311;26.8
GVE;195312;11.4
GVE;195401;25.1
GVE;195402;27.8
GVE;195403;10.8
GVE;195404;38.6
GVE;195405;12.8
GVE;195406;17.6
GVE;195407;35.7
GVE;195408;91.5
GVE;195409;26.7
GVE;195410;28.9
GVE;195411;36.0
GVE;195412;63.6
GVE;195501;36.3
GVE;195502;40.6
GVE;195503;18.2
GVE;195504;1.9
GVE;195505;44.5
GVE;195506;34.8
GVE;195507;24.9
GVE;195508;83.5
GVE;195509;25.3
GVE;195510;29.6
GVE;195511;22.9
GVE;195512;30.5
GVE;195601;26.2
GVE;195602;7.2
GVE;195603;16.7
GVE;195604;30.1
GVE;195605;37.5
GVE;195606;30.1
GVE;195607;20.3
GVE;195608;29.4
GVE;195609;99.3
GVE;195610;39.2
GVE;195611;9.2
GVE;195612;7.6
GVE;195701;5.7
GVE;195702;51.8
GVE;195703;8.8
GVE;195704;13.0
GVE;195705;16.7
GVE;195706;41.4
GVE;195707;33.1
GVE;195708;27.0
GVE;195709;20.2
GVE;195710;24.5
GVE;195711;36.2
GVE;195712;14.2
GVE;195801;37.7
GVE;195802;29.6
GVE;195803;14.9
GVE;195804;16.7
GVE;195805;39.5
GVE;195806;36.3
GVE;195807;18.7
GVE;195808;47.0
GVE;195809;62.4
GVE;195810;28.8
GVE;195811;20.5
GVE;195812;37.4
GVE;195901;27.8
GVE;195902;0.0
GVE;195903;67.7
GVE;195904;23.9
GVE;195905;15.7
GVE;195906;17.1
GVE;195907;25.8
GVE;195908;22.5
GVE;195909;62.2
GVE;195910;53.4
GVE;195911;27.9
GVE;195912;42.5
GVE;196001;48.8
GVE;196002;62.6
GVE;196003;37.6
GVE;196004;9.2
GVE;196005;20.9
GVE;196006;41.7
GVE;196007;35.9
GVE;196008;43.4
GVE;196009;83.6
GVE;196010;55.3
GVE;196011;44.7
GVE;196012;29.8
GVE;196101;23.8
GVE;196102;28.3
GVE;196103;12.7
GVE;196104;23.7
GVE;196105;9.2
GVE;196106;16.2
