 

stn;time;rre002mx
WEE;188801;42.0
WEE;188802;37.0
WEE;188803;30.0
WEE;188804;50.0
WEE;188805;43.0
WEE;188806;43.0
WEE;188807;86.0
WEE;188808;70.0
WEE;188809;87.0
WEE;188810;50.0
WEE;188811;36.0
WEE;188812;9.0
WEE;188901;13.0
WEE;188902;56.0
WEE;188903;29.0
WEE;188904;71.0
WEE;188905;26.0
WEE;188906;51.0
WEE;188907;75.0
WEE;188908;37.0
WEE;188909;51.0
WEE;188910;100.0
WEE;188911;46.0
WEE;188912;17.0
WEE;189001;37.0
WEE;189002;3.0
WEE;189003;20.0
WEE;189004;31.0
WEE;189005;37.0
WEE;189006;52.0
WEE;189007;109.0
WEE;189008;102.0
WEE;189009;67.0
WEE;189010;84.0
WEE;189011;37.0
WEE;189012;14.0
WEE;189101;35.0
WEE;189102;9.5
WEE;189103;27.0
WEE;189104;19.5
WEE;189105;28.5
WEE;189106;91.0
WEE;189107;95.5
WEE;189108;34.5
WEE;189109;55.5
WEE;189110;24.5
WEE;189111;28.0
WEE;189112;61.0
WEE;189201;23.5
WEE;189202;93.0
WEE;189203;15.5
WEE;189204;85.0
WEE;189205;41.0
WEE;189206;72.5
WEE;189207;76.5
WEE;189208;105.0
WEE;189209;71.0
WEE;189210;32.0
WEE;189211;9.0
WEE;189212;29.0
WEE;189301;45.5
WEE;189302;39.5
WEE;189303;26.0
WEE;189304;3.0
WEE;189305;41.5
WEE;189306;49.5
WEE;189307;53.0
WEE;189308;28.0
WEE;189309;54.0
WEE;189310;51.0
WEE;189311;40.5
WEE;189312;11.5
WEE;189401;9.0
WEE;189402;41.0
WEE;189403;35.0
WEE;189404;28.5
WEE;189405;42.5
WEE;189406;52.5
WEE;189407;54.0
WEE;189408;37.0
WEE;189409;58.5
WEE;189410;29.0
WEE;189411;31.0
WEE;189412;43.5
WEE;189501;23.0
WEE;189502;9.0
WEE;189503;62.0
WEE;189504;24.5
WEE;189505;70.0
WEE;189506;32.5
WEE;189507;30.5
WEE;189508;62.0
WEE;189509;17.0
WEE;189510;56.5
WEE;189511;44.0
WEE;189512;99.0
WEE;189601;56.0
WEE;189602;65.6
WEE;189603;135.5
WEE;189604;62.0
WEE;189605;48.0
WEE;189606;87.0
WEE;189607;39.5
WEE;189608;75.5
WEE;189609;96.5
WEE;189610;51.0
WEE;189611;19.5
WEE;189612;20.0
WEE;189701;14.0
WEE;189702;68.0
WEE;189703;49.0
WEE;189704;53.0
WEE;189705;32.0
WEE;189706;68.0
WEE;189707;59.0
WEE;189708;93.0
WEE;189709;95.0
WEE;189710;9.0
WEE;189711;26.0
WEE;189712;29.0
WEE;189801;10.0
WEE;189802;51.0
WEE;189803;16.0
WEE;189804;50.0
WEE;189805;66.0
WEE;189806;71.8
WEE;189807;103.3
WEE;189808;87.0
WEE;189809;44.1
WEE;189810;52.0
WEE;189811;43.1
WEE;189812;30.0
WEE;189901;71.7
WEE;189902;19.5
WEE;189903;45.4
WEE;189904;73.0
WEE;189905;55.2
WEE;189906;19.5
WEE;189907;47.5
WEE;189908;38.4
WEE;189909;180.0
WEE;189910;33.5
WEE;189911;12.5
WEE;189912;46.7
WEE;190001;45.5
WEE;190002;19.4
WEE;190003;28.8
WEE;190004;42.0
WEE;190005;37.4
WEE;190006;45.6
WEE;190007;78.3
WEE;190008;36.3
WEE;190009;23.0
WEE;190010;18.5
WEE;190011;30.1
WEE;190012;44.2
WEE;190101;36.4
WEE;190102;17.0
WEE;190103;45.0
WEE;190104;65.0
WEE;190105;19.4
WEE;190106;75.2
WEE;190107;31.7
WEE;190108;138.5
WEE;190109;42.2
WEE;190110;60.3
WEE;190111;11.0
WEE;190112;56.0
WEE;190201;37.5
WEE;190202;18.0
WEE;190203;43.6
WEE;190204;28.0
WEE;190205;45.0
WEE;190206;51.3
WEE;190207;32.2
WEE;190208;47.0
WEE;190209;70.4
WEE;190210;51.0
WEE;190211;8.6
WEE;190212;88.2
WEE;190301;29.1
WEE;190302;38.0
WEE;190303;31.4
WEE;190304;67.6
WEE;190305;26.0
WEE;190306;33.6
WEE;190307;50.1
WEE;190308;39.3
WEE;190309;32.1
WEE;190310;46.0
WEE;190311;34.5
WEE;190312;17.4
WEE;190401;21.0
WEE;190402;33.0
WEE;190403;21.5
WEE;190404;40.5
WEE;190405;79.0
WEE;190406;43.3
WEE;190407;25.0
WEE;190408;69.9
WEE;190409;46.5
WEE;190410;58.3
WEE;190411;22.0
WEE;190412;40.4
WEE;190501;27.0
WEE;190502;14.3
WEE;190503;25.0
WEE;190504;38.6
WEE;190505;33.0
WEE;190506;19.0
WEE;190507;62.2
WEE;190508;102.4
WEE;190509;77.7
WEE;190510;46.0
WEE;190511;33.7
WEE;190512;18.0
WEE;190601;40.4
WEE;190602;36.3
WEE;190603;52.0
WEE;190604;29.0
WEE;190605;111.6
WEE;190606;57.5
WEE;190607;83.0
WEE;190608;30.0
WEE;190609;48.0
WEE;190610;12.0
WEE;190611;22.0
WEE;190612;42.4
WEE;190701;56.0
WEE;190702;26.5
WEE;190703;62.0
WEE;190704;29.4
WEE;190705;33.0
WEE;190706;33.9
WEE;190707;55.6
WEE;190708;54.0
WEE;190709;43.0
WEE;190710;22.0
WEE;190711;23.5
WEE;190712;46.6
WEE;190801;22.0
WEE;190802;40.0
WEE;190803;21.0
WEE;190804;39.0
WEE;190805;35.0
WEE;190806;66.0
WEE;190807;62.5
WEE;190808;38.0
WEE;190809;56.0
WEE;190810;3.0
WEE;190811;53.5
WEE;190812;18.6
WEE;190901;18.2
WEE;190902;12.3
WEE;190903;22.4
WEE;190904;39.0
WEE;190905;34.0
WEE;190906;57.0
WEE;190907;68.0
WEE;190908;50.0
WEE;190909;42.3
WEE;190910;27.2
WEE;190911;20.3
WEE;190912;28.0
WEE;191001;136.0
WEE;191002;53.3
WEE;191003;15.7
WEE;191004;40.9
WEE;191005;21.0
WEE;191006;148.0
WEE;191007;57.0
WEE;191008;61.0
WEE;191009;50.2
WEE;191010;26.5
WEE;191011;43.0
WEE;191012;43.0
WEE;191101;19.0
WEE;191102;37.2
WEE;191103;36.0
WEE;191104;29.0
WEE;191105;43.0
WEE;191106;56.7
WEE;191107;26.3
WEE;191108;29.2
WEE;191109;45.1
