 

stn;time;rre002mx
BOZ;193901;29.4
BOZ;193902;6.0
BOZ;193903;24.7
BOZ;193904;52.5
BOZ;193905;54.0
BOZ;193906;49.5
BOZ;193907;25.2
BOZ;193908;37.9
BOZ;193909;22.0
BOZ;193910;55.1
BOZ;193911;29.2
BOZ;193912;19.0
BOZ;194001;15.0
BOZ;194002;20.6
BOZ;194003;23.8
BOZ;194004;43.5
BOZ;194005;13.7
BOZ;194006;42.7
BOZ;194007;38.5
BOZ;194008;10.0
BOZ;194009;56.6
BOZ;194010;24.7
BOZ;194011;96.5
BOZ;194012;45.5
BOZ;194101;17.7
BOZ;194102;20.4
BOZ;194103;19.5
BOZ;194104;23.5
BOZ;194105;28.9
BOZ;194106;77.2
BOZ;194107;14.2
BOZ;194108;26.8
BOZ;194109;5.0
BOZ;194110;17.0
BOZ;194111;15.6
BOZ;194112;29.6
BOZ;194201;31.3
BOZ;194202;3.0
BOZ;194203;18.8
BOZ;194204;14.9
BOZ;194205;38.2
BOZ;194206;98.2
BOZ;194207;53.5
BOZ;194208;20.0
BOZ;194209;75.5
BOZ;194210;69.0
BOZ;194211;28.7
BOZ;194212;15.4
BOZ;194301;31.1
BOZ;194302;11.5
BOZ;194303;11.5
BOZ;194304;10.4
BOZ;194305;25.8
BOZ;194306;19.9
BOZ;194307;33.4
BOZ;194308;24.5
BOZ;194309;47.7
BOZ;194310;9.1
BOZ;194311;32.9
BOZ;194312;15.2
BOZ;194401;20.5
BOZ;194402;13.1
BOZ;194403;11.5
BOZ;194404;17.6
BOZ;194405;25.7
BOZ;194406;15.1
BOZ;194407;36.7
BOZ;194408;23.7
BOZ;194409;72.3
BOZ;194410;28.0
BOZ;194411;48.5
BOZ;194412;29.5
BOZ;194501;22.0
BOZ;194502;26.1
BOZ;194503;12.9
BOZ;194504;9.6
BOZ;194505;39.4
BOZ;194506;41.7
BOZ;194507;8.7
BOZ;194508;52.5
BOZ;194509;14.3
BOZ;194510;15.0
BOZ;194511;6.9
BOZ;194512;44.0
BOZ;194601;20.1
BOZ;194602;25.7
BOZ;194603;5.8
BOZ;194604;10.5
BOZ;194605;13.8
BOZ;194606;49.8
BOZ;194607;17.2
BOZ;194608;58.4
BOZ;194609;104.9
BOZ;194610;34.3
BOZ;194611;15.5
BOZ;194612;22.4
BOZ;194701;18.7
BOZ;194702;17.1
BOZ;194703;37.1
BOZ;194704;5.2
BOZ;194705;36.0
BOZ;194706;36.0
BOZ;194707;47.1
BOZ;194708;23.5
BOZ;194709;30.3
BOZ;194710;34.3
BOZ;194711;44.4
BOZ;194712;12.8
BOZ;194801;71.2
BOZ;194802;8.1
BOZ;194803;7.1
BOZ;194804;18.6
BOZ;194805;24.7
BOZ;194806;39.1
BOZ;194807;30.9
BOZ;194808;35.8
BOZ;194809;49.3
BOZ;194810;49.7
BOZ;194811;15.2
BOZ;194812;10.0
BOZ;194901;64.6
BOZ;194902;4.1
BOZ;194903;52.2
BOZ;194904;22.4
BOZ;194905;36.4
BOZ;194906;12.0
BOZ;194907;25.9
BOZ;194908;17.4
BOZ;194909;32.4
BOZ;194910;18.4
BOZ;194911;22.0
BOZ;194912;28.6
BOZ;195001;10.2
BOZ;195002;35.4
BOZ;195003;3.0
BOZ;195004;24.6
BOZ;195005;30.0
BOZ;195006;30.5
BOZ;195007;32.3
BOZ;195008;65.5
BOZ;195009;42.0
BOZ;195010;21.8
BOZ;195011;126.6
BOZ;195012;18.3
BOZ;195101;30.2
BOZ;195102;26.9
BOZ;195103;33.5
BOZ;195104;15.0
BOZ;195105;30.9
BOZ;195106;38.1
BOZ;195107;62.5
BOZ;195108;34.9
BOZ;195109;34.2
BOZ;195110;43.9
BOZ;195111;35.0
BOZ;195112;15.0
BOZ;195201;35.7
BOZ;195202;21.0
BOZ;195203;41.3
BOZ;195204;19.2
BOZ;195205;23.1
BOZ;195206;19.1
BOZ;195207;5.8
BOZ;195208;40.1
BOZ;195209;38.2
BOZ;195210;40.4
BOZ;195211;38.0
BOZ;195212;31.5
BOZ;195301;12.5
BOZ;195302;33.7
BOZ;195303;0.0
BOZ;195304;15.5
BOZ;195305;35.0
BOZ;195306;101.7
BOZ;195307;26.8
BOZ;195308;12.5
BOZ;195309;84.5
BOZ;195310;19.2
BOZ;195311;18.0
BOZ;195312;8.8
BOZ;195401;23.8
BOZ;195402;35.8
BOZ;195403;16.0
BOZ;195404;34.1
BOZ;195405;22.5
BOZ;195406;31.2
BOZ;195407;16.2
BOZ;195408;175.0
BOZ;195409;37.5
BOZ;195410;36.9
BOZ;195411;28.9
BOZ;195412;78.3
BOZ;195501;50.6
BOZ;195502;54.7
BOZ;195503;14.2
BOZ;195504;1.8
BOZ;195505;43.7
BOZ;195506;42.4
BOZ;195507;25.4
BOZ;195508;72.4
BOZ;195509;26.6
BOZ;195510;18.0
BOZ;195511;12.4
BOZ;195512;33.2
BOZ;195601;30.0
BOZ;195602;5.2
BOZ;195603;19.1
BOZ;195604;46.2
BOZ;195605;61.7
BOZ;195606;54.9
BOZ;195607;84.2
BOZ;195608;58.9
BOZ;195609;71.8
BOZ;195610;40.2
BOZ;195611;17.1
BOZ;195612;10.0
BOZ;195701;7.5
BOZ;195702;53.0
BOZ;195703;17.3
BOZ;195704;22.2
BOZ;195705;17.3
BOZ;195706;36.4
BOZ;195707;38.8
BOZ;195708;31.3
BOZ;195709;38.2
