 

stn;time;rre002mx
DLMUN;201606;29.6
DLMUN;201607;45.7
DLMUN;201608;38.3
DLMUN;201609;44.1
DLMUN;201610;9.5
DLMUN;201611;19.2
DLMUN;201612;1.7
DLMUN;201701;12.0
DLMUN;201702;12.3
DLMUN;201703;22.3
DLMUN;201704;35.6
DLMUN;201705;19.1
DLMUN;201706;16.3
DLMUN;201707;54.4
DLMUN;201708;28.4
DLMUN;201709;30.5
DLMUN;201710;13.5
DLMUN;201711;25.4
DLMUN;201712;7.7
DLMUN;201801;32.9
DLMUN;201802;12.1
DLMUN;201803;8.8
DLMUN;201804;2.7
DLMUN;201805;31.7
DLMUN;201806;48.1
DLMUN;201807;46.6
DLMUN;201808;18.5
DLMUN;201809;23.1
DLMUN;201810;28.5
DLMUN;201811;20.1
DLMUN;201812;25.0
DLMUN;201901;13.9
DLMUN;201902;26.4
DLMUN;201903;13.1
DLMUN;201904;6.6
DLMUN;201905;69.6
DLMUN;201906;19.7
DLMUN;201907;13.2
DLMUN;201908;27.5
DLMUN;201909;24.0
DLMUN;201910;19.3
DLMUN;201911;9.7
DLMUN;201912;21.0
DLMUN;202001;6.3
DLMUN;202002;35.1
DLMUN;202003;15.3
DLMUN;202004;13.5
DLMUN;202005;11.2
DLMUN;202006;43.0
DLMUN;202007;41.9
DLMUN;202008;47.7
DLMUN;202009;30.7
DLMUN;202010;17.8
DLMUN;202011;6.2
DLMUN;202012;15.0
DLMUN;202101;14.7
DLMUN;202102;17.6
DLMUN;202103;10.9
DLMUN;202104;5.7
DLMUN;202105;26.7
