 

stn;time;rre002mx
EVI;201401;19.7
EVI;201402;21.1
EVI;201403;32.2
EVI;201404;34.6
EVI;201405;24.2
EVI;201406;19.4
EVI;201407;50.0
EVI;201408;37.5
EVI;201409;16.1
EVI;201410;14.6
EVI;201411;33.4
EVI;201412;11.9
EVI;201501;22.5
EVI;201502;9.4
EVI;201503;22.9
EVI;201504;17.2
EVI;201505;55.2
EVI;201506;19.5
EVI;201507;25.1
EVI;201508;39.5
EVI;201509;21.8
EVI;201510;24.4
EVI;201511;60.2
EVI;201512;2.2
EVI;201601;23.9
EVI;201602;28.8
EVI;201603;31.3
EVI;201604;30.6
EVI;201605;43.0
EVI;201606;20.5
EVI;201607;35.4
EVI;201608;39.7
EVI;201609;13.9
EVI;201610;32.3
EVI;201611;37.6
EVI;201612;0.7
EVI;201701;21.7
EVI;201702;21.0
EVI;201703;31.4
EVI;201704;31.7
EVI;201705;19.8
EVI;201706;28.5
EVI;201707;24.9
EVI;201708;29.1
EVI;201709;19.6
EVI;201710;18.6
EVI;201711;30.4
EVI;201712;32.3
EVI;201801;50.1
EVI;201802;16.9
EVI;201803;15.8
EVI;201804;23.4
EVI;201805;25.2
EVI;201806;26.5
EVI;201807;15.9
EVI;201808;16.0
EVI;201809;19.2
EVI;201810;31.0
EVI;201811;8.2
EVI;201812;34.0
EVI;201901;30.7
EVI;201902;18.9
EVI;201903;14.7
EVI;201904;22.4
EVI;201905;38.9
EVI;201906;48.5
EVI;201907;42.8
EVI;201908;74.6
EVI;201909;14.6
EVI;201910;23.9
EVI;201911;19.5
EVI;201912;25.2
EVI;202001;26.4
EVI;202002;29.3
EVI;202003;20.0
EVI;202004;21.1
EVI;202005;31.0
EVI;202006;20.4
EVI;202007;32.4
EVI;202008;50.9
EVI;202009;34.0
EVI;202010;40.8
EVI;202011;9.5
EVI;202012;25.7
EVI;202101;26.1
EVI;202102;13.7
EVI;202103;26.4
EVI;202104;28.0
EVI;202105;42.8
