 

stn;time;rre002mx
BAT;190101;47.0
BAT;190102;8.6
BAT;190103;28.6
BAT;190104;40.0
BAT;190105;11.0
BAT;190106;46.3
BAT;190107;32.8
BAT;190108;33.2
BAT;190109;55.4
BAT;190110;28.2
BAT;190111;14.3
BAT;190112;30.4
BAT;190201;34.0
BAT;190202;17.0
BAT;190203;38.8
BAT;190204;26.0
BAT;190205;53.3
BAT;190206;13.2
BAT;190207;29.0
BAT;190208;31.3
BAT;190209;31.2
BAT;190210;41.8
BAT;190211;7.0
BAT;190212;31.0
BAT;190301;25.5
BAT;190302;35.1
BAT;190303;30.5
BAT;190304;18.0
BAT;190305;14.9
BAT;190306;29.0
BAT;190307;31.7
BAT;190308;70.0
BAT;190309;35.2
BAT;190310;22.0
BAT;190311;29.0
BAT;190312;20.7
BAT;190401;24.2
BAT;190402;38.5
BAT;190403;38.0
BAT;190404;21.2
BAT;190405;48.8
BAT;190406;38.5
BAT;190407;16.0
BAT;190408;47.0
BAT;190409;22.5
BAT;190410;21.0
BAT;190411;15.3
BAT;190412;23.5
BAT;190501;22.0
BAT;190502;10.8
BAT;190503;26.0
BAT;190504;35.5
BAT;190505;18.2
BAT;190506;33.7
BAT;190507;22.7
BAT;190508;59.2
BAT;190509;31.5
BAT;190510;21.1
BAT;190511;35.8
BAT;190512;20.8
BAT;190601;26.0
BAT;190602;24.0
BAT;190603;30.0
BAT;190604;17.8
BAT;190605;69.8
BAT;190606;38.3
BAT;190607;8.1
BAT;190608;16.7
BAT;190609;28.0
BAT;190610;17.5
BAT;190611;35.5
BAT;190612;19.5
BAT;190701;27.2
BAT;190702;58.0
BAT;190703;29.0
BAT;190704;20.5
BAT;190705;19.7
BAT;190706;42.5
BAT;190707;29.3
BAT;190708;17.0
BAT;190709;63.7
BAT;190710;17.5
BAT;190711;21.4
BAT;190712;32.7
BAT;190801;14.8
BAT;190802;41.5
BAT;190803;14.8
BAT;190804;21.4
BAT;190805;45.0
BAT;190806;60.2
BAT;190807;52.0
BAT;190808;32.0
BAT;190809;44.2
BAT;190810;6.5
BAT;190811;39.9
BAT;190812;35.1
BAT;190901;11.8
BAT;190902;25.0
BAT;190903;11.5
BAT;190904;12.5
BAT;190905;15.5
BAT;190906;37.0
BAT;190907;61.8
BAT;190908;23.4
BAT;190909;29.2
BAT;190910;33.4
BAT;190911;28.0
BAT;190912;30.4
BAT;191001;83.2
BAT;191002;43.7
BAT;191003;8.2
BAT;191004;18.5
BAT;191005;28.0
BAT;191006;50.0
BAT;191007;65.7
BAT;191008;32.7
BAT;191009;31.5
BAT;191010;8.0
BAT;191011;55.7
BAT;191012;45.4
BAT;191101;11.7
BAT;191102;28.6
BAT;191103;27.6
BAT;191104;9.8
BAT;191105;32.3
BAT;191106;31.3
BAT;191107;10.1
BAT;191108;23.7
BAT;191109;24.8
BAT;191110;27.0
BAT;191111;16.2
BAT;191112;34.5
BAT;191201;50.7
BAT;191202;14.0
BAT;191203;33.0
BAT;191204;11.7
BAT;191205;23.4
BAT;191206;33.7
BAT;191207;29.8
BAT;191208;40.8
BAT;191209;13.0
BAT;191210;61.6
BAT;191211;43.7
BAT;191212;25.8
BAT;191301;26.3
BAT;191302;39.3
BAT;191303;24.3
BAT;191304;26.0
BAT;191305;24.8
BAT;191306;25.2
BAT;191307;21.0
BAT;191308;24.1
BAT;191309;49.4
BAT;191310;9.5
BAT;191311;41.3
BAT;191312;34.8
BAT;191401;61.0
BAT;191402;12.6
BAT;191403;39.9
BAT;191404;14.5
BAT;191405;41.5
BAT;191406;21.5
BAT;191407;46.7
BAT;191408;47.0
BAT;191409;44.6
BAT;191410;14.0
BAT;191411;53.5
BAT;191412;39.5
BAT;191501;17.6
BAT;191502;22.5
BAT;191503;30.5
BAT;191504;45.5
BAT;191505;26.0
BAT;191506;13.5
BAT;191507;33.3
BAT;191508;49.2
BAT;191509;45.4
BAT;191510;16.1
BAT;191511;71.2
BAT;191512;26.9
BAT;191601;27.0
BAT;191602;43.3
BAT;191603;21.3
BAT;191604;25.7
BAT;191605;14.6
BAT;191606;62.7
BAT;191607;53.3
BAT;191608;39.4
BAT;191609;17.3
BAT;191610;34.6
BAT;191611;27.9
BAT;191612;30.5
BAT;191701;33.8
BAT;191702;6.5
BAT;191703;48.2
BAT;191704;54.5
BAT;191705;41.3
BAT;191706;21.7
BAT;191707;41.0
BAT;191708;30.4
BAT;191709;46.8
BAT;191710;107.1
BAT;191711;32.0
BAT;191712;10.3
BAT;191801;66.7
BAT;191802;11.6
BAT;191803;21.9
BAT;191804;18.3
BAT;191805;24.1
BAT;191806;43.8
BAT;191807;31.8
BAT;191808;21.8
BAT;191809;50.0
BAT;191810;46.4
BAT;191811;32.7
BAT;191812;66.9
BAT;191901;6.6
BAT;191902;21.1
BAT;191903;88.3
BAT;191904;43.3
BAT;191905;29.3
BAT;191906;56.1
BAT;191907;25.4
BAT;191908;12.5
BAT;191909;21.7
BAT;191910;21.0
BAT;191911;31.5
BAT;191912;83.0
BAT;192001;67.3
BAT;192002;8.4
BAT;192003;31.0
BAT;192004;15.4
BAT;192005;24.5
BAT;192006;19.8
BAT;192007;35.9
BAT;192008;25.9
BAT;192009;29.4
BAT;192010;7.3
BAT;192011;1.3
BAT;192012;25.6
BAT;192101;16.3
BAT;192102;5.3
BAT;192103;9.8
BAT;192104;33.3
BAT;192105;33.0
BAT;192106;44.8
BAT;192107;16.4
BAT;192108;62.3
BAT;192109;37.5
BAT;192110;12.4
BAT;192111;54.1
BAT;192112;40.0
BAT;192201;64.6
BAT;192202;32.4
BAT;192203;26.0
