 

stn;time;rre002mx
COM;198802;40.5
COM;198803;18.8
COM;198804;13.9
COM;198805;59.3
COM;198806;31.2
COM;198807;106.8
COM;198808;91.3
COM;198809;85.0
COM;198810;159.2
COM;198811;3.6
COM;198812;34.1
COM;198901;0.0
COM;198902;103.8
COM;198903;29.4
COM;198904;97.4
COM;198905;19.0
COM;198906;29.4
COM;198907;42.4
COM;198908;17.8
COM;198909;24.0
COM;198910;8.4
COM;198911;61.3
COM;198912;69.6
COM;199001;35.9
COM;199002;87.1
COM;199003;18.8
COM;199004;16.6
COM;199005;27.8
COM;199006;80.9
COM;199007;27.7
COM;199008;70.0
COM;199009;56.1
COM;199010;48.6
COM;199011;70.4
COM;199012;60.3
COM;199101;9.8
COM;199102;8.2
COM;199103;92.6
COM;199104;25.5
COM;199105;12.6
COM;199106;118.1
COM;199107;28.7
COM;199108;27.8
COM;199109;143.7
COM;199110;39.8
COM;199111;68.2
COM;199112;98.0
COM;199201;38.6
COM;199202;12.4
COM;199203;78.4
COM;199204;72.5
COM;199205;22.9
COM;199206;46.6
COM;199207;42.5
COM;199208;95.2
COM;199209;68.3
COM;199210;24.6
COM;199211;15.4
COM;199212;69.3
COM;199301;1.4
COM;199302;11.6
COM;199303;12.4
COM;199304;46.0
COM;199305;127.8
COM;199306;70.2
COM;199307;76.5
COM;199308;70.9
COM;199309;161.4
COM;199310;123.3
COM;199311;29.3
COM;199312;14.8
COM;199401;135.5
COM;199402;47.4
COM;199403;49.9
COM;199404;32.0
COM;199405;65.2
COM;199406;28.3
COM;199407;37.6
COM;199408;121.0
COM;199409;82.0
COM;199410;17.9
COM;199411;90.1
COM;199412;7.1
COM;199501;46.8
COM;199502;17.5
COM;199503;14.4
COM;199504;87.7
COM;199505;36.3
COM;199506;64.2
COM;199507;57.7
COM;199508;24.1
COM;199509;90.7
COM;199510;17.9
COM;199511;32.7
COM;199512;13.4
COM;199601;68.0
COM;199602;11.1
COM;199603;4.1
COM;199604;11.1
COM;199605;129.2
COM;199606;28.0
COM;199607;87.4
COM;199608;79.3
COM;199609;12.0
COM;199610;43.5
COM;199611;136.6
COM;199612;11.0
COM;199701;25.4
COM;199702;2.5
COM;199703;2.2
COM;199704;39.7
COM;199705;50.4
COM;199706;94.6
COM;199707;63.4
COM;199708;66.3
COM;199709;8.7
COM;199710;17.6
COM;199711;98.4
COM;199712;81.9
COM;199801;17.5
COM;199802;10.3
COM;199803;2.3
COM;199804;102.6
COM;199805;56.8
COM;199806;67.8
COM;199807;32.6
COM;199808;94.4
COM;199809;95.8
COM;199810;44.2
COM;199811;4.5
COM;199812;18.6
COM;199901;38.4
COM;199902;16.1
COM;199903;96.3
COM;199904;108.5
COM;199905;56.0
COM;199906;90.9
COM;199907;51.1
COM;199908;79.0
COM;199909;100.9
COM;199910;75.7
COM;199911;22.7
COM;199912;38.4
COM;200001;11.7
COM;200002;8.3
COM;200003;40.5
COM;200004;54.4
COM;200005;20.6
COM;200006;54.2
COM;200007;67.1
COM;200008;30.8
COM;200009;58.3
COM;200010;101.2
COM;200011;97.3
