 

stn;time;rre002mx
ECH;193401;17.4
ECH;193402;5.4
ECH;193403;35.1
ECH;193404;12.3
ECH;193405;6.4
ECH;193406;42.9
ECH;193407;31.8
ECH;193408;45.1
ECH;193409;10.8
ECH;193410;38.0
ECH;193411;37.0
ECH;193412;25.7
ECH;193501;16.6
ECH;193502;40.0
ECH;193503;13.5
ECH;193504;28.2
ECH;193505;24.7
ECH;193506;54.2
ECH;193507;36.5
ECH;193508;43.0
ECH;193509;64.0
ECH;193510;127.4
ECH;193511;25.9
ECH;193512;73.1
ECH;193601;43.9
ECH;193602;48.7
ECH;193603;13.1
ECH;193604;19.5
ECH;193605;21.2
ECH;193606;53.7
ECH;193607;46.4
ECH;193608;43.5
ECH;193609;57.0
ECH;193610;24.3
ECH;193611;42.0
ECH;193612;17.8
ECH;193701;30.2
ECH;193702;32.9
ECH;193703;82.2
ECH;193704;21.4
ECH;193705;27.8
ECH;193706;41.9
ECH;193707;13.1
ECH;193708;31.4
ECH;193709;55.4
ECH;193710;17.9
ECH;193711;21.7
ECH;193712;23.5
ECH;193801;25.0
ECH;193802;9.4
ECH;193803;8.7
ECH;193804;2.5
ECH;193805;19.1
ECH;193806;74.4
ECH;193807;41.2
ECH;193808;36.4
ECH;193809;37.4
ECH;193810;36.6
ECH;193811;54.4
ECH;193812;25.4
ECH;193901;31.0
ECH;193902;5.8
ECH;193903;27.2
ECH;193904;39.9
ECH;193905;36.1
ECH;193906;69.4
ECH;193907;56.9
ECH;193908;34.4
ECH;193909;33.7
ECH;193910;49.2
ECH;193911;32.5
ECH;193912;45.9
ECH;194001;20.8
ECH;194002;25.5
ECH;194003;31.9
ECH;194004;45.8
ECH;194005;28.7
ECH;194006;28.8
ECH;194007;33.5
ECH;194008;23.3
ECH;194009;45.5
ECH;194010;27.0
ECH;194011;92.3
ECH;194012;38.6
ECH;194101;30.9
ECH;194102;21.7
ECH;194103;26.5
ECH;194104;40.7
ECH;194105;29.5
ECH;194106;37.2
ECH;194107;28.5
ECH;194108;22.9
ECH;194109;4.9
ECH;194110;21.7
ECH;194111;16.0
ECH;194112;19.1
ECH;194201;38.1
ECH;194202;5.3
ECH;194203;21.4
ECH;194204;21.7
