 

stn;time;rre002mx
GUG;200808;43.4
GUG;200809;46.2
GUG;200810;48.7
GUG;200811;16.1
GUG;200812;26.3
GUG;200901;24.5
GUG;200902;23.3
GUG;200903;22.8
GUG;200904;22.7
GUG;200905;43.9
GUG;200906;44.8
GUG;200907;66.5
GUG;200908;19.0
GUG;200909;40.1
GUG;200910;14.5
GUG;200911;44.4
GUG;200912;43.6
GUG;201001;13.8
GUG;201002;18.8
GUG;201003;16.4
GUG;201004;13.8
GUG;201005;38.4
GUG;201006;34.5
GUG;201007;32.6
GUG;201008;47.4
GUG;201009;41.6
GUG;201010;43.7
GUG;201011;33.3
GUG;201012;32.9
GUG;201101;20.0
GUG;201102;22.3
GUG;201103;13.6
GUG;201104;28.0
GUG;201105;49.6
GUG;201106;55.4
GUG;201107;47.0
GUG;201108;21.2
GUG;201109;37.1
GUG;201110;33.8
GUG;201111;2.5
GUG;201112;21.4
GUG;201201;27.0
GUG;201202;6.9
GUG;201203;24.9
GUG;201204;43.3
GUG;201205;24.4
GUG;201206;46.4
GUG;201207;39.1
GUG;201208;65.2
GUG;201209;40.4
GUG;201210;40.6
GUG;201211;41.8
GUG;201212;22.7
GUG;201301;20.2
GUG;201302;40.5
GUG;201303;41.3
GUG;201304;63.2
GUG;201305;37.6
GUG;201306;51.4
GUG;201307;84.4
GUG;201308;43.4
GUG;201309;35.1
GUG;201310;42.8
GUG;201311;36.4
GUG;201312;49.4
GUG;201401;25.8
GUG;201402;21.7
GUG;201403;35.1
GUG;201404;49.5
GUG;201405;26.4
GUG;201406;23.1
GUG;201407;67.3
GUG;201408;40.6
GUG;201409;18.6
GUG;201410;43.9
GUG;201411;39.3
GUG;201412;10.5
GUG;201501;25.4
GUG;201502;18.4
GUG;201503;26.3
GUG;201504;45.6
GUG;201505;57.7
GUG;201506;24.2
GUG;201507;12.4
GUG;201508;50.0
GUG;201509;37.7
GUG;201510;20.6
GUG;201511;35.5
GUG;201512;8.7
GUG;201601;47.9
GUG;201602;23.3
GUG;201603;19.9
GUG;201604;47.8
GUG;201605;60.7
GUG;201606;93.7
GUG;201607;84.5
GUG;201608;46.2
GUG;201609;36.6
GUG;201610;60.1
GUG;201611;50.2
GUG;201612;2.0
GUG;201701;15.5
GUG;201702;32.6
GUG;201703;23.3
GUG;201704;48.3
GUG;201705;48.9
GUG;201706;48.5
GUG;201707;33.5
GUG;201708;43.2
GUG;201709;32.8
GUG;201710;20.8
GUG;201711;29.9
GUG;201712;42.3
GUG;201801;42.8
GUG;201802;31.3
GUG;201803;23.9
GUG;201804;26.2
GUG;201805;15.7
GUG;201806;55.9
GUG;201807;41.5
GUG;201808;35.0
GUG;201809;20.1
GUG;201810;25.4
GUG;201811;14.0
GUG;201812;32.9
GUG;201901;14.1
GUG;201902;39.2
GUG;201903;16.8
GUG;201904;30.9
GUG;201905;47.1
GUG;201906;44.4
GUG;201907;34.9
GUG;201908;59.3
GUG;201909;42.0
GUG;201910;42.1
GUG;201911;21.5
GUG;201912;29.9
GUG;202001;9.9
GUG;202002;23.5
GUG;202003;45.3
GUG;202004;30.2
GUG;202005;33.2
GUG;202006;50.6
GUG;202007;36.8
GUG;202008;53.2
GUG;202009;47.8
GUG;202010;45.8
GUG;202011;19.3
GUG;202012;28.5
GUG;202101;24.3
GUG;202102;13.0
GUG;202103;19.2
GUG;202104;31.8
GUG;202105;48.5
