 

stn;time;rre002mx
SCE;190101;16.3
SCE;190102;19.9
SCE;190103;59.7
SCE;190104;29.8
SCE;190105;23.5
SCE;190106;61.3
SCE;190107;36.3
SCE;190108;74.7
SCE;190109;47.6
SCE;190110;22.3
SCE;190111;22.1
SCE;190112;21.5
SCE;190201;10.7
SCE;190202;15.5
SCE;190203;28.6
SCE;190204;47.8
SCE;190205;34.0
SCE;190206;60.8
SCE;190207;30.6
SCE;190208;27.8
SCE;190209;57.0
SCE;190210;76.6
SCE;190211;12.1
SCE;190212;25.3
SCE;190301;29.2
SCE;190302;23.5
SCE;190303;19.3
SCE;190304;22.7
SCE;190305;17.5
SCE;190306;35.7
SCE;190307;39.0
SCE;190308;33.3
