 

stn;time;rre002mx
ANT;188911;8.0
ANT;188912;8.0
ANT;189001;19.4
ANT;189002;0.0
ANT;189003;20.6
ANT;189004;17.3
ANT;189005;58.3
ANT;189006;23.2
ANT;189007;64.3
ANT;189008;92.5
ANT;189009;83.0
ANT;189010;40.3
ANT;189011;38.5
ANT;189012;23.4
ANT;189101;22.0
ANT;189102;7.8
ANT;189103;23.0
ANT;189104;4.5
ANT;189105;19.2
ANT;189106;33.8
ANT;189107;184.0
ANT;189108;30.2
ANT;189109;59.6
ANT;189110;52.0
ANT;189111;25.0
ANT;189112;106.6
ANT;189201;15.7
ANT;189202;70.6
ANT;189203;33.7
ANT;189204;12.7
ANT;189205;7.8
ANT;189206;32.5
ANT;189207;20.2
ANT;189208;65.1
ANT;189209;46.7
ANT;189210;24.8
ANT;189211;12.0
ANT;189212;41.2
ANT;189301;90.0
ANT;189302;40.0
ANT;189303;15.9
ANT;189304;4.7
ANT;189305;19.7
ANT;189306;36.8
ANT;189307;65.1
ANT;189308;13.9
ANT;189309;37.1
ANT;189310;57.4
ANT;189311;22.0
ANT;189312;14.9
ANT;189401;1.2
ANT;189402;20.6
ANT;189403;44.8
ANT;189404;36.5
ANT;189405;21.2
ANT;189406;26.4
ANT;189407;47.7
ANT;189408;51.0
ANT;189409;30.3
ANT;189410;20.7
ANT;189411;26.0
ANT;189412;27.1
ANT;189501;42.0
ANT;189502;14.4
ANT;189503;19.7
ANT;189504;18.7
ANT;189505;66.8
ANT;189506;40.1
ANT;189507;15.7
ANT;189508;22.2
ANT;189509;4.8
ANT;189510;117.0
ANT;189511;20.2
ANT;189512;59.8
ANT;189601;21.2
ANT;189602;20.3
ANT;189603;31.1
ANT;189604;14.2
ANT;189605;7.9
ANT;189606;28.2
ANT;189607;30.9
ANT;189608;27.0
ANT;189609;53.2
ANT;189610;83.3
ANT;189611;24.8
ANT;189612;19.7
ANT;189701;23.4
ANT;189702;95.0
ANT;189703;31.0
ANT;189704;21.0
ANT;189705;29.9
ANT;189706;28.3
ANT;189707;38.5
ANT;189708;70.5
ANT;189709;73.5
ANT;189710;8.8
ANT;189711;28.7
ANT;189712;18.8
ANT;189801;7.5
ANT;189802;95.0
ANT;189803;100.0
ANT;189804;33.6
ANT;189805;65.0
ANT;189806;84.7
ANT;189807;30.2
ANT;189808;37.1
ANT;189809;11.4
ANT;189810;86.9
ANT;189811;122.8
ANT;189812;29.0
ANT;189901;85.8
ANT;189902;7.0
ANT;189903;43.1
ANT;189904;42.1
ANT;189905;28.3
ANT;189906;29.1
ANT;189907;15.0
ANT;189908;21.1
ANT;189909;68.5
ANT;189910;6.0
ANT;189911;4.5
ANT;189912;38.0
ANT;190001;30.9
ANT;190002;35.0
ANT;190003;9.7
ANT;190004;16.7
ANT;190005;37.7
ANT;190006;7.4
ANT;190007;93.3
ANT;190008;115.1
ANT;190009;3.5
ANT;190010;16.8
ANT;190011;57.9
ANT;190012;41.6
ANT;190101;27.5
ANT;190102;7.6
ANT;190103;24.4
ANT;190104;50.4
ANT;190105;19.7
ANT;190106;78.3
ANT;190107;28.7
ANT;190108;30.8
ANT;190109;45.0
ANT;190110;23.2
ANT;190111;11.9
ANT;190112;15.7
ANT;190201;25.9
ANT;190202;14.8
ANT;190203;65.0
ANT;190204;15.0
ANT;190205;18.6
ANT;190206;10.0
ANT;190207;24.6
ANT;190208;31.4
ANT;190209;37.8
ANT;190210;33.6
ANT;190211;12.2
ANT;190212;26.3
ANT;190301;21.9
ANT;190302;23.5
ANT;190303;22.8
ANT;190304;31.7
ANT;190305;78.2
ANT;190306;30.2
ANT;190307;94.6
ANT;190308;34.4
ANT;190309;84.0
ANT;190310;103.5
ANT;190311;68.2
ANT;190312;34.3
ANT;190401;17.0
ANT;190402;32.0
ANT;190403;50.0
ANT;190404;45.1
ANT;190405;53.0
ANT;190406;29.1
ANT;190407;39.2
ANT;190408;21.5
