 

stn;time;rre002mx
BRA;197001;47.6
BRA;197002;11.0
BRA;197003;58.4
BRA;197004;56.2
BRA;197005;40.0
BRA;197006;21.5
BRA;197007;27.4
BRA;197008;56.0
BRA;197009;54.6
BRA;197010;35.0
BRA;197011;79.7
BRA;197012;36.2
BRA;197101;43.0
BRA;197102;35.0
BRA;197103;53.8
BRA;197104;40.9
BRA;197105;65.9
BRA;197106;81.8
BRA;197107;59.0
BRA;197108;78.0
BRA;197109;27.0
BRA;197110;20.0
BRA;197111;81.8
BRA;197112;25.0
BRA;197201;30.5
BRA;197202;45.8
BRA;197203;38.0
BRA;197204;51.0
BRA;197205;33.6
BRA;197206;60.8
BRA;197207;25.1
BRA;197208;27.5
BRA;197209;66.8
BRA;197210;48.4
BRA;197211;20.0
BRA;197212;31.2
BRA;197301;30.1
BRA;197302;13.5
BRA;197303;2.2
BRA;197304;65.1
BRA;197305;106.3
BRA;197306;85.3
BRA;197307;135.5
BRA;197308;28.9
BRA;197309;62.6
BRA;197310;47.2
BRA;197311;40.0
BRA;197312;47.5
BRA;197401;20.6
BRA;197402;70.3
BRA;197403;43.7
BRA;197404;31.5
BRA;197405;35.3
BRA;197406;70.2
BRA;197407;103.2
BRA;197408;72.0
BRA;197409;75.7
BRA;197410;30.8
BRA;197411;62.0
BRA;197412;8.0
BRA;197501;49.0
BRA;197502;33.0
BRA;197503;60.0
BRA;197504;82.0
BRA;197505;78.5
BRA;197506;80.5
BRA;197507;30.0
BRA;197508;51.0
BRA;197509;59.0
BRA;197510;77.0
BRA;197511;51.1
BRA;197512;42.0
BRA;197601;19.0
BRA;197602;12.0
BRA;197603;12.0
BRA;197604;59.0
BRA;197605;20.0
BRA;197606;10.5
BRA;197607;35.6
BRA;197608;82.0
BRA;197609;172.0
BRA;197610;136.0
BRA;197611;77.0
BRA;197612;29.5
BRA;197701;53.0
BRA;197702;48.0
BRA;197703;46.0
BRA;197704;113.0
BRA;197705;82.2
BRA;197706;35.5
BRA;197707;92.0
BRA;197708;201.0
BRA;197709;5.0
BRA;197710;100.8
BRA;197711;32.0
BRA;197712;45.0
BRA;197801;70.0
BRA;197802;70.0
BRA;197803;22.5
BRA;197804;51.0
BRA;197805;85.5
BRA;197806;107.0
BRA;197807;117.5
BRA;197808;220.0
BRA;197809;18.6
BRA;197810;80.3
BRA;197811;3.5
BRA;197812;28.6
BRA;197901;78.6
BRA;197902;33.4
BRA;197903;107.6
BRA;197904;43.4
BRA;197905;67.5
BRA;197906;38.0
BRA;197907;104.8
BRA;197908;105.1
BRA;197909;95.8
BRA;197910;113.9
BRA;197911;45.3
BRA;197912;51.2
BRA;198001;27.1
BRA;198002;20.2
BRA;198003;36.4
BRA;198004;4.5
BRA;198005;48.0
BRA;198006;95.6
BRA;198007;107.8
BRA;198008;37.2
BRA;198009;20.7
BRA;198010;133.9
BRA;198011;13.2
BRA;198012;7.6
BRA;198101;8.0
BRA;198102;1.6
BRA;198103;99.8
BRA;198104;44.8
BRA;198105;148.2
BRA;198106;43.2
BRA;198107;97.2
BRA;198108;35.9
BRA;198109;136.9
BRA;198110;64.5
BRA;198111;5.5
BRA;198112;32.2
BRA;198201;22.0
BRA;198202;12.4
BRA;198203;26.2
BRA;198204;5.1
BRA;198205;66.3
BRA;198206;119.9
BRA;198207;111.5
BRA;198208;112.5
BRA;198209;168.0
BRA;198210;67.6
BRA;198211;78.8
BRA;198212;43.5
BRA;198301;28.0
BRA;198302;15.7
BRA;198303;48.4
BRA;198304;50.8
BRA;198305;102.2
BRA;198306;61.6
BRA;198307;28.6
BRA;198308;36.2
BRA;198309;210.2
BRA;198310;33.3
BRA;198311;24.4
BRA;198312;49.7
BRA;198401;17.5
BRA;198402;33.6
BRA;198403;66.5
BRA;198404;40.5
BRA;198405;90.8
BRA;198406;93.1
BRA;198407;5.7
BRA;198408;47.6
BRA;198409;254.1
BRA;198410;104.6
BRA;198411;58.0
BRA;198412;37.5
BRA;198501;75.3
BRA;198502;7.5
BRA;198503;55.4
BRA;198504;59.4
BRA;198505;111.5
BRA;198506;95.9
BRA;198507;120.5
BRA;198508;133.2
BRA;198509;46.7
BRA;198510;5.5
BRA;198511;28.2
BRA;198512;35.0
BRA;198601;67.6
BRA;198602;47.2
BRA;198603;13.8
BRA;198604;116.1
BRA;198605;69.6
BRA;198606;33.5
BRA;198607;45.3
BRA;198608;104.0
BRA;198609;14.0
BRA;198610;25.8
BRA;198611;26.9
BRA;198612;8.3
BRA;198701;23.5
BRA;198702;48.0
BRA;198703;20.5
BRA;198704;87.0
BRA;198705;38.2
BRA;198706;146.4
BRA;198707;216.1
BRA;198708;130.8
BRA;198709;70.2
BRA;198710;77.7
BRA;198711;52.7
BRA;198712;27.2
BRA;198801;38.6
BRA;198802;63.2
BRA;198803;40.0
BRA;198804;18.0
BRA;198805;86.2
BRA;198806;64.7
BRA;198807;68.0
BRA;198808;146.0
BRA;198809;85.0
BRA;198810;112.3
BRA;198811;6.4
BRA;198812;28.5
BRA;198901;0.0
BRA;198902;86.8
BRA;198903;34.4
BRA;198904;110.0
BRA;198905;73.8
BRA;198906;40.0
BRA;198907;40.1
BRA;198908;40.7
BRA;198909;27.2
BRA;198910;15.4
BRA;198911;55.0
BRA;198912;55.1
BRA;199001;27.4
BRA;199002;63.9
BRA;199003;1.0
BRA;199004;33.8
BRA;199005;33.3
BRA;199006;135.0
BRA;199007;75.4
BRA;199008;28.5
BRA;199009;36.1
BRA;199010;74.2
BRA;199011;71.5
BRA;199012;59.0
BRA;199101;51.0
BRA;199102;4.7
BRA;199103;79.4
BRA;199104;38.5
BRA;199105;23.0
BRA;199106;145.5
BRA;199107;50.0
BRA;199108;50.0
BRA;199109;146.4
BRA;199110;50.1
BRA;199111;77.8
BRA;199112;45.1
BRA;199201;40.1
BRA;199202;15.0
BRA;199203;58.3
BRA;199204;53.0
BRA;199205;19.8
BRA;199206;70.1
BRA;199207;63.6
BRA;199208;106.5
BRA;199209;111.9
BRA;199210;48.2
BRA;199211;7.6
BRA;199212;72.8
BRA;199301;1.0
BRA;199302;17.7
BRA;199303;24.4
BRA;199304;49.2
BRA;199305;60.6
BRA;199306;83.8
BRA;199307;40.0
BRA;199308;41.1
BRA;199309;192.5
BRA;199310;107.0
BRA;199311;51.6
BRA;199312;12.3
BRA;199401;124.6
BRA;199402;54.0
BRA;199403;64.9
BRA;199404;33.7
BRA;199405;72.4
BRA;199406;63.6
BRA;199407;77.5
BRA;199408;80.5
BRA;199409;111.8
