 

stn;time;rre002mx
LAT;200510;34.9
LAT;200511;12.1
LAT;200512;30.4
LAT;200601;12.3
LAT;200602;11.6
LAT;200603;13.1
LAT;200604;22.3
LAT;200605;31.2
LAT;200606;31.7
LAT;200607;51.5
LAT;200608;35.9
LAT;200609;26.4
LAT;200610;31.5
LAT;200611;9.6
LAT;200612;30.1
LAT;200701;17.3
LAT;200702;13.8
LAT;200703;10.7
LAT;200704;3.2
LAT;200705;22.2
LAT;200706;36.2
LAT;200707;49.9
LAT;200708;50.8
LAT;200709;29.7
LAT;200710;19.4
LAT;200711;42.5
LAT;200712;14.0
LAT;200801;20.8
LAT;200802;8.8
LAT;200803;10.9
LAT;200804;36.2
LAT;200805;41.5
LAT;200806;33.9
LAT;200807;89.9
LAT;200808;62.9
LAT;200809;48.8
LAT;200810;55.6
LAT;200811;39.1
LAT;200812;27.9
LAT;200901;29.7
LAT;200902;22.1
LAT;200903;16.9
LAT;200904;35.3
LAT;200905;17.2
LAT;200906;53.9
LAT;200907;54.0
LAT;200908;41.3
LAT;200909;25.2
LAT;200910;21.1
LAT;200911;74.6
LAT;200912;53.1
LAT;201001;5.3
LAT;201002;12.3
LAT;201003;23.6
LAT;201004;12.5
LAT;201005;39.2
LAT;201006;26.5
LAT;201007;33.1
LAT;201008;43.7
LAT;201009;29.7
LAT;201010;37.4
LAT;201011;48.4
LAT;201012;15.9
LAT;201101;6.6
LAT;201102;8.3
LAT;201103;20.1
LAT;201104;4.0
LAT;201105;50.3
LAT;201106;44.1
LAT;201107;43.0
LAT;201108;47.4
LAT;201109;80.5
LAT;201110;38.5
LAT;201111;0.8
LAT;201112;39.6
LAT;201201;42.7
LAT;201202;10.0
LAT;201203;29.3
LAT;201204;22.1
LAT;201205;14.7
LAT;201206;61.0
LAT;201207;23.2
LAT;201208;39.1
LAT;201209;23.5
LAT;201210;26.9
LAT;201211;33.0
LAT;201212;22.1
LAT;201301;7.7
LAT;201302;8.9
LAT;201303;14.0
LAT;201304;47.1
LAT;201305;35.7
LAT;201306;43.8
LAT;201307;15.5
LAT;201308;29.9
LAT;201309;31.1
LAT;201310;44.2
LAT;201311;20.5
LAT;201312;28.8
LAT;201401;23.6
LAT;201402;24.6
LAT;201403;37.7
LAT;201404;13.9
LAT;201405;17.7
LAT;201406;56.7
LAT;201407;31.2
LAT;201408;57.2
LAT;201409;23.1
LAT;201410;41.6
LAT;201411;67.4
LAT;201412;7.6
LAT;201501;31.3
LAT;201502;9.3
LAT;201503;25.4
LAT;201504;13.0
LAT;201505;57.2
LAT;201506;14.2
LAT;201507;14.0
LAT;201508;21.1
LAT;201509;34.0
LAT;201510;27.3
LAT;201511;7.3
LAT;201512;2.0
LAT;201601;8.2
LAT;201602;18.4
LAT;201603;34.6
LAT;201604;43.2
LAT;201605;36.5
LAT;201606;62.3
LAT;201607;39.8
LAT;201608;51.6
LAT;201609;15.3
LAT;201610;14.9
LAT;201611;29.1
LAT;201612;1.1
LAT;201701;11.7
LAT;201702;13.6
LAT;201703;16.2
LAT;201704;36.6
LAT;201705;18.9
LAT;201706;51.6
LAT;201707;21.5
LAT;201708;43.8
LAT;201709;62.8
LAT;201710;6.9
LAT;201711;18.1
LAT;201712;45.8
LAT;201801;46.6
LAT;201802;6.4
LAT;201803;20.3
LAT;201804;26.8
LAT;201805;17.1
LAT;201806;29.7
LAT;201807;24.2
LAT;201808;34.0
LAT;201809;31.0
LAT;201810;124.5
LAT;201811;9.9
LAT;201812;36.2
LAT;201901;37.4
LAT;201902;26.5
LAT;201903;25.2
LAT;201904;45.4
LAT;201905;19.8
LAT;201906;25.0
LAT;201907;38.0
LAT;201908;51.1
LAT;201909;31.5
LAT;201910;28.3
LAT;201911;31.5
LAT;201912;22.5
LAT;202001;17.5
LAT;202002;15.0
LAT;202003;18.0
LAT;202004;15.7
LAT;202005;15.3
LAT;202006;60.4
LAT;202007;15.4
LAT;202008;84.6
LAT;202009;60.4
LAT;202010;54.2
LAT;202011;2.8
LAT;202012;52.5
LAT;202101;34.8
LAT;202102;17.1
LAT;202103;13.9
LAT;202104;8.7
LAT;202105;23.6
