 

stn;time;rre002mx
BSP;190002;84.9
BSP;190003;34.2
BSP;190004;12.2
BSP;190005;26.8
BSP;190006;22.2
BSP;190007;53.1
BSP;190008;37.3
BSP;190009;19.8
BSP;190010;11.1
BSP;190011;50.8
BSP;190012;40.0
BSP;190101;29.5
BSP;190102;10.9
BSP;190103;22.0
BSP;190104;32.6
BSP;190105;7.5
BSP;190106;35.9
BSP;190107;15.8
BSP;190108;18.2
BSP;190109;19.0
BSP;190110;29.0
BSP;190111;15.0
BSP;190112;46.0
BSP;190201;40.5
BSP;190202;10.9
BSP;190203;23.1
BSP;190204;20.4
BSP;190205;45.6
BSP;190206;12.1
BSP;190207;30.3
BSP;190208;39.0
BSP;190209;36.4
BSP;190210;32.6
BSP;190211;8.4
BSP;190212;14.3
BSP;190301;18.6
BSP;190302;10.0
BSP;190303;12.6
BSP;190304;7.3
BSP;190305;39.2
BSP;190306;23.2
BSP;190307;25.8
BSP;190308;30.4
BSP;190309;11.0
BSP;190310;58.0
BSP;190311;12.0
BSP;190312;16.3
BSP;190401;21.8
BSP;190402;42.1
BSP;190403;19.2
BSP;190404;40.2
BSP;190405;26.4
BSP;190406;32.0
BSP;190407;30.0
BSP;190408;26.1
BSP;190409;22.8
BSP;190410;21.1
BSP;190411;10.2
BSP;190412;15.2
BSP;190501;9.1
BSP;190502;7.2
BSP;190503;24.8
BSP;190504;8.7
BSP;190505;68.2
BSP;190506;32.5
BSP;190507;25.0
BSP;190508;37.4
BSP;190509;20.5
BSP;190510;32.3
BSP;190511;38.8
BSP;190512;23.2
BSP;190601;16.4
BSP;190602;29.0
BSP;190603;15.3
BSP;190604;9.4
BSP;190605;67.4
BSP;190606;15.8
BSP;190607;22.0
BSP;190608;6.1
BSP;190609;7.7
BSP;190610;55.6
BSP;190611;49.0
BSP;190612;23.3
BSP;190701;12.0
BSP;190702;33.1
BSP;190703;15.2
BSP;190704;15.5
BSP;190705;14.0
BSP;190706;28.8
BSP;190707;57.0
BSP;190708;37.0
BSP;190709;17.0
BSP;190710;50.4
BSP;190711;2.1
BSP;190712;35.0
BSP;190801;9.3
BSP;190802;26.5
BSP;190803;16.2
BSP;190804;10.8
BSP;190805;43.3
BSP;190806;21.3
BSP;190807;43.7
BSP;190808;39.3
BSP;190809;35.8
BSP;190810;35.3
BSP;190811;24.0
BSP;190812;24.1
BSP;190901;14.6
BSP;190902;12.1
BSP;190903;11.1
BSP;190904;25.1
BSP;190905;26.0
BSP;190906;24.4
BSP;190907;34.7
BSP;190908;36.4
BSP;190909;41.1
BSP;190910;27.5
BSP;190911;14.1
BSP;190912;31.7
BSP;191001;53.5
BSP;191002;34.5
BSP;191003;8.6
BSP;191004;19.2
BSP;191005;9.1
BSP;191006;26.5
BSP;191007;37.3
BSP;191008;24.8
BSP;191009;28.9
BSP;191010;35.6
BSP;191011;25.9
BSP;191012;16.8
BSP;191101;7.5
BSP;191102;27.0
BSP;191103;74.0
BSP;191104;9.8
BSP;191105;21.3
BSP;191106;27.9
BSP;191107;11.3
BSP;191108;11.6
BSP;191109;51.9
BSP;191110;28.4
BSP;191111;24.1
BSP;191112;14.6
BSP;191201;17.7
BSP;191202;11.7
BSP;191203;19.5
BSP;191204;20.5
BSP;191205;24.4
BSP;191206;43.2
BSP;191207;24.0
BSP;191208;32.6
BSP;191209;21.3
BSP;191210;27.7
BSP;191211;24.9
BSP;191212;22.7
BSP;191301;13.4
BSP;191302;7.7
BSP;191303;41.5
BSP;191304;48.2
BSP;191305;14.7
BSP;191306;21.7
BSP;191307;23.0
BSP;191308;19.0
BSP;191309;27.2
BSP;191310;44.7
BSP;191311;16.3
BSP;191312;13.7
BSP;191401;10.5
BSP;191402;22.6
BSP;191403;32.2
BSP;191404;23.8
BSP;191405;51.2
BSP;191406;16.4
BSP;191407;42.1
BSP;191408;54.9
BSP;191409;21.0
BSP;191410;94.5
BSP;191411;16.5
BSP;191412;20.1
BSP;191501;22.5
BSP;191502;13.3
BSP;191503;13.8
BSP;191504;23.2
BSP;191505;32.8
BSP;191506;23.0
BSP;191507;49.2
BSP;191508;36.5
BSP;191509;38.9
BSP;191510;23.8
BSP;191511;11.6
BSP;191512;25.6
BSP;191601;10.9
BSP;191602;21.6
BSP;191603;40.9
BSP;191604;12.5
BSP;191605;38.6
BSP;191606;29.9
BSP;191607;9.6
BSP;191608;23.9
BSP;191609;24.2
BSP;191610;21.5
BSP;191611;24.9
BSP;191612;51.1
BSP;191701;9.5
BSP;191702;2.0
BSP;191703;14.5
BSP;191704;29.1
BSP;191705;27.7
BSP;191706;26.6
BSP;191707;47.0
BSP;191708;50.2
BSP;191709;30.3
BSP;191710;35.3
BSP;191711;29.1
BSP;191712;30.6
BSP;191801;28.3
BSP;191802;1.8
BSP;191803;54.3
BSP;191804;49.2
BSP;191805;8.5
BSP;191806;40.7
BSP;191807;29.9
BSP;191808;27.2
BSP;191809;38.8
BSP;191810;58.5
BSP;191811;26.0
BSP;191812;50.2
BSP;191901;45.9
BSP;191902;35.7
BSP;191903;30.0
BSP;191904;32.6
BSP;191905;8.1
BSP;191906;23.3
BSP;191907;21.7
BSP;191908;18.5
BSP;191909;14.3
BSP;191910;24.5
BSP;191911;20.7
BSP;191912;42.7
BSP;192001;53.5
BSP;192002;3.8
BSP;192003;26.5
BSP;192004;20.6
BSP;192005;16.6
BSP;192006;28.0
BSP;192007;29.0
BSP;192008;20.4
BSP;192009;85.9
BSP;192010;4.7
BSP;192011;1.3
BSP;192012;3.6
BSP;192101;4.9
BSP;192102;6.0
BSP;192103;8.1
BSP;192104;10.0
BSP;192105;10.4
BSP;192106;14.0
BSP;192107;17.2
BSP;192108;27.7
BSP;192109;16.7
BSP;192110;10.0
BSP;192111;36.6
BSP;192112;3.0
BSP;192201;32.6
BSP;192202;33.0
BSP;192203;24.1
BSP;192204;49.6
BSP;192205;19.3
BSP;192206;27.5
BSP;192207;64.8
BSP;192208;54.4
BSP;192209;30.1
BSP;192210;6.4
BSP;192211;37.3
BSP;192212;38.3
BSP;192301;12.0
BSP;192302;10.3
BSP;192303;16.7
BSP;192304;12.4
BSP;192305;74.8
BSP;192306;11.1
BSP;192307;16.0
BSP;192308;24.0
BSP;192309;24.0
BSP;192310;35.5
BSP;192311;36.0
BSP;192312;44.2
BSP;192401;19.7
BSP;192402;5.5
BSP;192403;7.9
BSP;192404;24.0
BSP;192405;23.6
BSP;192406;45.0
BSP;192407;31.7
