 

stn;time;rre002mx
MLS;198210;22.3
MLS;198211;6.3
MLS;198212;13.6
MLS;198301;6.5
MLS;198302;8.3
MLS;198303;17.1
MLS;198304;45.0
MLS;198305;65.0
MLS;198306;27.9
MLS;198307;21.2
MLS;198308;26.3
MLS;198309;43.5
MLS;198310;37.5
MLS;198311;83.0
MLS;198312;23.0
MLS;198401;35.0
MLS;198402;55.0
MLS;198403;25.0
MLS;198404;25.0
MLS;198405;33.0
MLS;198406;23.0
MLS;198407;17.5
MLS;198408;40.9
MLS;198409;74.0
MLS;198410;25.5
MLS;198411;29.3
MLS;198412;20.5
MLS;198501;43.0
MLS;198502;47.0
MLS;198503;20.0
MLS;198504;45.0
MLS;198505;72.2
MLS;198506;26.8
MLS;198507;21.8
MLS;198508;41.4
MLS;198509;13.8
MLS;198510;6.3
MLS;198511;55.0
MLS;198512;40.0
MLS;198601;36.2
MLS;198602;17.1
MLS;198603;35.0
MLS;198604;38.9
MLS;198605;33.9
MLS;198606;23.2
MLS;198607;65.0
MLS;198608;24.8
MLS;198609;17.5
MLS;198610;47.2
MLS;198611;31.5
MLS;198612;38.0
MLS;198701;38.4
MLS;198702;50.0
MLS;198703;31.2
MLS;198704;32.9
MLS;198705;36.0
MLS;198706;32.5
MLS;198707;38.0
MLS;198708;55.3
MLS;198709;34.8
MLS;198710;27.7
MLS;198711;35.0
MLS;198712;35.0
MLS;198801;30.0
MLS;198802;30.0
MLS;198803;37.0
MLS;198804;16.6
MLS;198805;32.0
MLS;198806;23.3
MLS;198807;27.4
MLS;198808;54.4
MLS;198809;21.1
MLS;198810;44.9
MLS;198811;17.9
MLS;198812;70.0
MLS;198901;10.0
MLS;198902;25.0
MLS;198903;30.0
MLS;198904;58.4
MLS;198905;16.3
MLS;198906;21.8
MLS;198907;22.4
MLS;198908;53.1
MLS;198909;15.2
MLS;198910;31.1
MLS;198911;32.0
MLS;198912;26.0
MLS;199001;15.5
MLS;199002;105.8
MLS;199003;25.2
MLS;199004;27.8
MLS;199005;21.2
MLS;199006;25.7
MLS;199007;99.4
MLS;199008;58.2
MLS;199009;54.8
MLS;199010;43.5
MLS;199011;31.5
MLS;199012;13.6
MLS;199101;35.9
MLS;199102;4.2
MLS;199103;14.6
MLS;199104;11.1
MLS;199105;36.9
MLS;199106;38.5
MLS;199107;26.2
MLS;199108;7.0
MLS;199109;33.2
MLS;199110;25.9
MLS;199111;47.7
MLS;199112;87.7
MLS;199201;4.8
MLS;199202;43.6
MLS;199203;50.0
MLS;199204;19.2
MLS;199205;45.2
MLS;199206;30.3
MLS;199207;31.7
MLS;199208;45.3
MLS;199209;46.3
MLS;199210;63.3
MLS;199211;52.3
MLS;199212;21.8
MLS;199301;6.1
