 

stn;time;rre003mx
OTL;190010;29.0
OTL;190011;86.0
OTL;190012;63.0
OTL;190101;20.0
OTL;190102;35.7
OTL;190103;132.6
OTL;190104;90.4
OTL;190105;55.3
OTL;190106;227.7
OTL;190107;83.4
OTL;190108;100.7
OTL;190109;44.7
OTL;190110;152.7
OTL;190111;26.9
OTL;190112;106.2
OTL;190201;23.4
OTL;190202;51.4
OTL;190203;92.0
OTL;190204;32.3
OTL;190205;43.0
OTL;190206;105.4
OTL;190207;45.0
OTL;190208;72.9
OTL;190209;154.6
OTL;190210;66.0
OTL;190211;47.0
OTL;190212;59.5
OTL;190301;61.9
OTL;190302;28.0
OTL;190303;82.3
OTL;190304;114.0
OTL;190305;223.6
OTL;190306;68.5
OTL;190307;123.3
OTL;190308;120.7
OTL;190309;76.0
OTL;190310;243.5
OTL;190311;71.5
OTL;190312;71.5
OTL;190401;16.0
OTL;190402;113.8
OTL;190403;80.7
OTL;190404;48.5
OTL;190405;65.4
OTL;190406;80.6
OTL;190407;40.1
OTL;190408;22.8
OTL;190409;124.1
OTL;190410;25.0
OTL;190411;56.8
OTL;190412;28.8
OTL;190501;21.4
OTL;190502;29.2
OTL;190503;45.5
OTL;190504;94.4
OTL;190505;171.4
OTL;190506;53.0
OTL;190507;58.9
OTL;190508;136.3
OTL;190509;144.9
OTL;190510;15.6
OTL;190511;75.5
OTL;190512;7.8
OTL;190601;21.7
OTL;190602;35.7
OTL;190603;53.3
OTL;190604;76.5
OTL;190605;31.7
OTL;190606;12.2
OTL;190607;136.1
OTL;190608;35.6
OTL;190609;61.5
OTL;190610;95.5
OTL;190611;206.9
OTL;190612;7.0
OTL;190701;15.0
OTL;190702;13.2
OTL;190703;0.3
OTL;190704;31.6
OTL;190705;56.9
OTL;190706;180.6
OTL;190707;108.4
OTL;190708;36.1
OTL;190709;86.2
OTL;190710;188.8
OTL;190711;24.0
OTL;190712;50.8
OTL;190801;2.7
OTL;190802;21.4
OTL;190803;69.4
OTL;190804;95.6
OTL;190805;172.8
OTL;190806;62.8
OTL;190807;130.9
OTL;190808;185.8
OTL;190809;115.1
OTL;190810;115.2
OTL;190811;14.7
OTL;190812;18.1
OTL;190901;0.7
OTL;190902;106.1
OTL;190903;36.9
OTL;190904;48.8
OTL;190905;36.5
OTL;190906;76.6
OTL;190907;40.0
OTL;190908;95.3
OTL;190909;55.1
OTL;190910;183.3
OTL;190911;50.6
OTL;190912;34.2
OTL;191001;33.8
OTL;191002;45.4
OTL;191003;60.4
OTL;191004;65.0
OTL;191005;88.2
OTL;191006;79.2
OTL;191007;72.9
OTL;191008;118.6
OTL;191009;46.1
OTL;191010;103.0
OTL;191011;32.0
OTL;191012;144.6
OTL;191101;3.5
OTL;191102;9.1
OTL;191103;38.0
OTL;191104;45.2
OTL;191105;59.7
OTL;191106;104.5
OTL;191107;4.1
OTL;191108;207.3
OTL;191109;98.4
OTL;191110;177.7
OTL;191111;140.5
OTL;191112;43.1
OTL;191201;61.1
OTL;191202;68.6
OTL;191203;49.9
OTL;191204;40.2
OTL;191205;30.1
OTL;191206;102.2
OTL;191207;98.8
OTL;191208;117.2
OTL;191209;32.7
OTL;191210;78.5
OTL;191211;42.7
OTL;191212;42.7
OTL;191301;8.9
OTL;191302;0.4
OTL;191303;91.9
OTL;191304;106.8
OTL;191305;62.6
OTL;191306;73.0
OTL;191307;33.4
OTL;191308;53.2
OTL;191309;110.6
OTL;191310;140.1
OTL;191311;31.3
OTL;191312;14.2
OTL;191401;5.3
OTL;191402;101.8
OTL;191403;64.9
