 

stn;time;rre003mx
WAN;200901;22.2
WAN;200902;27.0
WAN;200903;50.5
WAN;200904;13.6
WAN;200905;21.5
WAN;200906;23.0
WAN;200907;84.0
WAN;200908;28.5
WAN;200909;25.3
WAN;200910;22.0
WAN;200911;24.9
WAN;200912;34.2
WAN;201001;18.2
WAN;201002;17.8
WAN;201003;21.5
WAN;201004;8.2
WAN;201005;25.3
WAN;201006;55.3
WAN;201007;34.1
WAN;201008;69.7
WAN;201009;34.1
WAN;201010;16.9
WAN;201011;26.4
WAN;201012;37.8
WAN;201101;21.5
WAN;201102;11.7
WAN;201103;12.1
WAN;201104;15.0
WAN;201105;19.3
WAN;201106;31.9
WAN;201107;45.9
WAN;201108;27.3
WAN;201109;47.4
WAN;201110;40.9
WAN;201111;5.1
WAN;201112;53.5
WAN;201201;38.9
WAN;201202;21.3
WAN;201203;18.6
WAN;201204;28.4
WAN;201205;18.7
WAN;201206;33.7
WAN;201207;34.0
WAN;201208;41.7
WAN;201209;49.9
WAN;201210;39.0
WAN;201211;37.2
WAN;201212;37.0
WAN;201301;17.1
WAN;201302;27.9
WAN;201303;22.4
WAN;201304;45.7
WAN;201305;54.2
WAN;201306;57.0
WAN;201307;91.8
WAN;201308;36.8
WAN;201309;31.8
WAN;201310;32.4
WAN;201311;37.5
WAN;201312;46.3
WAN;201401;21.5
WAN;201402;27.1
WAN;201403;16.8
WAN;201404;39.3
WAN;201405;39.7
WAN;201406;34.0
WAN;201407;68.5
WAN;201408;16.2
WAN;201409;16.2
WAN;201410;36.6
WAN;201411;50.4
WAN;201412;26.1
WAN;201501;33.9
WAN;201502;17.3
WAN;201503;43.7
WAN;201504;18.5
WAN;201505;85.6
WAN;201506;53.1
WAN;201507;20.6
WAN;201508;20.4
WAN;201509;17.0
WAN;201510;11.3
WAN;201511;56.6
WAN;201512;5.5
WAN;201601;43.1
WAN;201602;24.8
WAN;201603;13.1
WAN;201604;34.4
WAN;201605;73.2
WAN;201606;49.5
WAN;201607;55.5
WAN;201608;33.4
WAN;201609;21.0
WAN;201610;29.9
WAN;201611;66.9
WAN;201612;0.2
WAN;201701;30.8
WAN;201702;31.1
WAN;201703;39.0
WAN;201704;41.1
WAN;201705;46.2
WAN;201706;37.3
WAN;201707;45.8
WAN;201708;31.6
WAN;201709;43.0
WAN;201710;17.8
WAN;201711;51.5
WAN;201712;32.8
WAN;201801;69.9
WAN;201802;25.4
WAN;201803;21.2
WAN;201804;13.3
WAN;201805;49.6
WAN;201806;41.7
WAN;201807;89.2
WAN;201808;19.7
WAN;201809;18.1
WAN;201810;35.3
WAN;201811;4.6
WAN;201812;59.8
WAN;201901;32.2
WAN;201902;15.4
WAN;201903;26.8
WAN;201904;24.7
WAN;201905;44.3
WAN;201906;27.2
WAN;201907;56.9
WAN;201908;39.3
WAN;201909;22.4
WAN;201910;27.1
WAN;201911;27.3
WAN;201912;28.6
WAN;202001;25.7
WAN;202002;39.5
WAN;202003;25.7
WAN;202004;29.5
WAN;202005;26.7
WAN;202006;41.1
WAN;202007;8.3
WAN;202008;44.5
WAN;202009;35.4
WAN;202010;34.1
WAN;202011;10.9
WAN;202012;24.9
WAN;202101;109.8
WAN;202102;17.9
WAN;202103;34.1
WAN;202104;11.2
WAN;202105;43.4
