 

stn;time;rre003mx
DLFEL;199801;15.9
DLFEL;199802;13.5
DLFEL;199803;27.6
DLFEL;199804;30.9
DLFEL;199805;20.5
DLFEL;199806;63.7
DLFEL;199807;34.8
DLFEL;199808;25.2
DLFEL;199809;57.6
DLFEL;199810;34.6
DLFEL;199811;49.6
DLFEL;199812;30.5
DLFEL;199901;26.8
DLFEL;199902;61.7
DLFEL;199903;22.3
DLFEL;199904;25.0
DLFEL;199905;115.1
DLFEL;199906;27.2
DLFEL;199907;50.6
DLFEL;199908;37.5
DLFEL;199909;31.3
DLFEL;199910;20.8
DLFEL;199911;43.0
DLFEL;199912;49.4
DLFEL;200001;30.9
DLFEL;200002;31.4
DLFEL;200003;85.4
