 

stn;time;rre003mx
TGDUS;201509;14.4
TGDUS;201510;14.0
TGDUS;201511;73.6
TGDUS;201512;8.4
TGDUS;201601;44.0
TGDUS;201602;48.6
TGDUS;201603;29.8
TGDUS;201604;60.2
TGDUS;201605;85.6
TGDUS;201606;48.0
TGDUS;201607;34.2
TGDUS;201608;45.8
TGDUS;201609;31.2
TGDUS;201610;26.0
TGDUS;201611;46.4
TGDUS;201612;1.6
TGDUS;201701;29.0
TGDUS;201702;30.8
TGDUS;201703;33.2
TGDUS;201704;67.0
TGDUS;201705;25.2
TGDUS;201706;24.8
TGDUS;201707;59.4
TGDUS;201708;60.0
TGDUS;201709;105.0
TGDUS;201710;33.6
TGDUS;201711;47.6
TGDUS;201712;59.4
TGDUS;201801;49.2
TGDUS;201802;37.0
TGDUS;201803;34.2
TGDUS;201804;19.6
TGDUS;201805;36.8
TGDUS;201806;37.2
TGDUS;201807;16.6
TGDUS;201808;40.4
TGDUS;201809;31.0
TGDUS;201810;31.0
TGDUS;201811;4.4
TGDUS;201812;51.2
TGDUS;201901;37.2
TGDUS;201902;23.4
TGDUS;201903;36.4
TGDUS;201904;13.4
TGDUS;201905;61.2
TGDUS;201906;49.6
TGDUS;201907;32.6
TGDUS;201908;55.6
TGDUS;201909;32.8
TGDUS;201910;46.8
TGDUS;201911;33.2
TGDUS;201912;22.2
TGDUS;202001;16.2
TGDUS;202002;36.6
TGDUS;202003;39.6
TGDUS;202004;10.8
TGDUS;202005;23.4
TGDUS;202006;30.4
TGDUS;202007;27.8
TGDUS;202008;70.8
TGDUS;202009;39.8
TGDUS;202010;19.2
TGDUS;202011;6.4
TGDUS;202012;31.0
TGDUS;202101;55.0
TGDUS;202102;26.8
TGDUS;202103;18.4
TGDUS;202104;11.0
TGDUS;202105;35.4
