 

stn;time;rre003mx
ABG;201007;6.7
ABG;201008;55.7
ABG;201009;20.6
ABG;201010;19.2
ABG;201011;37.3
ABG;201012;43.9
ABG;201101;28.1
ABG;201102;18.0
ABG;201103;9.2
ABG;201104;11.6
ABG;201105;16.2
ABG;201106;26.8
ABG;201107;52.3
ABG;201108;32.0
ABG;201109;52.3
ABG;201110;28.7
ABG;201111;7.5
ABG;201112;59.2
ABG;201201;73.3
ABG;201202;16.7
ABG;201203;21.7
ABG;201204;31.1
ABG;201205;32.9
ABG;201206;42.7
ABG;201207;36.8
ABG;201208;46.0
ABG;201209;34.7
ABG;201210;54.7
ABG;201211;85.7
ABG;201212;62.6
ABG;201301;27.2
ABG;201302;53.3
ABG;201303;40.0
ABG;201304;52.3
ABG;201305;47.1
ABG;201306;31.5
ABG;201307;64.6
ABG;201308;27.2
ABG;201309;50.7
ABG;201310;38.1
ABG;201311;68.2
ABG;201312;88.4
ABG;201401;38.3
ABG;201402;39.3
ABG;201403;18.1
ABG;201404;30.5
ABG;201405;63.9
ABG;201406;23.2
ABG;201407;60.0
ABG;201408;60.3
ABG;201409;38.3
ABG;201410;41.2
ABG;201411;44.8
ABG;201412;35.4
ABG;201501;40.4
ABG;201502;32.0
ABG;201503;84.8
ABG;201504;40.9
ABG;201505;84.5
ABG;201506;20.0
ABG;201507;50.4
ABG;201508;38.9
ABG;201509;67.2
ABG;201510;25.5
ABG;201511;85.4
ABG;201512;8.5
ABG;201601;64.1
ABG;201602;52.3
ABG;201603;50.6
ABG;201604;57.4
ABG;201605;42.6
ABG;201606;56.0
ABG;201607;82.3
ABG;201608;24.6
ABG;201609;42.7
ABG;201610;57.5
ABG;201611;63.8
ABG;201612;0.0
ABG;201701;15.2
ABG;201702;40.4
ABG;201703;52.6
ABG;201704;26.9
ABG;201705;48.3
ABG;201706;48.3
ABG;201707;35.2
ABG;201708;45.4
ABG;201709;16.1
ABG;201710;39.0
ABG;201711;38.2
ABG;201712;86.1
ABG;201801;137.1
ABG;201802;36.0
ABG;201803;52.3
ABG;201804;40.5
ABG;201805;34.8
ABG;201806;57.9
ABG;201807;34.1
ABG;201808;22.5
ABG;201809;9.8
ABG;201810;31.8
ABG;201811;23.5
ABG;201812;83.3
ABG;201901;55.6
ABG;201902;22.8
ABG;201903;54.8
ABG;201904;37.9
ABG;201905;35.7
