 

stn;time;rre003mx
OBD;190101;58.6
OBD;190102;24.3
OBD;190103;44.8
OBD;190104;106.7
OBD;190105;20.6
OBD;190106;91.4
OBD;190107;39.1
OBD;190108;110.1
OBD;190109;46.3
OBD;190110;60.7
OBD;190111;12.1
OBD;190112;59.4
OBD;190201;41.7
OBD;190202;12.9
OBD;190203;51.1
OBD;190204;30.2
OBD;190205;53.7
OBD;190206;50.7
OBD;190207;35.6
OBD;190208;45.9
OBD;190209;62.6
OBD;190210;31.4
OBD;190211;9.5
OBD;190212;69.7
OBD;190301;42.8
OBD;190302;28.4
OBD;190303;31.3
OBD;190304;67.3
OBD;190305;30.5
OBD;190306;49.3
OBD;190307;58.0
OBD;190308;46.6
OBD;190309;30.9
OBD;190310;54.0
OBD;190311;50.0
OBD;190312;20.5
OBD;190401;30.0
OBD;190402;38.7
OBD;190403;19.4
OBD;190404;43.9
OBD;190405;64.8
OBD;190406;44.5
OBD;190407;25.6
OBD;190408;37.7
OBD;190409;40.9
OBD;190410;44.4
OBD;190411;31.5
OBD;190412;41.9
OBD;190501;38.8
OBD;190502;20.7
OBD;190503;40.1
OBD;190504;56.8
OBD;190505;43.8
OBD;190506;35.3
OBD;190507;53.2
OBD;190508;81.4
OBD;190509;39.4
OBD;190510;51.8
OBD;190511;41.7
OBD;190512;35.0
OBD;190601;54.0
OBD;190602;42.0
OBD;190603;64.0
OBD;190604;30.2
OBD;190605;123.2
OBD;190606;63.7
OBD;190607;111.8
OBD;190608;52.5
OBD;190609;61.1
OBD;190610;15.6
OBD;190611;32.0
OBD;190612;48.4
OBD;190701;63.7
OBD;190702;28.5
OBD;190703;75.6
OBD;190704;35.0
OBD;190705;39.0
OBD;190706;45.6
OBD;190707;75.8
OBD;190708;75.3
OBD;190709;32.9
OBD;190710;35.5
OBD;190711;25.3
OBD;190712;80.5
OBD;190801;27.9
OBD;190802;50.4
OBD;190803;32.9
OBD;190804;53.6
OBD;190805;57.5
OBD;190806;69.5
OBD;190807;81.4
OBD;190808;47.0
OBD;190809;77.7
OBD;190810;3.5
OBD;190811;68.2
OBD;190812;21.0
OBD;190901;19.0
OBD;190902;21.7
OBD;190903;29.5
OBD;190904;41.0
OBD;190905;44.7
OBD;190906;65.7
OBD;190907;101.4
OBD;190908;58.8
OBD;190909;29.7
OBD;190910;36.8
OBD;190911;30.2
OBD;190912;39.5
OBD;191001;165.1
OBD;191002;72.9
OBD;191003;13.4
OBD;191004;66.4
OBD;191005;25.3
OBD;191006;126.3
OBD;191007;58.0
OBD;191008;95.9
OBD;191009;94.3
OBD;191010;27.3
OBD;191011;58.8
OBD;191012;58.1
OBD;191101;26.7
OBD;191102;44.1
OBD;191103;46.6
OBD;191104;31.6
OBD;191105;35.3
OBD;191106;77.1
OBD;191107;38.9
OBD;191108;57.8
OBD;191109;58.5
OBD;191110;73.6
OBD;191111;13.8
OBD;191112;37.9
OBD;191201;48.9
OBD;191202;30.4
OBD;191203;52.0
OBD;191204;33.3
OBD;191205;72.6
OBD;191206;67.3
OBD;191207;43.6
OBD;191208;60.7
OBD;191209;53.4
OBD;191210;44.0
OBD;191211;40.7
OBD;191212;36.3
OBD;191301;42.1
OBD;191302;25.2
OBD;191303;16.6
OBD;191304;49.8
OBD;191305;25.1
OBD;191306;71.1
OBD;191307;66.2
OBD;191308;68.7
OBD;191309;55.9
OBD;191310;27.0
OBD;191311;65.9
OBD;191312;70.6
OBD;191401;140.8
