 

stn;time;rre003mx
VDROM;201309;73.7
VDROM;201310;34.9
VDROM;201311;53.6
VDROM;201312;53.1
VDROM;201401;39.0
VDROM;201402;33.2
VDROM;201403;16.7
VDROM;201404;24.8
VDROM;201405;75.6
VDROM;201406;26.8
VDROM;201407;44.8
VDROM;201408;31.6
VDROM;201409;13.1
VDROM;201410;35.8
VDROM;201411;42.1
VDROM;201412;31.6
VDROM;201501;35.8
VDROM;201502;26.8
VDROM;201503;94.7
VDROM;201504;50.9
VDROM;201505;96.8
VDROM;201506;46.8
VDROM;201507;19.2
VDROM;201508;27.1
VDROM;201509;41.9
VDROM;201510;32.0
VDROM;201511;85.5
VDROM;201512;43.6
VDROM;201601;72.2
VDROM;201602;72.5
VDROM;201603;38.2
VDROM;201604;41.3
VDROM;201605;57.0
VDROM;201606;61.6
VDROM;201607;22.2
VDROM;201608;12.2
VDROM;201609;32.7
VDROM;201610;49.3
VDROM;201611;12.0
VDROM;201612;0.0
VDROM;201701;23.0
VDROM;201702;32.7
VDROM;201703;49.4
VDROM;201704;30.6
VDROM;201705;52.0
VDROM;201706;29.5
VDROM;201707;32.2
VDROM;201708;37.6
VDROM;201709;15.3
VDROM;201710;20.6
VDROM;201711;85.4
VDROM;201712;66.3
VDROM;201801;126.9
VDROM;201802;30.9
VDROM;201803;36.8
VDROM;201804;26.5
VDROM;201805;37.1
VDROM;201806;55.3
VDROM;201807;38.2
VDROM;201808;32.5
VDROM;201809;11.1
VDROM;201810;31.2
VDROM;201811;18.2
VDROM;201812;107.1
VDROM;201901;0.0
VDROM;201902;1.2
VDROM;201903;59.6
VDROM;201904;24.6
VDROM;201905;32.2
VDROM;201906;74.8
VDROM;201907;50.4
VDROM;201908;49.0
VDROM;201909;20.8
VDROM;201910;69.2
VDROM;201911;73.4
VDROM;201912;61.8
VDROM;202001;48.4
VDROM;202002;56.4
VDROM;202003;56.2
VDROM;202004;44.8
VDROM;202005;51.6
VDROM;202006;34.0
VDROM;202007;9.0
VDROM;202008;53.0
VDROM;202009;29.6
VDROM;202010;81.4
VDROM;202011;12.2
VDROM;202012;20.2
VDROM;202101;72.6
VDROM;202102;55.8
VDROM;202103;40.6
VDROM;202104;26.8
VDROM;202105;44.0
