 

stn;time;rre003mx
GEN;199906;88.0
GEN;199907;53.9
GEN;199908;71.7
GEN;199909;86.3
GEN;199910;108.5
GEN;199911;69.9
GEN;199912;41.8
GEN;200001;2.7
GEN;200002;10.0
GEN;200003;45.1
GEN;200004;83.1
GEN;200005;72.6
GEN;200006;18.6
GEN;200007;158.6
GEN;200008;91.0
GEN;200009;109.7
GEN;200010;142.8
GEN;200011;111.8
GEN;200012;48.9
GEN;200101;62.5
GEN;200102;67.6
GEN;200103;73.1
GEN;200104;34.3
GEN;200105;22.2
GEN;200106;3.4
GEN;200107;1.3
GEN;200108;6.0
GEN;200109;6.2
GEN;200110;0.0
GEN;200111;4.5
GEN;200112;1.3
GEN;200201;27.8
GEN;200202;33.5
GEN;200203;27.1
GEN;200204;11.2
GEN;200205;5.4
GEN;200206;5.2
GEN;200207;13.9
GEN;200208;30.9
GEN;200209;0.7
GEN;200210;2.7
GEN;200211;2.7
GEN;200212;2.7
GEN;200301;1.1
GEN;200302;3.4
GEN;200303;0.7
