 

stn;time;rre150mx
DOB;201301;20.3
DOB;201302;25.1
DOB;201303;14.3
DOB;201304;43.4
DOB;201305;72.6
DOB;201306;38.2
DOB;201307;36.2
DOB;201308;24.5
DOB;201309;31.9
DOB;201310;29.1
DOB;201311;21.0
DOB;201312;26.8
DOB;201401;23.4
DOB;201402;15.8
DOB;201403;29.0
DOB;201404;16.1
DOB;201405;23.3
DOB;201406;30.0
DOB;201407;40.9
DOB;201408;38.5
DOB;201409;49.5
DOB;201410;30.8
DOB;201411;50.8
DOB;201412;18.3
DOB;201501;20.0
DOB;201502;15.7
DOB;201503;22.5
DOB;201504;31.6
DOB;201505;35.1
DOB;201506;28.6
DOB;201507;23.3
DOB;201508;14.4
DOB;201509;19.8
DOB;201510;16.1
DOB;201511;57.7
DOB;201512;13.6
DOB;201601;25.2
DOB;201602;23.9
DOB;201603;16.2
DOB;201604;28.0
DOB;201605;52.6
DOB;201606;40.7
DOB;201607;47.0
DOB;201608;44.8
DOB;201609;39.1
DOB;201610;22.1
DOB;201611;19.9
DOB;201612;2.2
DOB;201701;52.8
DOB;201702;23.1
DOB;201703;26.5
DOB;201704;41.5
DOB;201705;17.2
DOB;201706;21.8
DOB;201707;34.7
DOB;201708;58.2
DOB;201709;51.3
DOB;201710;20.7
DOB;201711;35.1
DOB;201712;49.8
DOB;201801;21.7
DOB;201802;21.4
DOB;201803;37.7
DOB;201804;9.2
DOB;201805;25.2
DOB;201806;30.1
DOB;201807;13.2
DOB;201808;42.6
DOB;201809;32.1
DOB;201810;18.9
DOB;201811;9.4
DOB;201812;33.8
DOB;201901;25.6
DOB;201902;14.2
DOB;201903;18.2
DOB;201904;26.1
DOB;201905;56.4
DOB;201906;42.0
DOB;201907;48.9
DOB;201908;44.9
DOB;201909;24.3
DOB;201910;22.3
DOB;201911;35.7
DOB;201912;16.2
DOB;202001;15.3
DOB;202002;17.0
DOB;202003;13.2
DOB;202004;17.7
DOB;202005;38.3
DOB;202006;30.3
DOB;202007;55.4
DOB;202008;64.2
DOB;202009;32.9
DOB;202010;25.8
DOB;202011;16.2
DOB;202012;24.6
DOB;202101;49.8
DOB;202102;13.6
DOB;202103;18.7
DOB;202104;17.2
DOB;202105;19.6
